fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-03-31,USD,103000000,None,None,None,None,25100000,37700000,None,-54800000,None,-123800000,-9000000,None,None,None,None,10700000,10700000,None,None,None,None,-10200000,None,None,None,None,72500000
2006-06-30,USD,119200000,None,None,None,None,28800000,54100000,None,2100000,None,-232800000,-42700000,None,None,None,None,10700000,10700000,None,None,None,None,-28700000,None,None,None,None,85100000
2006-09-30,USD,54200000,None,None,None,None,27300000,35000000,None,-31100000,None,77600000,-17900000,None,None,None,None,14700000,14700000,None,None,None,None,-6900000,None,None,None,None,83900000
2006-12-31,USD,128100000,None,None,None,None,27500000,27700000,None,-2200000,None,-27700000,-30400000,None,None,None,None,14700000,14700000,None,None,None,None,-19500000,None,None,None,None,94000000
2007-03-31,USD,141000000,None,None,None,None,34300000,36100000,None,7100000,None,-18300000,-10600000,None,None,None,None,14800000,14800000,None,None,None,None,-20600000,None,-138800000,None,None,214900000
2007-06-30,USD,115300000,None,None,None,None,46100000,30300000,None,-19800000,None,-414500000,192200000,None,None,None,None,14000000,14000000,None,None,None,None,-199900000,None,None,None,None,87600000
2007-09-30,USD,64100000,None,None,None,None,41900000,32500000,None,-55400000,None,-25600000,-62500000,None,None,None,None,20600000,20600000,None,None,None,None,-50000000,None,None,None,None,100200000
2007-12-31,USD,124700000,None,None,None,None,42300000,35600000,None,1300000,None,-41800000,-55100000,None,None,None,None,20500000,20500000,None,None,None,None,-50000000,None,19300000,None,None,114300000
2008-03-31,USD,169200000,None,None,None,None,41600000,40800000,None,-36200000,None,-30200000,-221300000,None,None,None,None,20200000,20200000,None,None,None,None,-200000000,None,30300000,None,None,108000000
2008-06-30,USD,197100000,None,None,None,None,46400000,37300000,None,39000000,None,-37000000,-79300000,None,None,None,None,20200000,20200000,None,None,None,None,-25000000,None,-19000000,None,None,121700000
2008-09-30,USD,37500000,None,None,None,None,42500000,31700000,None,-66800000,None,-31100000,-33900000,None,None,None,None,26900000,26900000,None,None,None,None,-81600000,None,9000000,None,None,118700000
2008-12-31,USD,151800000,None,None,None,None,43200000,35000000,None,-23900000,None,-34100000,-95500000,None,None,None,None,27000000,27000000,None,None,None,None,-500000,None,9400000,None,None,-38600000
2009-03-31,USD,215200000,None,None,None,None,41800000,30200000,None,42700000,None,-38300000,-77300000,None,None,None,None,26200000,26200000,None,None,None,None,-50100000,None,9100000,None,None,114200000
2009-06-30,USD,262300000,None,None,None,None,50200000,24900000,None,-20300000,None,-761100000,323800000,None,None,None,None,26500000,26500000,None,None,None,None,-100000,None,14400000,None,None,-156400000
2009-09-30,USD,134500000,None,None,None,None,42100000,20600000,29200000,-29800000,None,-19600000,-165300000,None,None,None,None,29000000,29000000,None,None,None,None,-55300000,None,11100000,-50100000,300000,104500000
2009-12-31,USD,186900000,None,None,None,None,38700000,21800000,68400000,-42200000,None,-56500000,-53400000,None,None,None,None,28800000,28800000,None,None,None,None,-50200000,None,10100000,79100000,2100000,139500000
2010-03-31,USD,313900000,None,None,None,None,40200000,93800000,22100000,25100000,None,-100300000,-117900000,None,None,None,None,28600000,28600000,None,None,None,None,-50200000,None,7600000,95500000,-200000,166200000
2010-06-30,USD,167400000,None,None,None,None,44700000,61800000,-79700000,33000000,None,-73700000,-44300000,None,None,None,None,28600000,28600000,None,None,None,None,-52300000,None,6500000,49500000,100000,151400000
2010-09-30,USD,294900000,None,None,None,None,46800000,41400000,68200000,-20300000,None,-569400000,159000000,None,None,None,None,32200000,32200000,None,None,None,None,-55500000,None,16000000,-113800000,1700000,163900000
2010-12-31,USD,94400000,None,None,None,None,49400000,66800000,-6100000,18800000,None,-66800000,370500000,None,None,None,None,31800000,31800000,None,None,None,None,-50200000,None,10100000,399400000,1300000,151100000
2011-03-31,USD,167500000,None,None,None,None,52300000,88000000,-81700000,-43100000,None,-118400000,93100000,None,None,None,None,31700000,31700000,None,None,None,None,-50300000,None,10400000,144300000,2100000,139200000
2011-06-30,USD,276300000,None,None,None,None,63500000,128700000,-23300000,-20100000,None,-662900000,-129800000,None,None,None,None,31300000,31300000,None,None,None,None,-100100000,None,9600000,-518200000,-1800000,132900000
2011-09-30,USD,78700000,None,None,None,None,63300000,81900000,-83900000,32200000,None,-81900000,-55800000,None,None,None,None,32600000,32600000,None,None,None,None,-406200000,None,9300000,-61500000,-2500000,121100000
2011-12-31,USD,199300000,None,None,None,None,66000000,40600000,62200000,-10700000,None,-54600000,-64500000,None,None,None,None,31900000,31900000,None,None,None,None,-17000000,None,7300000,81600000,1400000,132300000
2012-03-31,USD,205200000,None,None,None,None,64700000,52800000,-56900000,-40200000,None,-53800000,-242400000,None,None,None,None,37700000,37700000,None,None,None,None,-25200000,None,9800000,-88000000,3000000,-354100000
2012-06-30,USD,369700000,None,None,None,None,66300000,58500000,63400000,-6500000,None,-58600000,-247100000,None,None,None,None,37400000,37400000,None,None,None,None,-25100000,None,8300000,57000000,-7000000,128500000
2012-09-30,USD,120500000,None,None,None,None,54800000,43700000,78400000,-43600000,None,-36600000,-116100000,None,None,None,None,41900000,41900000,None,None,None,None,-63900000,None,6000000,-29200000,3000000,-86000000
2012-12-31,USD,159000000,None,None,None,None,55400000,39000000,-20800000,33700000,None,-35000000,-122700000,None,None,None,None,42100000,42100000,None,None,None,None,-50300000,None,9000000,1300000,None,44800000
2013-03-31,USD,233700000,None,None,None,None,54100000,48800000,30400000,-21800000,None,98600000,-199500000,None,None,None,None,40600000,40600000,None,None,None,None,-160400000,None,10600000,130900000,-1900000,94300000
2013-06-30,USD,319800000,None,None,None,None,56300000,46700000,-9700000,-22400000,None,-46700000,-401400000,None,None,None,None,40100000,40100000,None,None,None,None,-140300000,None,7300000,-138000000,-9700000,55400000
2013-09-30,USD,172600000,None,None,None,None,50000000,33400000,20800000,12400000,None,-6400000,-153900000,None,None,None,None,45300000,45300000,None,None,None,None,-106700000,None,8400000,16200000,3900000,125700000
2013-12-31,USD,106900000,None,None,None,None,50400000,51600000,-23500000,-32400000,None,-51600000,-53000000,None,None,None,None,45100000,45100000,None,None,None,None,-50100000,None,10100000,-2800000,-5100000,136100000
2014-03-31,USD,174500000,None,None,None,None,48200000,58000000,-73100000,14700000,None,-58000000,-93600000,None,None,None,None,45100000,45100000,None,None,None,None,-65300000,None,10000000,15200000,-7700000,141200000
2014-06-30,USD,395200000,None,None,None,None,55700000,69600000,191600000,55400000,None,-46600000,-147600000,None,None,None,None,44800000,44800000,None,None,None,None,-87300000,None,6900000,211400000,10400000,131200000
2014-09-30,USD,80000000,None,None,None,None,51000000,41000000,-37600000,-30000000,None,-34000000,-150000000,None,None,None,None,50000000,50000000,None,None,None,None,-100000000,None,8000000,-111900000,-7900000,125000000
2014-12-31,USD,142000000,None,None,None,None,53000000,38000000,21700000,-1000000,None,-38000000,-69000000,None,None,None,None,49000000,49000000,None,None,None,None,-50000000,None,9000000,20400000,-14200000,139000000
2015-03-31,USD,173000000,None,None,None,None,60000000,23000000,-70700000,14000000,None,-23000000,-117000000,None,None,None,None,50000000,50000000,None,None,None,None,-1000000,None,9000000,18200000,-15200000,126000000
2015-06-30,USD,458800000,None,None,None,None,80100000,45700000,69600000,37000000,None,-3188700000,2708900000,None,None,None,None,49300000,49300000,None,None,None,None,-1200000,None,11000000,-6700000,14300000,-56200000
2015-09-30,USD,64000000,None,None,None,None,94000000,24000000,None,-108000000,None,-24000000,-192000000,None,None,None,None,64000000,64000000,None,None,None,None,-1200000,None,10000000,None,None,148000000
2015-12-31,USD,323000000,None,None,None,None,86000000,25000000,138000000,17000000,None,-25000000,-103000000,None,None,None,None,63000000,63000000,None,None,None,None,14000000,None,9000000,191000000,-4000000,-152000000
2016-03-31,USD,120000000,None,None,None,None,82000000,35000000,-118000000,69000000,None,-63000000,-265000000,None,None,None,None,62000000,62000000,None,None,None,None,3000000,None,10000000,-209000000,-1000000,168000000
2016-06-30,USD,417000000,None,None,None,None,99000000,68000000,90000000,-6000000,None,111000000,-333000000,None,None,None,None,63000000,63000000,None,None,None,None,1200000,None,10000000,185000000,-10000000,160000000
2016-09-30,USD,43000000,None,None,None,None,86000000,21000000,-39000000,2000000,None,-46000000,-201000000,None,None,None,None,68000000,68000000,None,None,None,None,-100000000,None,11000000,-203000000,1000000,160000000
2016-12-31,USD,252000000,None,None,None,None,81000000,28000000,164000000,-52000000,None,-28000000,-140000000,None,None,None,None,66000000,66000000,None,None,None,None,-100000000,None,11000000,77000000,-7000000,177000000
2017-03-31,USD,194000000,None,None,None,None,72000000,30000000,-111000000,24000000,None,345000000,-601000000,None,None,None,None,65000000,65000000,None,None,None,None,-360000000,None,11000000,-59000000,3000000,85000000
2017-06-30,USD,80000000,None,None,None,None,72000000,40000000,97000000,54000000,None,599000000,-496000000,None,None,None,None,63000000,63000000,None,None,None,None,-250000000,None,9000000,182000000,-1000000,131000000
2017-09-30,USD,95000000,None,None,None,None,65000000,23000000,-83000000,-24000000,None,-23000000,-174000000,None,None,None,None,69000000,69000000,None,None,None,None,-75000000,None,11000000,-96000000,6000000,159000000
2017-12-31,USD,278000000,None,None,None,None,65000000,20000000,64000000,1000000,None,-22000000,-220000000,None,None,None,None,68000000,68000000,None,None,None,None,-75000000,None,13000000,34000000,-2000000,131000000
2018-03-31,USD,-143000000,None,None,None,None,62000000,36000000,-101000000,-13000000,None,-36000000,198000000,None,None,None,None,68000000,68000000,None,None,None,None,-47000000,None,26000000,21000000,2000000,196000000
2018-06-30,USD,521000000,None,None,None,None,67000000,57000000,8000000,38000000,None,-60000000,-609000000,None,None,None,None,67000000,67000000,None,None,None,None,-75000000,None,32000000,-155000000,-7000000,217000000
2018-09-30,USD,117000000,None,None,None,None,65000000,31000000,-34000000,-3000000,None,-31000000,-69000000,None,None,None,None,82000000,82000000,None,None,None,None,-200000000,None,38000000,17000000,0,213000000
2018-12-31,USD,352000000,None,None,None,None,64000000,36000000,62000000,-11000000,None,-36000000,-273000000,None,None,None,None,81000000,81000000,None,None,None,None,-200000000,None,32000000,38000000,-5000000,225000000
2019-03-31,USD,405000000,None,None,None,None,64000000,37000000,-41000000,-8000000,None,-37000000,-380000000,None,None,None,None,81000000,81000000,None,None,None,None,-200000000,None,37000000,-9000000,3000000,243000000
2019-06-30,USD,311000000,None,None,None,None,65000000,57000000,22000000,21000000,None,-55000000,-59000000,None,None,None,None,81000000,81000000,None,None,None,None,-22000000,None,34000000,196000000,-1000000,268000000
