fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2021-03-31,None,3036000,5955000,2919000,2919000,-11136500,None,9190000,14173000,None,None,None,2500,None,None,None,900500,-9653500,None,None,None,None,-11136500,-10236000,-9653000
2021-06-30,None,3036000,5954500,2918500,2918500,-11136500,None,9189500,14172500,None,None,None,None,None,None,None,900500,-9653500,None,None,None,None,-11136500,-10236000,-9653500
2021-09-30,None,2265000,6418000,4152999,4152999,-12971000,None,10844000,15236000,None,None,None,None,None,None,None,962000,-11284000,None,None,None,None,-12971000,-12009000,-11284000
2021-12-31,USD,1895000,7134000,5239000,5239000,-15775000,1621000,15006000,17670000,None,-2000,None,2000,None,None,None,1043000,-16097999,9690000,None,-16098000,None,-15775000,-14732000,-16097999
2022-03-31,USD,2028000,7857000,5829000,5829000,-16470000,2652324000000,12361000,18498000,None,0,0,757450000000,None,None,None,1059000,-16777999,9523000,None,-16778000,None,-16470000,-15411000,-16778000
2022-06-30,USD,2425000,9852000,7427000,7427000,-19121000,148538,13237000,21546000,None,-5000,None,5000,None,None,None,1163000,-15929000,9654000,None,-15929000,None,-19019000,-17856000,-15929000
2022-09-30,USD,2097000,8072000,5975000,5975000,-20632000,876343,14260000,22729000,None,8000,8000,2331462,None,None,None,1211000,-22267000,54366,None,-22267000,None,-20632000,-19421000,-22267000
2022-12-31,USD,1279000,11562000,10283000,10283000,-19376000,13438240,13333000,20655000,None,None,None,4191866,None,None,None,1227000,-21382000,309320,None,53615554,None,-19376000,-18149000,-21382000
2023-03-31,USD,1856000,9646000,7790000,7790000,-32522000,16835000,16286000,34378000,None,214000,214000,30182000,None,None,None,1257000,-63312000,4117000,None,-63312000,None,-32522000,-31265000,-63312000
2023-06-30,USD,2090000,12917000,10827000,10827000,-30618000,12452000,18908000,32708000,None,1701000,1701000,None,None,None,None,1348000,-26786000,1226000,None,-26786000,None,-30618000,-29270000,-26786000
2023-09-30,USD,5234000,19605000,14371000,14371000,-24595000,11808000,16645000,29829000,None,1249000,1249000,None,None,None,None,1376000,-25326000,-786000,None,-25326000,None,-24595000,-23219000,-25326000
2023-12-31,USD,8472000,20463000,11991000,11991000,-18645000,9343000,16303000,27117000,None,1408000,1408000,None,None,None,None,1471000,-18674000,1961000,None,-18674000,None,-18645000,-17174000,-18674000
2024-03-31,USD,3474000,10244000,6770000,6770000,-26154000,11037000,17061000,29628000,None,1148000,1148000,None,None,None,None,1530000,-24827000,681000,None,-25508000,None,-26154000,-24624000,-25508000
2024-06-30,USD,11884000,17375000,5491000,5491000,-22802000,11747000,21481000,34686000,None,513000,513000,None,None,None,None,1458000,-27799000,1719000,None,-27799000,None,-22802000,-21344000,-27799000
2024-09-30,USD,1802000,9943000,8141000,8141000,-32957000,11452000,22006000,34759000,None,791000,791000,None,None,None,None,1301000,-62966000,-5535000,None,-57431000,None,-32957000,-31656000,-57431000
2024-12-31,USD,6462000,12030000,5568000,5568000,-27020000,15745000,16459000,39050000,None,710000,710000,None,None,None,None,None,-20694000,None,None,-26993000,None,-27020000,None,-26993000
2025-03-31,USD,1970000,9483000,7513000,7513000,-31053000,15748000,16494000,33023000,None,438000,438000,None,None,None,None,781000,-19229000,6299000,None,-19229000,None,-31053000,-30272000,-19229000
2025-06-30,USD,2854000,9084000,6230000,6230000,-32241000,19106000,14935000,35095000,None,192000,192000,None,None,None,None,1054000,-32499000,None,None,-32499000,None,-32241000,-31187000,-32499000
2025-09-30,USD,2363000,9279000,6916000,6916000,-15657000,6740000,10255000,18020000,None,311000,311000,None,None,None,None,1025000,2861000,None,None,2861000,None,-15657000,-14632000,2861000
2025-12-31,USD,18114000,27999000,9885000,9885000,-205000,5452000,11500000,18319000,None,273000,273000,None,None,None,None,1367000,-84000,None,None,-84000,None,-205000,1162000,-84000
