fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,646651000,471362000,91491000,91491000,None,333181000,175289000,110957000,None,31134000,31134000,31134000,None,None,21548000,25142000,None,416377000,250194000,122313000,None,None,44165000,166183000,None,110591000,None,None,154756000,73693000,None,230274000,-377662000,499273000,650000,58654000
2007-12-31,USD,629001000,433653000,60750000,60750000,None,321428000,195348000,132369000,None,31134000,31134000,31134000,None,None,22921000,28554000,None,448215000,249575000,117122000,None,None,48924000,198640000,None,141598000,None,None,190522000,68664000,None,180786000,-554252000,601537000,656000,55156000
2008-12-31,USD,663530000,475402000,98904000,98904000,None,325148000,188128000,124178000,None,31134000,31134000,31134000,None,None,23479000,27871000,None,410394000,236585000,105882000,None,None,24693000,173809000,None,111752000,None,None,136445000,93771000,None,253136000,-605828000,704331000,661000,52854000
2009-12-31,USD,648792000,426612000,85719000,85719000,None,297003000,222180000,116656000,None,57470000,57470000,57470000,None,None,24325000,19565000,None,380641000,258635000,121030000,None,None,53504000,122006000,None,68313000,None,None,121817000,84101000,None,268016000,-660446000,766040000,663000,51280000
2010-12-31,USD,683882000,420917000,44706000,44706000,0,331293000,262965000,132649000,None,57470000,57470000,57470000,None,None,23266000,21652000,None,432915000,278346000,137297000,None,None,22172000,154569000,None,99439000,None,None,121611000,118877000,None,251764000,-763182000,844132000,665000,49580000
2011-12-31,USD,808449000,551792000,80900000,80900000,0,421640000,256657000,142146000,None,57470000,57470000,57470000,None,None,27944000,21308000,None,507872000,331113000,163307000,None,None,43117000,176759000,None,115130000,None,None,158247000,124689000,27494000,300577000,-813684000,947156000,666000,47524000
2012-12-31,USD,879421000,591944000,74284000,74284000,1,464065000,287477000,158953000,None,57470000,57470000,57470000,None,None,35528000,18067000,None,499967000,344339000,188981000,None,None,52663000,155628000,None,95125000,None,None,147788000,102695000,60503000,379454000,-839517000,1042956000,669000,46877000
2013-12-31,USD,970696000,682468000,180302000,180302000,1,452635000,288228000,177329000,None,31134000,31134000,31134000,None,None,34939000,14592000,None,516215000,374690000,157796000,None,None,55347000,141525000,None,73938000,None,None,129285000,162517000,None,454481000,-899028000,1173044000,670000,46210000
2014-12-31,USD,1044212000,732328000,163944000,163944000,0,507774000,311884000,202203000,None,31134000,31134000,31134000,None,None,37007000,23603000,None,555951000,410451000,220077000,None,None,69693000,145500000,None,76257000,145950000,None,145950000,120681000,None,488261000,-955613000,1255374000,673000,45169000
2015-12-31,USD,998070000,662670000,114520000,114520000,0,481171000,335400000,225927000,None,31134000,31134000,31134000,None,None,48823000,11604000,None,531833000,369537000,223709000,None,None,120607000,162296000,81793000,81793000,159901000,None,159901000,25221000,21477000,466237000,-1116765000,1389975000,674000,43813000
2016-12-31,USD,1096591000,737407000,178897000,178897000,0,481669000,359184000,272843000,None,31134000,31134000,31134000,None,None,66560000,10281000,None,554034000,380311000,219409000,None,None,81298000,173723000,93257000,93257000,81298000,None,174555000,79604000,26883000,542557000,-1167437000,1512993000,676000,42236000
2017-12-31,USD,1352460000,961203000,242416000,242416000,0,655465000,391257000,276011000,None,39065000,39065000,39065000,None,44879000,48928000,14394000,None,698583000,548643000,285132000,None,None,84293000,149940000,83062000,83062000,84293000,None,167355000,179218000,30141000,650672000,-1167600000,1611158000,677000,42024000
2018-12-31,USD,1380564000,971429000,199736000,199736000,1,715348000,409135000,284032000,None,38232000,38232000,38232000,None,42903000,40058000,16287000,None,691431000,535818000,314134000,None,None,69411000,155613000,84864000,84864000,98900000,None,183764000,93295000,30429000,686824000,-1376111000,1841279000,679000,41310000
2019-12-31,USD,1427711000,997888000,319515000,319515000,None,624102000,429823000,285855000,None,None,None,38508000,None,49417000,32901000,21370000,None,706242000,552904000,271996000,None,None,97220000,153337999,None,70212000,96510000,None,169467000,183688000,33575000,721469000,-1465284000,1962161000,681000,39786000
