fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-03-31,USD,693028000,546624000,49401000,49401000,None,458930000,146404000,85449000,None,31134000,31134000,31134000,None,None,20496000,39441000,None,419338000,276888000,146141000,None,None,12250000,142450000,None,91735000,None,None,127980000,118497000,None,273690000,-232301000,415425000,644000,59919000
2006-06-30,USD,669734000,517595000,80815000,80815000,None,385386000,152139000,88614000,None,31134000,31134000,31134000,None,None,21699000,45781000,None,404271000,255527000,134284000,None,None,13704000,148744000,None,94625000,None,None,133141000,107539000,None,265463000,-275864000,443420000,647000,59287000
2006-09-30,USD,678615000,510579000,82819000,82819000,None,376309000,168036000,103346000,None,31134000,31134000,31134000,None,None,21162000,30289000,None,438233000,271549000,141419000,None,None,46355000,166684000,None,110250000,None,None,156605000,83775000,None,240382000,-335767000,472292000,649000,57948000
2006-12-31,USD,646651000,471362000,91491000,91491000,None,333181000,175289000,110957000,None,31134000,31134000,31134000,None,None,21548000,39340000,None,416377000,250194000,122313000,None,None,44165000,166183000,None,110591000,None,None,154756000,73693000,None,230274000,-377662000,499273000,650000,57300000
2007-03-31,USD,620584000,437943000,77780000,77780000,None,322308000,182641000,115501000,None,31134000,31134000,31134000,None,None,20701000,39207000,None,389632000,247666000,120404000,None,None,19578000,141966000,None,78415000,None,None,123153000,107684000,None,230952000,-401247000,519195000,651000,56470000
2007-06-30,USD,625600000,440004000,56162000,56162000,None,325044000,185596000,118067000,None,31134000,31134000,31134000,None,None,20741000,51976000,None,399802000,260323000,128611000,None,None,20097000,139479000,None,76535000,None,None,124699000,111615000,None,225798000,-445416000,547192000,654000,56191000
2007-09-30,USD,632179000,436487000,59047000,59047000,None,321508000,195692000,128203000,None,31134000,31134000,31134000,None,None,20948000,46382000,None,430719000,262312000,125068000,None,None,21848000,168407000,None,106187000,None,None,160236000,115396000,None,201460000,-503810000,574505000,656000,54608000
2007-12-31,USD,629001000,433653000,60750000,60750000,None,321428000,195348000,132369000,None,31134000,31134000,31134000,None,None,22921000,28554000,None,448215000,249575000,117122000,None,None,48924000,198640000,None,141598000,None,None,190522000,68664000,None,180786000,-554252000,601537000,656000,53400000
2008-03-31,USD,638197000,445762000,80980000,80980000,None,323484000,192435000,128291000,None,31134000,31134000,31134000,None,None,24046000,37148000,None,427631000,245938000,110980000,None,None,23525000,181693000,None,124172000,None,None,174908000,96155000,None,210566000,-554252000,623308000,659000,53003000
2008-06-30,USD,694065000,502336000,78792000,78792000,None,365681000,191729000,126732000,None,31134000,31134000,31134000,None,None,24023000,48099000,None,446254000,268435000,132786000,None,None,23514000,177819000,None,117469000,None,None,171120000,98469000,None,247811000,-554252000,651090000,661000,53373000
2008-09-30,USD,729580000,536853000,77604000,77604000,None,401271000,192727000,124283000,None,31134000,31134000,31134000,None,None,25727000,41649000,None,477487000,282929000,144730000,None,None,24084000,194558000,None,132997000,None,None,157081000,114115000,None,252093000,-582771000,681806000,661000,53028000
2008-12-31,USD,663530000,475402000,98904000,98904000,None,325148000,188128000,124178000,None,31134000,31134000,31134000,None,None,23479000,27871000,None,410394000,236585000,105882000,None,None,24693000,173809000,None,111752000,None,None,136445000,93771000,None,253136000,-605828000,704331000,661000,52200000
2009-03-31,USD,616536000,425249000,130378000,130378000,None,250457000,191287000,125803000,None,31134000,31134000,31134000,None,None,23860000,38805000,None,361610000,207329000,88037000,None,None,26274000,154281000,None,91216000,None,None,141325000,81097000,None,254926000,-617786000,716157000,662000,51782000
2009-06-30,USD,583324000,394165000,92091000,92091000,None,250155000,189159000,124513000,None,31134000,31134000,31134000,None,None,23791000,40767000,None,312065000,212003000,91858000,None,None,46352000,100062000,None,37778000,None,None,84130000,61845000,None,271259000,-619609000,731959000,662000,51487000
2009-09-30,USD,617744000,387866000,68990000,68990000,None,268543000,229878000,122297000,None,57297000,57297000,57297000,None,None,23706000,36605000,None,342699000,229672000,110029000,None,None,25988000,113027000,None,49053000,None,None,96260000,93655000,None,273884000,-636349000,749739000,662000,51245000
2009-12-31,USD,648792000,426612000,85719000,85719000,None,297003000,222180000,116656000,None,57470000,57470000,57470000,None,None,24325000,37714000,None,380641000,258635000,121030000,None,None,24585000,122006000,None,68313000,None,None,121817000,83498000,None,268016000,-660446000,766040000,663000,50600000
2010-03-31,USD,686358000,439632000,82493000,82493000,None,318858000,246726000,140188000,None,57470000,57470000,57470000,None,None,24391000,41963000,None,406480000,270563000,133505000,None,None,25562000,135917000,None,82641000,None,None,131494000,111496000,None,279962000,-664953000,780954000,663000,50318000
2010-06-30,USD,729102000,461465000,45081000,45081000,0,360996000,267637000,143505000,None,57470000,57470000,57470000,None,None,33156000,44351000,None,444155000,296809000,159548000,None,None,24886000,147346000,None,93956000,None,None,149135000,112375000,None,285258000,-685506000,803126000,665000,50215000
2010-09-30,USD,713640000,441587000,55075000,55075000,0,342966000,272053000,137101000,None,57470000,57470000,57470000,None,None,24243000,42081000,None,437103000,279088000,146707000,None,None,23488000,158015000,None,103643000,None,None,149628000,108893000,None,277114000,-715093000,822452000,665000,49447000
