fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2020-12-31,USD,64907,None,None,None,None,None,64907,None,None,None,None,None,None,None,None,None,None,45000,45000,None,None,None,None,None,None,None,None,None,None,45000,None,19907,None,-5093,863,None
2021-03-31,USD,None,23926000,-23926000,-23926000,None,None,-23926000,None,None,None,None,None,None,None,47852000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-15014000,None,None,None,18070265
2021-06-30,USD,480056,None,None,None,None,None,480056,None,None,None,None,None,None,None,None,None,None,474944,474944,None,None,None,None,None,None,None,None,None,None,474944,None,5112,None,-19888,863,18070265
2021-09-30,USD,301553137,1113717,636787,636787,None,None,300439420,None,None,None,None,None,None,None,None,476930,None,10591500,91500,None,None,None,None,10500000,None,None,None,None,None,91500,None,290961637,None,-41425,286131112,18070265
2021-12-31,USD,43449000,35771000,29289000,29289000,62000,5234000,7678000,None,None,None,None,None,None,None,None,2372000,None,95293000,68419000,2658000,None,None,12622000,26874000,2885000,None,12108000,None,14993000,53139000,None,-51844000,None,-66182000,1000,18070265
2022-03-31,USD,330673683,675167,163783,163783,62000,3434000,329998516,None,None,None,None,None,None,None,58578000,511384,None,11837869,296619,2876000,None,None,12622000,11541250,None,None,None,None,14993000,296619,None,318835814,None,-635966,315881074,18070265
2022-06-30,USD,69092000,55376000,20597000,20597000,12763000,19751000,13716000,None,None,None,None,None,None,None,None,15028000,None,127592000,97984000,17943000,None,None,12792000,29608000,3041000,None,12000000,None,15041000,23434000,3711000,-58500000,None,-73078000,1000,18070265
2022-09-30,USD,60898000,41756000,8952000,8952000,-28209000,28209000,19142000,19142000,None,None,None,None,None,None,None,4595000,None,131185000,87652000,6603000,None,None,8710000,43533000,None,None,None,None,22824000,72339000,None,-70287000,None,-85010000,1000,18070265
2022-12-31,USD,67004000,40992000,25764000,25764000,6695000,1649000,26012000,None,None,None,None,None,None,None,None,13579000,None,124623000,95180000,6523000,None,None,16823000,29443000,5803000,3863000,16098000,None,25764000,32003000,None,-57619000,None,-72587000,1000,18070265
2023-03-31,USD,99706000,65602999,46863000,46863000,11113000,14281000,34103000,None,None,None,None,None,None,None,None,4458999,None,220851000,108056000,18874000,None,None,31438000,112795000,5660000,3868000,16099000,None,40209000,4465000,103389000,-857173000,None,-870511000,8000,15224378
