fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2005-12-31,USD,11477000,None,None,None,None,957000,291000,None,-3084000,None,-28417000,17547000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7233000
2006-03-31,USD,1099000,None,None,None,None,1256000,501000,None,-2270000,None,-501000,-1005000,None,None,None,None,None,None,None,None,None,None,100000,None,1098000,None,None,8051000
2006-06-30,USD,12660000,None,None,None,None,1177000,381000,None,-398000,None,-1881000,-11186000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11090000
2006-09-30,USD,19605000,None,None,None,None,1210000,354000,None,-477000,None,-5250000,-14545000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12177000
2006-12-31,USD,16705000,None,None,None,None,1218000,1031000,None,-885000,None,-1031000,-15197000,None,None,None,None,None,None,None,None,None,None,-500000,None,-1098000,None,None,11059000
2007-03-31,USD,-4435000,None,None,None,None,1318000,598000,None,-4823000,None,-598000,5548000,None,None,None,None,None,None,None,None,None,None,-500000,None,1322000,None,None,10720000
2007-06-30,USD,26842000,None,None,None,None,1429000,471000,None,2052000,None,-23790000,-1365000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12582000
2007-09-30,USD,23577000,None,None,None,None,2103000,620000,None,-221000,None,-45409000,23616000,None,None,None,None,None,None,None,None,None,None,1400000,None,None,None,None,14056000
2007-12-31,USD,13511000,None,None,None,None,1510000,1622000,None,1842000,None,-1889000,-11803000,None,None,None,None,None,None,None,None,None,None,1400000,None,-1322000,None,None,15256000
2008-03-31,USD,12563000,None,None,None,None,3533000,2124000,None,-1558000,None,-190192000,175607000,None,None,None,None,None,None,None,None,None,None,-373000,None,2350000,None,None,13181000
2008-06-30,USD,30470000,None,None,None,None,3329000,619000,None,-771000,None,-13756000,-15203000,None,None,None,None,None,None,None,None,None,None,-11986000,None,None,None,None,17117000
2008-09-30,USD,20959000,None,None,None,None,3394000,665000,None,-4693000,None,-4153000,-16520000,None,None,None,None,None,None,None,None,None,None,200000,None,169000,None,None,16290000
2008-12-31,USD,21357000,None,None,None,None,2134000,929000,None,-83000,None,-1993000,-19807000,None,None,None,None,None,None,None,None,None,None,12359000,None,-169000,None,None,17313000
2009-03-31,USD,9891000,None,None,None,None,5205000,1870000,None,5562000,None,-117948000,111745000,None,None,None,None,None,None,None,None,None,None,None,None,2725000,None,None,14067000
2009-06-30,USD,37263000,None,None,None,None,2870000,2100000,None,4152000,None,-13509000,-25454000,None,None,None,None,None,None,None,None,None,None,None,None,2763000,None,None,13714000
2009-09-30,USD,30008000,None,None,None,None,3798000,971000,None,2004000,None,-972000,-26036000,None,None,None,None,None,None,None,None,None,None,400000,None,2696000,None,None,15501000
2009-12-31,USD,23612000,None,None,None,None,4015000,790000,None,5539000,None,-6608000,-21014000,None,None,None,None,None,None,None,None,None,None,None,None,2537000,None,None,17874000
2010-03-31,USD,6806000,None,None,None,None,3916000,1401000,None,552000,None,-3022000,-4016000,None,None,None,None,None,None,None,None,None,None,300000,None,3234000,None,None,13762000
2010-06-30,USD,25264000,None,None,None,None,3891000,1004000,None,-1038000,None,-2004000,-23850000,None,None,None,None,0,0,None,None,None,None,-3035000,None,4138000,None,None,17509000
2010-09-30,USD,34086000,None,None,None,None,3849000,603000,None,-5077000,None,-23730000,-11907000,None,None,None,None,0,0,None,None,None,None,-5745000,None,3686000,None,None,20602000
2010-12-31,USD,31799000,None,None,None,None,5358000,151000,-7249000,-748000,None,-121000,-30101000,None,None,None,None,0,0,None,None,None,None,-239000,None,3624000,26800000,-419000,20994000
2011-03-31,USD,-9541000,None,None,None,None,4047000,1703000,524000,-10309000,None,-4728000,15700000,None,None,None,None,15700000,15700000,None,None,None,None,-9453000,None,1956000,1602000,171000,17825000
2011-06-30,USD,39263000,None,None,None,None,5286000,1448000,-7628000,2681000,None,-97201000,69425000,None,None,None,None,0,0,None,None,None,None,200000,None,5393000,12131000,644000,19628000
2011-09-30,USD,35959000,None,None,None,None,5334000,1729000,-4637000,-1359000,None,-34211000,-8813000,None,None,None,None,0,0,None,None,None,None,-3578000,None,5427000,-7973000,-908000,23461000
2011-12-31,USD,64712000,None,None,None,None,5041000,2960000,-7249000,6700000,None,-52770000,15277000,None,None,None,None,0,0,None,None,None,None,-2632000,None,5357000,26800000,-419000,34559000
2012-03-31,USD,10753000,None,None,None,None,7047000,1584000,15409000,-9410000,None,-11473000,-11506000,None,None,None,None,11506000,11506000,None,None,None,None,-11046000,None,2747000,-11503000,723000,22095000
2012-06-30,USD,43543000,None,None,None,None,6542000,1513000,-4918000,3746000,None,-2251000,-33663000,None,None,None,None,0,0,None,None,None,None,-3426000,None,3130000,6514000,-1115000,31045000
2012-09-30,USD,39698000,None,None,None,None,7101000,2866000,2078000,-8678000,None,-30866000,-9752000,None,None,None,None,0,0,None,None,None,None,-1513000,None,3132000,-122000,798000,29769000
2012-12-31,USD,34352000,None,None,None,None,6213000,1689000,-16449000,-4684000,None,-25305000,-10020000,None,None,None,None,4541000,4541000,None,None,None,None,-4685000,None,2975000,-739000,234000,37788000
2013-03-31,USD,13531000,None,None,None,None,14023000,3923000,-8603000,-13229000,None,-381759000,378448000,None,None,None,None,378500000,378500000,None,None,None,None,-1091000,None,2965000,9403000,-817000,25902000
2013-06-30,USD,10487000,None,None,None,None,11794000,9173000,-3214000,2633000,None,-11724000,-8111000,None,None,None,None,19200000,19200000,None,None,None,None,-640000,None,2965000,-9363000,-15000,37163000
2013-09-30,USD,59567000,None,None,None,None,9200000,2960000,-1468000,-8162000,None,8266000,-73861000,None,None,None,None,80800000,80800000,None,None,None,None,-1855000,None,2965000,-5051000,977000,40942000
2013-12-31,USD,62573000,None,None,None,None,8147000,3584000,-4239000,-1061000,None,-88973000,33726000,None,None,None,None,33600000,33600000,None,None,None,None,-805000,None,2967000,7539000,213000,49921000
2014-03-31,USD,-13558000,None,None,None,None,10521000,3231000,-15786000,-5638000,None,-48956000,64615000,None,None,None,None,0,0,None,None,None,None,-44283000,None,1938000,2156000,55000,33445000
2014-06-30,USD,75231000,None,None,None,None,10793000,3755000,-4511000,-4943000,None,-18755000,-62863000,None,None,None,None,0,0,None,None,None,None,0,None,4758000,-6792000,-405000,48405000
2014-09-30,USD,102709000,None,None,None,None,10620000,3121000,-489000,123000,None,-19081000,-77033000,None,None,None,None,0,0,None,None,None,None,0,None,4939000,5894000,-701000,59713000
2014-12-31,USD,69500000,None,None,None,None,9318000,3036000,209000,8394000,None,-146266000,84168000,None,None,None,None,0,0,None,None,None,None,0,None,5055000,5793000,-1609000,51749000
2015-03-31,USD,23756000,None,None,None,None,11232000,6117000,-5209000,-15023000,None,-52615000,39489000,None,None,None,None,0,0,None,None,None,None,-4836000,None,2029000,10314000,-316000,38231000
2015-06-30,USD,85004000,None,None,None,None,10928000,6567000,3938000,-11679000,None,-35261000,-64918000,None,None,None,None,0,0,None,None,None,None,0,None,5370000,-15673000,-498000,54267000
2015-09-30,USD,58816000,None,None,None,None,11823000,6308000,5773000,1106000,None,-192039000,150578000,None,None,None,None,0,0,None,None,None,None,0,None,4287000,16476000,-879000,48825000
2015-12-31,USD,82016000,None,None,None,None,20091000,3370000,12610000,33422000,None,-91072000,11609000,None,None,None,None,0,0,None,None,None,None,0,None,4178000,466000,-2087000,50287000
2016-03-31,USD,14505000,None,None,None,None,14930000,7693000,-19576000,-12802000,None,-7693000,-6948000,None,None,None,None,0,0,None,None,None,None,-4418000,None,4959000,153000,289000,54538000
2016-06-30,USD,81177000,None,None,None,None,16310000,5415000,2831000,-10556000,None,-217439000,156345000,None,None,None,None,0,0,None,None,None,None,0,None,6201000,18350000,-1733000,72891000
2016-09-30,USD,79415000,None,None,None,None,13169000,5691000,-19239000,-11871000,None,-4588000,-86517000,None,None,None,None,0,0,None,None,None,None,0,None,6186000,-12251000,-561000,75851000
2016-12-31,USD,119013000,None,None,None,None,13825000,6018000,2076000,12983000,None,-6018000,-104250000,None,None,None,None,0,0,None,None,None,None,0,None,10559000,6705000,-2040000,80936000
2017-03-31,USD,46880000,None,None,None,None,14057000,8276000,19417000,-24088000,None,-10972000,-28941000,None,None,None,None,0,0,None,None,None,None,-24645000,None,3550000,8091000,1124000,70702000
2017-06-30,USD,39156000,None,None,None,None,18258000,23432000,-2160000,-1519000,None,-125720000,73697000,None,None,None,None,0,0,None,None,None,None,0,None,2955000,-11703000,1164000,77569000
2017-09-30,USD,118856000,None,None,None,None,16961000,10726000,-3423000,5640000,None,-50922000,-53541000,None,None,None,None,0,0,None,None,None,None,-200351000,None,-27000,16853000,2460000,74671000
2017-12-31,USD,99563000,None,None,None,None,20498000,12059000,12346000,10223000,None,-157852000,64621000,None,None,None,None,0,0,None,None,None,None,-14842000,None,-241000,7928000,1596000,75186000
2018-03-31,USD,44748000,None,None,None,None,20024000,22056000,1041000,-9129000,None,-51515000,18365000,None,None,None,None,0,0,None,None,None,None,0,None,145000,13636000,2038000,65420000
2018-06-30,USD,101887000,None,None,None,None,18598000,7551000,-29274000,9521000,None,-1122633000,1014517000,None,None,None,None,0,0,None,None,None,None,0,None,1673000,-11006000,-4777000,83988000
2018-09-30,USD,105412000,None,None,None,None,27833000,8344000,-10703000,-25996000,None,-11541000,-109260000,None,None,None,None,0,0,None,None,None,None,0,None,3450000,-15696000,-307000,72905000
2018-12-31,USD,116867000,None,None,None,None,30783000,3488000,13589000,-2774000,None,-53734000,-67493000,None,None,None,None,None,None,None,None,None,None,None,None,-2771000,-4887000,-527000,94839000
2019-03-31,USD,33948000,None,None,None,None,25514000,8095000,11743000,-54532000,None,-20492000,-4111000,None,None,None,None,None,None,None,None,None,None,-5268000,None,1069000,9509000,164000,69013000
2019-06-30,USD,67642000,None,None,None,None,35752000,13535000,-10809000,-10622000,None,-168227000,101281000,None,None,None,None,None,None,None,None,None,None,-818000,None,265000,477000,-219000,92210000
2019-09-30,USD,128154000,None,None,None,None,33252000,12189000,-2050000,-710000,None,-84074000,-35555000,None,None,None,None,None,None,None,None,None,None,-58000,None,1923000,5494000,-3031000,82020000
2019-12-31,USD,147681000,None,None,None,None,8910000,12790000,-26632000,37576000,None,-54874000,-87060000,None,None,None,None,None,None,None,None,None,None,0,None,4876000,7319000,1572000,108997000
2020-03-31,USD,87137000,None,None,None,None,26599000,9181000,33408000,-28094000,None,-39222000,245098000,None,None,None,None,None,None,None,None,None,None,-74600000,None,4159000,286543000,-6470000,73779000
2020-06-30,USD,77623000,None,None,None,None,27611000,13531000,103800000,16696000,None,-3959000,193233000,None,None,None,None,None,None,None,None,None,None,-2249000,None,4963000,268677000,1780000,21162000
2020-09-30,USD,151422000,None,None,None,None,27384000,7064000,-68032000,54586000,None,-10358000,-573169000,None,None,None,None,None,None,None,None,None,None,-395000,None,5300000,-429410000,2695000,60516000
2020-12-31,USD,208603000,None,None,None,None,34779000,5073000,21223000,23502000,None,-53218000,-117630000,None,None,None,None,None,None,None,None,None,None,-8628000,None,5191000,47793000,10038000,51837000
2021-03-31,USD,59695000,None,None,None,None,30432000,8725000,-66666000,-33266000,None,-7038000,-8285000,None,None,None,None,None,None,None,None,None,None,-1762000,None,7609000,41228000,-3144000,89263000
2021-06-30,USD,112686000,None,None,None,None,29610000,10586000,3164000,-34783000,None,-17184000,-10446000,None,None,None,None,None,None,None,None,None,None,-600000,None,9329000,86231000,1175000,120585000
2021-09-30,USD,173659000,None,None,None,None,30630000,10421000,-33853000,-63658000,None,-388457000,73092000,None,None,None,None,None,None,None,None,None,None,-115000,None,10198000,-144086000,-2380000,175966000
2021-12-31,USD,77359000,None,None,None,None,34571000,21819000,-2535000,-69644000,None,-596182000,448428000,None,None,None,None,None,None,None,None,None,None,-26788000,None,15194000,-71114000,-719000,102678000
2022-03-31,USD,-15344000,None,None,None,None,46742000,14497000,-55305000,-88474000,None,-24126000,8721000,None,None,None,None,None,None,None,None,None,None,-170013000,None,13723000,-30749000,None,85755000
2022-06-30,USD,104802000,None,None,None,None,29035000,17636000,5109000,-83425000,None,-83133000,9017000,None,None,None,None,None,None,None,None,None,None,-69596000,None,13157000,30686000,None,113248000
2022-09-30,USD,83991000,None,None,None,None,31140000,18781000,39022000,-42118000,None,-150609000,54856000,None,None,None,None,None,None,None,None,None,None,-71000,None,15761000,-11762000,None,104369000
2022-12-31,USD,159103000,None,None,None,None,31144000,17907000,-17218000,17704000,None,-90451000,-64963000,None,None,None,None,None,None,None,None,None,None,-25097000,None,15727000,3689000,None,133197000
2023-03-31,USD,92002000,None,None,None,None,34947000,27110000,-17625000,-30825000,None,-36450000,-63377000,None,None,None,None,None,None,None,None,None,None,-67648000,None,12232000,-7825000,None,99089000
2023-06-30,USD,61948000,None,None,None,None,30830000,23010000,9796000,38345000,None,-48816000,-11858000,None,None,None,None,None,None,None,None,None,None,-6896000,None,9898000,1274000,None,116850000
2023-09-30,USD,219153000,None,None,None,None,33281000,21330000,None,59453000,None,-53958000,-150533000,None,None,None,None,None,None,None,None,None,None,0,None,13175000,None,None,108650000
2023-12-31,USD,255687000,None,None,None,None,31760000,15534000,None,90895000,None,-16518000,-165171000,None,None,None,None,None,None,None,None,None,None,-21000,None,15742000,None,None,76293000
2024-03-31,USD,140901000,None,None,None,None,32410000,13823000,None,-12965000,None,-16089000,-28558000,None,None,None,None,None,None,None,None,None,None,-16995000,None,13822000,None,None,86568000
2024-06-30,USD,149516000,None,None,None,None,29781000,10937000,None,20652000,None,-14228000,-14117000,None,None,None,None,None,None,None,None,None,None,-976000,None,7648000,None,None,115395000
2024-09-30,USD,156665000,None,None,None,None,34382000,11409000,None,25358000,None,-13682000,-3114000,None,None,None,None,None,None,None,None,None,None,-287000,None,8669000,None,None,114166000
2024-12-31,USD,239734000,None,None,None,None,32338000,13141000,None,62362000,None,-114536000,-27979000,None,None,None,None,None,None,None,None,None,None,-16402000,None,6012000,None,None,112304000
2025-03-31,USD,141134000,None,None,None,None,32145000,33732000,None,-28742000,None,-34837000,-57091000,None,None,None,None,None,None,None,None,None,None,-42778000,None,2488000,None,None,92352000
2025-06-30,USD,122003000,None,None,None,None,32190000,20919000,None,7330000,None,-24419000,-346368000,None,None,None,None,None,None,None,None,None,None,-322913000,None,6224000,None,None,105956000
2025-09-30,USD,176341000,None,None,None,None,32830000,20266000,None,-11534000,None,-51301000,-462580000,None,None,None,None,None,None,None,None,None,None,-148610000,None,-104000,None,None,-512978000
2025-12-31,USD,190719000,None,None,None,None,8140000,4188000,None,36012000,None,-16332000,-104902000,None,None,None,None,None,None,None,None,None,None,-209312000,None,4854000,None,None,36939000
