fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-12-31,USD,132400000,945806000,813406000,813406000,43126000,74610000,None,89274000,None,None,None,10023000,None,None,None,15437000,41209000,75345000,None,None,None,35020000,50457000,-50348000
2007-12-31,USD,146173000,1037779000,891606000,891606000,14462000,114723000,None,131711000,None,None,None,9236000,None,None,None,18088000,8742000,9038000,None,None,None,14462000,32550000,-7328000
2008-12-31,USD,198353000,1378663000,1180310000,1180310000,81303000,88585000,None,117050000,None,None,None,13718000,None,None,None,28465000,67472000,870000,None,None,None,80376000,108841000,65788000
2009-12-31,USD,247377000,1623502000,1376125000,1376125000,76216000,96932000,None,146471000,None,None,None,24690000,None,None,None,49539000,79133000,8385000,None,None,None,100906000,150445000,70748000
2010-12-31,USD,369149000,2308031000,1938882000,1938882000,155420000,126658000,None,184624000,None,None,None,31804000,None,None,None,57966000,154000000,63613000,None,None,None,185945000,243911000,90528000
2011-12-31,USD,402886000,3008977000,2606091000,2606091000,179803000,148432000,0,223683000,None,None,None,35000000,None,29224000,None,75228000,174027000,68055000,None,105972000,None,209050000,284278000,106001000
2012-12-31,USD,487594000,3726789000,3239195000,3239195000,220219000,157524000,0,249482000,None,None,None,37776000,None,-8017000,None,92601000,192719000,76080000,None,116639000,None,230495000,323096000,107426000
2013-12-31,USD,642420000,4324787000,3682367000,3682367000,283438000,215402000,0,356328000,None,None,None,46842000,None,564000,None,140928000,240214000,92542000,None,147672000,None,287990000,428918000,140950000
2014-12-31,USD,633840000,4611803000,3977963000,3977963000,241083000,238305000,0,392757000,None,None,None,0,None,8116000,None,154452000,198430000,76429000,None,122001000,None,241083000,395535000,115923000
2015-12-31,USD,487027000,4208330000,3721303000,3721303000,56679000,265910000,0,435572000,None,None,48055000,48055000,None,7479000,None,169662000,-67746000,11957000,None,-79703000,None,-19691000,149971000,-79110000
2016-12-31,USD,692578000,5134703000,4442125000,4442125000,276553000,261433000,0,426348000,None,-50734000,47206000,50734000,None,10323000,None,164915000,225819000,91784000,None,134035000,None,276553000,441468000,131263000
2017-12-31,USD,861671000,6606978000,5745307000,5745307000,398519000,275103000,0,463152000,None,-61011000,39683000,61011000,None,34318000,None,188049000,371826000,22942000,None,348884000,None,432837000,620886000,347213000
2018-12-31,USD,970109000,6909417000,5939308000,5939308000,495536000,287278000,0,500208000,None,-82571000,58716000,82571000,None,25635000,None,212930000,365303000,106072000,None,259231000,None,469901000,682831000,259659000
2019-12-31,USD,877462000,7183188000,6305726000,6305726000,577962000,299500000,None,299500000,None,-77026000,49659000,77026000,None,13322000,None,235482000,510939000,116843000,None,394096000,None,587965000,823447000,392334000
2020-12-31,USD,1050096000,6320975000,5270879000,5270879000,490362000,302981000,None,1050096000,None,-59629000,29891000,59629000,None,51640000,None,297751000,425164000,102465000,None,322699000,None,484793000,782544000,322848000
2021-12-31,USD,1146046000,7951781000,6805735000,6805735000,416250000,306970000,None,729796000,None,-53413000,26583000,53413000,None,67238000,None,422826000,430075000,99346000,None,330729000,None,483488000,906314000,328831000
2022-12-31,USD,1191705000,9778038000,8586333000,8586333000,125120000,559437000,None,1066585000,None,-112255000,83419000,112255000,None,30194000,None,507148000,43059000,9171000,None,33888000,None,155314000,662462000,33354000
2023-12-31,USD,786810000,11995934000,11209124000,11209124000,152011000,634799000,None,634799000,None,-224606000,203708000,234405000,None,None,None,603162000,-82704000,-35408000,None,-45117000,None,151701000,754863000,-49949000
2024-12-31,USD,1627477000,12303464000,10675987000,10675987000,436351000,684508000,None,1191126000,None,-193266000,163038000,193266000,None,None,None,506618000,250963000,51542000,None,199421000,None,444229000,950847000,162788000
2025-12-31,USD,1365652000,14299171000,12933519000,12933519000,652643000,713009000,None,713009000,None,-172985000,141021000,172985000,None,None,None,427082000,515398000,93384000,None,422014000,None,688383000,1115465000,399042000
