fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-12-31,USD,5488000000,30148000000,24660000000,24660000000,2454000000,3034000000,574000000,3034000000,None,None,None,347000000,None,None,None,691000000,2276000000,709000000,None,None,None,2464000000,3155000000,1542000000
2007-12-31,USD,6214000000,32018000000,25804000000,25804000000,3006000000,3208000000,537000000,3208000000,None,None,None,336000000,None,None,None,719000000,2686000000,883000000,None,None,None,3006000000,3725000000,1790000000
2008-12-31,USD,6189000000,33887000000,27698000000,27698000000,-111000000,3240000000,576000000,6300000000,None,None,None,295000000,None,None,None,761000000,-368000000,913000000,None,None,None,-73000000,688000000,-1262000000
2009-12-31,USD,5625000000,33755000000,28130000000,28130000000,2483000000,3142000000,610000000,3142000000,None,None,None,281000000,None,64000000,None,585000000,2266000000,693000000,None,1573000000,None,2698000000,3283000000,1686000000
2010-12-31,USD,5294000000,28143000000,22849000000,22849000000,2827000000,3078000000,603000000,2467000000,None,None,None,269000000,None,-194000000,None,555000000,2366000000,462000000,None,2038000000,None,2827000000,3382000000,2053000000
2011-12-31,USD,5626000000,26412000000,20786000000,20786000000,3276000000,2350000000,543000000,23136000000,None,None,None,221000000,None,28000000,None,544000000,3083000000,997000000,None,2086000000,None,3304000000,3848000000,2118000000
2012-12-31,USD,5580000000,25218000000,19638000000,19638000000,3130000000,2450000000,520000000,2403000000,None,None,None,212000000,None,47000000,None,510000000,2965000000,987000000,None,1978000000,None,3177000000,3687000000,1978000000
2013-12-31,USD,5379000000,24661000000,19282000000,19282000000,3123000000,2256000000,507000000,2256000000,None,None,None,257000000,None,-3000000,None,495000000,2863000000,911000000,None,1952000000,None,3120000000,3615000000,1952000000
2014-12-31,USD,5601000000,23979000000,18378000000,18378000000,3196000000,2405000000,569000000,2405000000,None,None,None,282000000,None,23000000,None,462000000,2937000000,868000000,None,-247000000,None,3219000000,3681000000,2069000000
2015-12-31,USD,5642000000,23526000000,17884000000,17884000000,3076000000,2566000000,712000000,2566000000,None,None,301000000,301000000,None,15000000,None,467000000,2790000000,800000000,None,2065000000,None,3091000000,3558000000,1990000000
2016-12-31,USD,5777000000,24508000000,18731000000,18731000000,3193000000,2632000000,705000000,2632000000,None,-301000000,301000000,301000000,None,31000000,None,456000000,2923000000,723000000,None,2025000000,None,2938000000,3394000000,2200000000
2017-12-31,USD,5954000000,25803000000,19849000000,19849000000,3299000000,2712000000,639000000,2712000000,None,-360000000,360000000,360000000,None,110000000,None,475000000,3049000000,1034000000,None,2845000000,None,4453000000,4928000000,2015000000
2018-12-31,USD,6791000000,30095000000,23304000000,23304000000,3780000000,3011000000,764000000,3040000000,None,-562000000,562000000,562000000,None,130000000,None,800000000,3742000000,513000000,None,3169000000,None,4304000000,5104000000,3229000000
2019-12-31,USD,7259000000,33841000000,26582000000,26582000000,3969000000,3290000000,953000000,3290000000,None,-528000000,528000000,528000000,None,107000000,None,1265000000,2548000000,300000000,None,2201000000,None,2969000000,4234000000,2248000000
2020-12-31,USD,7478000000,36799000000,29321000000,29321000000,4065000000,3413000000,1100000000,3413000000,None,-593000000,593000000,593000000,None,92000000,None,1267000000,3728000000,539000000,None,3148000000,None,4321000000,5588000000,3189000000
2021-12-31,USD,7268000000,35667000000,28399000000,28399000000,5651000000,3597000000,1100000000,1617000000,None,-556000000,556000000,556000000,None,19000000,None,1239000000,8938000000,1933000000,None,6997000000,None,7495000000,8734000000,7005000000
2022-12-31,USD,7474000000,36602000000,29128000000,29128000000,3601000000,3873000000,1200000000,3873000000,None,-506000000,506000000,506000000,None,4000000,None,1342000000,5836000000,940000000,None,4896000000,None,6342000000,7684000000,4896000000
2023-12-31,USD,39290000000,39290000000,30795000000,30795000000,2537000000,4014000000,1200000000,4014000000,None,-537000000,545000000,545000000,None,None,None,1338000000,2346000000,290000000,None,4671000000,None,2537000000,2537000000,2056000000
2024-12-31,USD,8362000000,41033000000,32671000000,32671000000,4370000000,3992000000,1100000000,3992000000,None,-621000000,621000000,621000000,None,None,None,1370000000,5016000000,842000000,None,4174000000,None,5469000000,6839000000,4174000000
2025-12-31,USD,8313000000,41954000000,33641000000,33641000000,4280000000,4033000000,1100000000,4033000000,None,-665000000,665000000,665000000,None,None,None,1472000000,5068000000,886000000,None,4182000000,None,5733000000,7205000000,4182000000
