fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-01-31,USD,92485000,444569000,352084000,352084000,54224000,None,None,38261000,None,None,None,1554000,None,None,None,17554000,53095000,19645000,None,None,None,54224000,71778000,33025000
2006-04-30,USD,110695000,507236000,396541000,396541000,68845000,None,None,41850000,None,None,None,840000,None,None,None,18058000,67986000,25155000,None,None,None,68845000,86903000,42850000
2006-07-31,USD,110258000,553047000,442789000,442789000,69027000,None,None,41231000,None,None,None,1292000,None,None,None,17433000,70089000,25186000,None,None,None,69027000,86460000,45133000
2006-10-31,USD,101735000,527720000,425985000,425985000,59298000,72819000,0,42437000,None,None,None,394000,None,None,None,18612000,59646000,20517000,None,0,None,59298000,77910000,39175000
2007-01-31,USD,76027000,417641000,341614000,341614000,30381000,19203000,0,44695000,None,None,None,939000,None,None,None,19063000,31320000,11275000,None,0,None,30381000,49444000,20045000
2007-04-30,USD,47551000,519438000,191000000,191000000,50542000,17196000,0,26256000,None,None,None,150000,None,None,None,19634000,51251000,18451000,None,0,None,10802000,30436000,32800000
2007-07-31,USD,58904000,554084000,210602000,210602000,59162000,17952000,0,26632000,None,None,None,140000,None,None,None,18199000,59829000,19610000,None,0,None,22855000,41054000,40219000
2007-10-31,USD,105995000,557858000,451863000,451863000,-136031000,16325000,0,242026000,None,None,None,203487000,None,None,None,20412000,64664000,23106000,None,0,None,-136031000,-115619000,41558000
2008-01-31,USD,174912000,174912000,147077000,147077000,165912000,20043000,0,174912000,None,None,None,138000,None,None,None,9000000,0,162828000,None,0,None,165912000,174912000,3084000
2008-04-30,USD,36562000,207338000,170776000,170776000,-16222000,43637000,0,52784000,None,None,None,10366000,None,None,None,9147000,-12080000,-4765000,None,0,None,-16222000,-7075000,-5333000
2008-07-31,USD,39895000,240338000,200443000,200443000,14372000,17002000,0,25523000,None,None,None,534000,None,None,None,8537000,14580000,5762000,None,0,None,14372000,22909000,8818000
2008-10-31,USD,47265000,246345000,199080000,199080000,23998000,14822000,0,23267000,None,None,None,500000,None,None,None,8463000,24186000,9176000,None,0,None,23998000,32461000,15010000
2009-01-31,USD,6226000,112888000,106662000,106662000,-155561000,15781000,0,161600000,None,None,None,122000,None,None,None,8723000,-155561000,-35148000,None,0,None,-155313000,-146590000,-120413000
2009-04-30,USD,113206000,113206000,104385000,104385000,-170000000,12682000,0,170000000,None,None,None,109000,None,None,None,7800000,-57151000,-17005000,None,0,None,-57260000,-49460000,-40146000
2009-07-31,USD,34981000,163977000,128996000,128996000,12429000,14532000,0,22269000,None,None,None,129000,None,None,None,8007000,12328000,4191000,None,0,None,12429000,20436000,8137000
2009-10-31,USD,45651000,194939000,149288000,149288000,20270000,17307000,0,25381000,None,None,None,93000,None,None,None,190654000,20257000,4926000,None,0,None,20350000,211004000,15331000
2010-01-31,USD,25288000,151422000,126134000,126134000,1847000,16107000,0,23441000,None,None,None,124000,None,None,None,7352000,1801000,718000,None,0,None,1847000,9199000,194000
2010-04-30,USD,31760000,199386000,167626000,167626000,5679000,19046000,0,26081000,None,None,None,103000,None,None,None,7052000,7003000,2619000,None,0,None,5679000,12731000,4313000
2010-07-31,USD,40404000,225203000,184799000,184799000,16199000,17566000,0,24205000,None,None,None,106000,None,None,None,6639000,17090000,6661000,None,0,None,16199000,22838000,10281000
2010-10-31,USD,40013000,222303000,182290000,182290000,13572000,19235000,0,26441000,None,None,None,107000,None,None,None,7223000,13608000,5303000,None,0,None,13715000,20938000,8310000
2011-01-31,USD,20153000,159808000,139655000,139655000,-7666000,20294000,0,27819000,None,None,None,121000,None,100000,None,7542000,-7687000,-2959000,None,-4728000,None,-7666000,-124000,-4740000
2011-04-30,USD,27600000,203112000,175512000,175512000,-2285000,22024000,0,29885000,None,None,None,110000,None,338000,None,7878000,-2057000,-668000,None,-1389000,None,-2285000,5593000,-1389000
2011-07-31,USD,42746000,252413000,209667000,209667000,14637000,18912000,0,28109000,None,None,None,110000,None,-311000,None,9215000,14216000,5200000,None,9016000,None,14637000,23852000,9016000
2011-10-31,USD,45704000,232961000,187257000,187257000,11792000,22764000,0,33912000,None,None,None,108000,None,-641000,None,9365000,11043000,4864000,None,12616000,None,11151000,20516000,6179000
2012-01-31,USD,23537000,161579000,138042000,138042000,-11304000,25152000,0,34841000,None,None,None,126000,None,217000,None,9706000,-11213000,-4465000,None,-11213000,None,-11087000,-1381000,-6748000
2012-04-30,USD,22607000,194444000,171837000,171837000,-16079000,29125000,0,38686000,None,None,None,114000,None,-39000,None,9579000,-16232000,-3947000,None,-16232000,None,-16079000,-6500000,-12285000
2012-07-31,USD,37242000,237905000,200663000,200663000,1452000,26659000,0,35790000,None,None,None,108000,None,21000,None,9149000,1365000,-166000,None,1365000,None,1455000,10604000,1531000
2012-10-31,USD,41746000,235048000,193302000,193302000,978000,30641000,0,40768000,None,None,None,106000,None,23000,None,9232000,895000,-73000,None,895000,None,1001000,10233000,968000
2013-01-31,USD,23023000,185713000,162690000,162690000,-13685000,27051000,0,36708000,None,None,None,139000,None,-91000,None,9690000,-13915000,-5797000,None,-13915000,None,-14087000,-4397000,-8118000
2013-04-30,USD,29410000,232458000,95730000,95730000,-9373000,31329000,0,38014000,None,None,None,174000,None,9000,None,11634000,-9538000,-2190000,None,-9538000,None,-8699000,2935000,-7348000
2013-07-31,USD,40739000,259174000,116026000,116026000,7116000,24683000,0,33373000,None,None,None,182000,None,-46000,None,12065000,6888000,1919000,None,6888000,None,7449000,19514000,4969000
2013-10-31,USD,53055000,275297000,222242000,222242000,-1787000,26262000,0,54842000,None,None,None,145000,None,296000,None,27115000,-1636000,-430000,None,-1636000,None,-2872000,24243000,-1206000
2014-01-31,USD,30190000,202362000,96189000,96189000,-5113000,24767000,0,31052000,None,None,None,158000,None,96000,None,10294000,-5175000,-1275000,None,-3900000,None,-766000,9528000,-3900000
2014-04-30,USD,26559000,135208000,108649000,108649000,-2828000,20393000,0,29387000,None,None,None,143000,None,-22000,None,9784000,-2993000,-963000,None,-2030000,None,-2850000,6934000,20131000
2014-07-31,USD,39275000,169981000,130706000,130706000,12666000,18097000,0,26609000,None,None,None,135000,None,-8000,None,8512000,12523000,3956000,None,8567000,None,12658000,21170000,8047000
2014-10-31,USD,34776000,163816000,129040000,129040000,5299000,21158000,0,29477000,None,None,None,143000,None,26000,None,8320000,5182000,2170000,None,5701000,None,5325000,13645000,4956000
2015-01-31,USD,22089000,127893000,105804000,105804000,-5615000,19496000,0,27704000,None,None,None,141000,None,-151000,None,8208000,-5907000,-2813000,None,-3094000,None,-5615000,2593000,-3071000
2015-04-30,USD,31158000,141970000,110812000,110812000,3689000,19638000,0,27469000,None,None,None,145000,None,-115000,None,7831000,3429000,1135000,None,2294000,None,3574000,11405000,2294000
2015-07-31,USD,43353000,180206000,136853000,136853000,9828000,25023000,0,33525000,None,None,None,338000,None,566000,None,8502000,10056000,3585000,None,6471000,None,10394000,18896000,6927000
2015-10-31,USD,49831000,195459000,145628000,145628000,16773000,22379000,0,33058000,None,None,None,367000,None,-831000,None,10679000,15575000,5632000,None,9943000,None,15942000,26621000,9943000
2016-01-31,USD,42120000,201468000,159348000,159348000,-2138000,31288000,0,44258000,None,None,None,6491000,None,-2361000,None,12970000,-10990000,-3741000,None,-7249000,None,5262000,18232000,-7249000
2016-04-30,USD,52963000,229460000,176497000,176497000,10556000,28591000,0,42407000,None,None,None,5633000,None,848000,None,13816000,5771000,1836000,None,3935000,None,11404000,25220000,3935000
2016-07-31,USD,61454000,248085000,186631000,186631000,19930000,28551000,0,41524000,None,None,None,22200000,None,-2523000,None,12973000,-4793000,-817000,None,-3976000,None,17407000,30380000,-3976000
2016-10-31,USD,61003000,249171000,188168000,188168000,8005000,26480000,0,52998000,None,None,None,2174000,None,-1443000,None,13387000,4388000,-1043000,None,5431000,None,6562000,19949000,5431000
2017-01-31,USD,40149000,195096000,154947000,154947000,-3841000,27445000,0,43990000,None,None,None,2160000,None,661000,None,15406000,-5340000,-1614000,None,-3726000,None,-3180000,12226000,-3726000
2017-04-30,USD,47001000,209133000,162132000,162132000,4625000,26916000,0,42376000,None,None,None,2391000,None,-135000,None,14380000,2099000,637000,None,1462000,None,4490000,18870000,1462000
2017-07-31,USD,52609000,229367000,176758000,176758000,17352000,20478000,0,35257000,None,None,None,2575000,None,46000,None,13915000,14823000,4608000,None,10215000,None,17398000,31313000,10215000
2017-10-31,USD,54634000,232149000,177515000,177515000,16231000,23142000,0,38403000,None,None,None,2469000,None,158000,None,13794000,13920000,3188000,None,10732000,None,16389000,30183000,10732000
2018-01-31,USD,37145000,191666000,154521000,154521000,-489000,24076000,0,37741000,None,None,None,2441000,None,317000,None,13273000,-2613000,-7560000,None,4947000,None,-172000,13101000,4947000
2018-04-30,USD,45182000,214212000,169030000,169030000,8136000,23783000,0,37415000,None,None,None,2502000,None,-105000,None,13310000,5529000,1393000,None,4136000,None,8031000,21341000,4136000
2018-07-31,USD,54010000,239821000,185811000,185811000,17087000,24190000,0,37180000,None,None,None,2641000,None,-62000,None,12691000,14384000,3631000,None,10753000,None,17025000,29716000,10753000
2018-10-31,USD,56310000,244086000,187776000,187776000,11641000,31486000,0,44669000,None,None,None,3516000,None,28000,None,12548000,8153000,1661000,None,4742000,None,11669000,24217000,6492000
2019-01-31,USD,38251000,196808000,158557000,158557000,-2450000,28026000,0,40701000,None,None,None,2442000,None,256000,None,12572000,-4636000,-987000,None,-3649000,None,-2194000,10378000,-3649000
