fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
1996-03-31,1996-04-16,0.73,0.74,-0.01,-1.3514,pre-market
1996-06-30,1996-07-18,1.25,1.31,-0.06,-4.5802,pre-market
1996-09-30,1996-11-15,1.44,1.44,0,0,pre-market
1996-12-31,1997-01-23,1.25,1.26,-0.01,-0.7937,pre-market
1997-03-31,1997-04-15,0.76,0.76,0,0,pre-market
1997-06-30,1997-07-17,1.11,1.14,-0.03,-2.6316,pre-market
1997-09-30,1997-10-21,1.04,0.99,0.05,5.0505,pre-market
1997-12-31,1998-01-29,0.05,0.08,-0.03,-37.5,pre-market
1998-03-31,1998-04-15,0.12,0.1,0.02,20,pre-market
1998-06-30,1998-07-16,1.09,0.95,0.14,14.7368,pre-market
1998-09-30,1998-10-13,1.66,1.3,0.36,27.6923,pre-market
1998-12-31,1999-01-26,1.03,0.96,0.07,7.2917,pre-market
1999-03-31,1999-04-15,0.77,0.74,0.03,4.0541,pre-market
1999-06-30,1999-07-15,1.31,1.29,0.02,1.5504,pre-market
1999-09-30,1999-10-14,1.53,1.52,0.01,0.6579,pre-market
1999-12-31,2000-01-25,1.05,1.1,-0.05,-4.5455,pre-market
2000-03-31,2000-04-13,0.92,0.83,0.09,10.8434,pre-market
2000-06-30,2000-07-13,1.04,1,0.04,4,pre-market
2006-09-30,2006-10-25,1.0345,None,0,None,pre-market
2006-12-31,2007-02-21,302.6741,None,0,None,pre-market
2007-03-31,2007-05-02,0.14,0.2,-0.06,-30,pre-market
2007-06-30,2007-08-01,0.37,0.26,0.11,42.3077,pre-market
2007-09-30,2007-11-01,0.4,0.42,-0.02,-4.7619,pre-market
2007-12-31,2008-02-27,0.36,0.18,0.18,100,pre-market
2008-03-31,2008-05-07,0.07,0.02,0.05,250,pre-market
2008-06-30,2008-07-30,0.25,0.21,0.04,19.0476,pre-market
2008-09-30,2008-10-29,0.72,0.29,0.43,148.2759,pre-market
2008-12-31,2009-02-18,0.13,0.15,-0.02,-13.3333,pre-market
2009-03-31,2009-04-30,0.04,-0.04,0.08,200,pre-market
2009-06-30,2009-08-05,0.49,0.09,0.4,444.4444,pre-market
2009-09-30,2009-10-28,0.61,0.39,0.22,56.4103,pre-market
2009-12-31,2010-02-17,0.01,0.24,-0.23,-95.8333,pre-market
2010-03-31,2010-04-28,0.42,0.15,0.27,180,pre-market
2010-06-30,2010-08-04,0.57,0.6,-0.03,-5,pre-market
2010-09-30,2010-10-27,0.35,0.37,-0.02,-5.4054,pre-market
2010-12-31,2011-02-16,0.23,0.19,0.04,21.0526,pre-market
2011-03-31,2011-04-27,0.2,0.36,-0.16,-44.4444,pre-market
2011-06-30,2011-08-03,0.61,0.58,0.03,5.1724,pre-market
2011-09-30,2011-10-26,0.9,0.76,0.14,18.4211,pre-market
2011-12-31,2012-02-15,0.4,0.48,-0.08,-16.6667,pre-market
2012-03-31,2012-04-25,0.09,0.31,-0.22,-70.9677,pre-market
