fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2015-09-30,USD,82500000,None,None,None,None,124500000,158000000,None,-378800000,None,-140100000,-212900000,None,None,None,None,53100000,53100000,None,None,None,None,-200400000,None,21400000,-270900000,-400000,229500000
2015-12-31,None,82500000,None,None,None,None,124500000,158000000,None,-378800000,None,-140100000,-212900000,None,None,None,None,53100000,53100000,None,None,None,None,-200400000,None,21400000,None,None,229500000
2016-09-30,USD,577700000,None,None,None,None,128800000,127300000,None,327200000,None,-89200000,-215800000,None,None,None,None,55900000,55900000,None,None,None,None,-100100000,None,18700000,279000000,6300000,216400000
2016-12-31,None,577700000,None,None,None,None,128800000,127300000,None,327200000,None,-89200000,-215800000,None,None,None,None,55900000,55900000,None,None,None,None,-100100000,None,18700000,None,None,216400000
2017-09-30,USD,246500000,None,None,None,None,130300000,113200000,None,-202300000,None,-65200000,-44800000,None,None,None,None,62800000,62800000,None,None,None,None,-4800000,None,22400000,125100000,-11400000,285600000
2017-12-31,None,246500000,None,None,None,None,130300000,113200000,None,-202300000,None,-65200000,-44800000,None,None,None,None,62800000,62800000,None,None,None,None,-4800000,None,22400000,None,None,285600000
2018-09-30,USD,436300000,None,None,None,None,120500000,100100000,None,-38600000,None,-90400000,-338900000,None,None,None,None,71200000,71200000,None,None,None,None,-257000000,None,26700000,7600000,600000,471900000
2018-12-31,None,436300000,None,None,None,None,120500000,100100000,None,-38600000,None,-90400000,-338900000,None,None,None,None,71200000,71200000,None,None,None,None,-257000000,None,26700000,None,None,471900000
2019-09-30,USD,589100000,None,None,None,None,115200000,195000000,None,-111000000,None,-153000000,-421600000,None,None,None,None,75500000,75500000,None,None,None,None,-357400000,None,29000000,None,None,579400000
2019-12-31,None,568300000,None,None,None,None,115200000,174200000,None,-111000000,None,-153000000,-421600000,None,None,None,None,75500000,75500000,None,None,None,None,-357400000,None,29000000,None,None,579400000
2020-09-30,USD,327300000,None,None,None,None,104200000,130200000,None,-246700000,None,-77600000,-115500000,None,None,None,None,81800000,81800000,None,None,None,None,-51500000,None,29300000,134200000,None,324500000
2020-12-31,USD,327300000,None,None,None,None,104200000,130200000,None,-242800000,None,-77600000,-115500000,None,None,None,None,81800000,81800000,None,None,None,None,-51500000,None,29300000,None,None,321500000
2021-09-30,USD,1221600000,None,None,None,None,104000000,114800000,None,246700000,None,-245600000,-180400000,None,None,None,None,90400000,90400000,None,None,None,None,-122100000,None,27200000,795600000,None,472700000
2021-12-31,USD,1221600000,None,None,None,None,104000000,114800000,None,199300000,None,-245600000,-180400000,None,None,None,None,90400000,90400000,None,None,None,None,-122100000,None,27200000,None,None,508900000
2022-09-30,USD,601300000,None,None,None,None,107600000,279700000,None,-330800000,None,-300400000,-485000000,None,None,None,None,97300000,97300000,None,None,None,None,-155000000,None,28600000,None,None,173900000
2022-12-31,USD,601300000,None,None,None,None,107600000,269500000,None,-330800000,None,-300400000,-485000000,None,None,None,None,97300000,97300000,None,None,None,None,-155000000,None,28600000,None,None,173900000
2023-09-30,USD,599600000,None,None,None,None,118600000,325300000,None,-116100000,None,None,3400000,None,None,None,None,107200000,107200000,None,None,None,None,-29200000,None,32000000,None,None,598000000
2023-12-31,USD,599600000,None,None,None,None,159900000,325300000,None,-116100000,None,-1285600000,3400000,None,None,None,None,107200000,107200000,None,None,None,None,-22500000,None,31900000,None,None,598000000
2024-12-31,USD,550100000,None,None,None,None,200100000,281000000,None,-112400000,None,-388800000,-75100000,None,None,None,None,120000000,120000000,None,None,None,None,-116000000,None,38100000,None,None,681400000
2025-12-31,USD,783400000,None,None,None,None,255500000,165400000,None,-77700000,None,-204900000,-315900000,None,None,None,None,130400000,130400000,None,None,None,None,-278000000,None,38000000,None,None,647000000
