fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
1996-03-31,1996-04-24,0.09,0.12,-0.03,-25,pre-market
1996-06-30,1996-07-22,0.13,0.12,0.01,8.3333,pre-market
1996-09-30,1996-10-14,0.13,0.11,0.02,18.1818,pre-market
1996-12-31,1997-02-04,0.16,0.12,0.04,33.3333,pre-market
1997-03-31,1997-04-29,0.15,0.15,0,0,pre-market
1997-06-30,1997-07-16,0.18,0.18,0,0,pre-market
1997-09-30,1997-10-16,0.21,0.18,0.03,16.6667,pre-market
1997-12-31,1998-02-03,0.25,0.25,0,0,pre-market
1998-03-31,1998-04-28,0.25,0.25,0,0,pre-market
1998-06-30,1998-07-20,0.26,0.26,0,0,pre-market
1998-09-30,1998-10-20,0.24,0.24,0,0,pre-market
1998-12-31,1999-02-02,0.29,0.26,0.03,11.5385,pre-market
1999-03-31,1999-04-27,0.2,0.18,0.02,11.1111,pre-market
1999-06-30,1999-07-20,0.23,0.2,0.03,15,pre-market
1999-09-30,1999-10-20,0.24,0.21,0.03,14.2857,pre-market
1999-12-31,2000-02-01,0.27,0.25,0.02,8,pre-market
2000-03-31,2000-04-25,0.26,0.24,0.02,8.3333,pre-market
2000-06-30,2000-07-25,0.23,0.21,0.02,9.5238,pre-market
2000-09-30,2000-10-23,0.14,0.17,-0.03,-17.6471,pre-market
2000-12-31,2001-02-06,0.11,0.1,0.01,10,pre-market
2001-03-31,2001-04-24,0.08,0.07,0.01,14.2857,pre-market
2001-06-30,2001-07-25,0.07,0.07,0,0,pre-market
2001-09-30,2001-10-23,0.07,0.05,0.02,40,pre-market
2001-12-31,2002-02-05,0.09,0.06,0.03,50,pre-market
2002-03-31,2002-04-30,0.08,0.08,0,0,pre-market
2002-06-30,2002-07-25,0.12,0.17,-0.05,-29.4118,pre-market
2002-09-30,2002-10-22,0.22,0.15,0.07,46.6667,pre-market
2002-12-31,2003-02-04,0.13,0.07,0.06,85.7143,pre-market
2003-03-31,2003-04-22,0.19,0.13,0.06,46.1538,pre-market
2003-06-30,2003-07-24,0.21,0.2,0.01,5,pre-market
2003-09-30,2003-10-21,0.22,0.21,0.01,4.7619,pre-market
2003-12-31,2004-02-02,0.27,0.25,0.02,8,pre-market
2004-03-31,2004-04-27,0.31,0.29,0.02,6.8966,pre-market
2004-06-30,2004-07-23,0.4,0.34,0.06,17.6471,pre-market
2004-09-30,2004-10-21,0.42,0.4,0.02,5,pre-market
2004-12-31,2005-02-01,0.45,0.44,0.01,2.2727,pre-market
2005-03-31,2005-04-26,0.46,0.44,0.02,4.5455,pre-market
2005-06-30,2005-07-26,0.51,0.5,0.01,2,pre-market
2005-09-30,2005-10-25,0.53,0.51,0.02,3.9216,pre-market
2005-12-31,2006-01-31,0.54,0.55,-0.01,-1.8182,pre-market
2006-03-31,2006-04-25,0.6,0.54,0.06,11.1111,pre-market
2006-06-30,2006-07-25,0.65,0.62,0.03,4.8387,pre-market
2006-09-30,2006-10-24,0.72,0.68,0.04,5.8824,pre-market
2006-12-31,2007-01-30,0.68,0.68,0,0,pre-market
2007-03-31,2007-04-24,0.65,0.47,0.18,38.2979,pre-market
2007-06-30,2007-07-24,0.53,0.5,0.03,6,pre-market
2007-09-30,2007-10-24,0.54,0.51,0.03,5.8824,pre-market
2007-12-31,2008-01-29,0.47,0.57,-0.1,-17.5439,pre-market
2008-03-31,2008-04-22,0.53,0.52,0.01,1.9231,pre-market
2008-06-30,2008-07-22,0.57,0.56,0.01,1.7857,pre-market
2008-09-30,2008-10-21,0.55,0.58,-0.03,-5.1724,pre-market
2008-12-31,2009-01-30,0.21,0.2,0.01,5,pre-market
2009-03-31,2009-04-28,0.05,0.03,0.02,66.6667,pre-market
2009-06-30,2009-07-28,-0.01,0.03,-0.04,-133.3333,pre-market
2009-09-30,2009-10-27,0.01,0.01,0,0,pre-market
2009-12-31,2010-01-29,0.11,0.04,0.07,175,pre-market
2010-03-31,2010-04-20,0.13,0.1,0.03,30,pre-market
2010-06-30,2010-07-27,0.18,0.14,0.04,28.5714,pre-market
