fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-12-31,USD,3417500000,16454100000,13036600000,13036600000,2701200000,587000000,163100000,716300000,None,None,None,162900000,None,None,None,434600000,2175300000,679300000,None,None,None,2701200000,3135800000,1496000000
2007-12-31,USD,3304400000,15221700000,11917300000,11917300000,2446600000,602300000,255500000,857800000,None,None,None,627900000,None,None,None,526400000,1764300000,537000000,None,None,None,2446600000,2973000000,1227300000
2008-12-31,USD,2552200000,14289100000,11736900000,11736900000,1088300000,581400000,341800000,1463900000,None,None,None,866700000,None,None,None,649400000,1464000000,446100000,None,None,None,1858100000,2507500000,1017900000
2009-12-31,USD,1101300000,7584700000,6483400000,6483400000,-79700000,434900000,199200000,1181000000,None,None,None,20900000,None,-21300000,None,651700000,175000000,63100000,None,111900000,None,510400000,1162100000,111900000
2010-12-31,USD,1881100000,10292900000,8411800000,8411800000,648500000,481500000,238500000,1232600000,None,None,None,700000,None,11800000,None,623200000,660300000,202700000,None,457600000,None,648500000,1271700000,457600000
2011-12-31,USD,2832100000,16355200000,13523100000,13523100000,1479400000,546900000,288200000,1352700000,None,None,None,13500000,None,-10700000,None,673800000,1506900000,464600000,None,1042300000,None,1479400000,2153200000,1042300000
2012-12-31,USD,2983800000,17050500000,14066700000,14066700000,1595500000,571600000,279300000,1388300000,None,None,None,66500000,None,300000,None,700900000,1628900000,517300000,None,1111600000,None,1595500000,2296400000,1111600000
2013-12-31,USD,3067200000,17123800000,14056600000,14056600000,1671700000,559500000,251400000,1395500000,None,None,None,6700000,None,-5300000,None,810700000,1695000000,523700000,None,1171300000,None,1671700000,2482400000,1171300000
2014-12-31,USD,3381700000,18997000000,15615300000,15615300000,2000800000,561400000,215600000,1380900000,None,None,None,3800000,None,16800000,None,917700000,2017600000,658800000,None,1358800000,None,2000800000,2918500000,1358800000
2015-12-31,USD,3705000000,19115100000,15410100000,15410100000,2327600000,541500000,239800000,1377400000,None,None,105500000,13400000,None,9500000,None,907100000,2337100000,733100000,None,1604000000,None,2327600000,3234700000,1604000000
2016-12-31,USD,3372500000,17033300000,13660800000,13660800000,1928900000,540200000,247200000,1443600000,None,-11600000,11600000,10300000,None,16000000,None,993100000,1130400000,608700000,None,521700000,None,1928900000,2922000000,521700000
2017-12-31,USD,3677900000,19456400000,15778500000,15778500000,2091600000,555000000,264700000,1586300000,None,-5600000,5600000,1700000,None,29700000,None,1107500000,2173300000,498100000,None,1675200000,None,2091600000,3199100000,1675200000
2018-12-31,USD,4383800000,23495700000,19111900000,19111900000,2688500000,644700000,306100000,1695300000,None,60800000,60800000,182600000,None,121700000,None,1054100000,2810200000,615100000,None,2195100000,None,2688500000,3742600000,2195100000
2019-12-31,USD,4813600000,25599700000,20786100000,20786100000,2974900000,698500000,326600000,1838700000,None,42000000,42000000,206600000,None,124300000,None,1077300000,3099200000,711300000,None,2387900000,None,2974900000,4052200000,2387900000
2020-12-31,USD,3463700000,18728500000,15264800000,15264800000,1662400000,581400000,273900000,3463700000,None,54100000,54100000,1200100000,None,90000000,None,1049000000,1661600000,360400000,None,1298400000,None,1571600000,2620600000,1301200000
2021-12-31,USD,4279000000,23522300000,19243300000,19243300000,2308200000,676800000,324100000,1970800000,None,-1047700000,72600000,4099999,None,88100000,None,969400000,2396300000,530800000,None,1852100000,None,2308200000,3277600000,1865500000
2022-12-31,USD,5226500000,28819700000,23593200000,23593200000,3678600000,726300000,341200000,1547900000,None,109100000,120400000,109100000,None,170100000,None,790200000,3848700000,837100000,None,3011600000,None,3678600000,4468800000,3011600000
2023-12-31,USD,6421300000,35127400000,26894200000,26894200000,5406100000,754000000,410900000,1015200000,None,-525100000,None,520400000,None,None,None,923900000,4885700000,284900000,None,4104800000,None,5406100000,5406100000,4600800000
2024-12-31,USD,6709600000,33663800000,26954200000,26954200000,4892400000,744000000,452900000,1817200000,None,113800000,None,31100000,None,None,None,916900000,5400900000,1238900000,None,4162000000,None,4892400000,5809300000,4162000000
2025-12-31,USD,4617700000,28444800000,23827100000,23827100000,2961700000,735800000,445500000,1656000000,None,-284300000,None,346500000,None,None,None,827400000,3023500000,647700000,None,2375800000,None,3370000000,4197400000,2375800000
