fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2019-12-31,USD,-1064625,0,1064625,1064625,-2477780,1395980,17176,1413156,None,-612176,None,612176,None,None,None,457734,-3089956,612176,None,-3089956,None,-2477780,-2020046,-3089956
2020-03-31,USD,-1683000,0,1683000,1683000,-3269000,1238000,348000,1586000,None,-588000,None,588000,None,None,None,465000,-4564000,655000,None,-4564000,None,-3976000,-3511000,-4564000
2020-06-30,USD,-1793000,0,1793000,1793000,-2850000,1048000,9000,1057000,None,-597000,None,597000,None,None,None,469000,-4415000,597000,None,-4415000,None,-2850000,-2381000,-4415000
2020-09-30,USD,-3564000,0,3564000,3564000,-5967000,2232000,171000,2403000,None,-642000,None,642000,None,None,None,475000,-6609000,642000,None,-6609000,None,-5967000,-5492000,-6609000
2020-12-31,USD,-1563440,0,1563440,1563440,-34914414,33231621,120000,33350974,None,-6127604,None,6127604,None,None,None,486665,-37404000,196,None,-41252543,None,-35124939,-34638274,-41252543
2021-03-31,USD,-2130000,0,2130000,2130000,-10301000,9754000,547000,8171000,None,-6089000,None,6089000,None,-13730000,None,490000,-30120000,13621000,None,-30120000,None,-24031000,-23541000,-30120000
2021-06-30,USD,-2411000,0,2411000,2411000,-9894000,7259000,224000,7483000,None,-6054000,None,6054000,None,671000,None,495000,-15277000,6054000,None,-15277000,None,-9894000,-9399000,-15277000
2021-09-30,USD,-2687000,0,2687000,2687000,-27506000,27176000,330000,24819000,None,-1843000,None,1843000,None,8372000,None,522000,-20977000,1843000,None,-20977000,None,-27506000,-26984000,-20977000
2021-12-31,USD,-3326000,0,3326000,3326000,-21879000,21569000,310000,18553000,None,-930000,None,930000,None,3417000,None,774000,-19392000,-1887000,None,-11128000,None,-18462000,-17688000,-19392000
2022-03-31,USD,-4048000,0,4048000,4048000,-19134000,18795000,339000,15086000,None,-444000,None,444000,None,-5854000,None,1105000,-25432000,444000,None,-25432000,None,-19134000,-18029000,-25432000
2022-06-30,USD,-6449000,0,6449000,6449000,-19653000,19403000,250000,13204000,None,176000,None,176000,None,4473000,None,1119000,-15004000,176000,None,-15004000,None,-19653000,-18534000,-15004000
2022-09-30,USD,-6451000,0,6451000,6451000,-21087000,20833000,254000,14636000,None,1102000,1261000,159000,None,-14963000,None,1323000,-34948000,1102000,None,-34948000,None,-34948000,-33625000,-34948000
2022-12-31,USD,-9611000,0,9611000,9611000,-21444000,21197000,247000,11833000,None,1807000,610000,1539000,None,10275000,None,1662000,-9362000,1539000,None,-9362000,None,-21444000,-19782000,-9362000
2023-03-31,USD,-8493000,0,8493000,8493000,-21821000,21428000,393000,13328000,None,1276000,1933000,657000,None,-5297000,None,2220000,-25842000,5297000,None,-25842000,None,-25185000,-22965000,-25842000
2023-06-30,USD,-14023000,0,14023000,14023000,-27801000,27641000,160000,13778000,None,-2449000,1578000,2449000,None,-26326000,None,3337000,-56576000,28762000,None,-56576000,None,-27801000,-24464000,-56576000
2023-09-30,USD,-5668000,4844000,5668000,5668000,-31603000,2692000,841000,25935000,None,-3315000,2117000,10750000,None,None,None,5668000,8530000,3315000,None,-23365000,None,20029999,25697999,8530000
2023-12-31,USD,-1317000,0,1317000,1317000,-29032000,11829000,5876000,27715000,None,-10699000,5786000,16485000,None,None,None,1317000,-23533000,650000,None,-24183000,None,-7048000,-5731000,-24183000
2024-03-31,USD,-21194000,11938000,21194000,21194000,-38982000,15957000,1831000,17788000,None,-11452000,3602000,15054000,None,None,None,10023000,-85607000,9212724,None,-85607000,None,-70553000,-60530000,-85607000
2024-06-30,USD,-22220000,15053000,22220000,22220000,-39922000,16137000,1565000,17702000,None,-11541000,514000,12055000,None,None,None,7167000,-48212000,None,None,-48212000,None,-36157000,-28990000,-48212000
2024-09-30,USD,-16965000,0,16965000,16965000,-31298000,12789000,1544000,14333000,None,-14153000,414000,14567000,None,None,None,7430000,-90639000,-90639000,None,-90639000,None,-76072000,-68642000,-90639000
2024-12-31,USD,-21896000,0,21896000,21896000,-35180000,11653000,1496000,13284000,None,-14510000,664000,15174000,None,None,None,8574000,-64757000,-79000,None,-64678000,None,-49583000,-41009000,-64678000
2025-03-31,USD,-21702000,1580000,23282000,23282000,-37721000,14478000,1541000,16019000,None,-14685000,379000,15064000,None,None,None,8469000,8832000,None,None,8832000,None,23896000,32365000,8832000
2025-06-30,USD,-35604000,1650000,37254000,37254000,-45598000,15860000,1397000,9994000,None,-17019000,621000,17640000,None,None,None,8395000,-144240000,None,None,-144240000,None,-126600000,-118205000,-144240000
2025-09-30,USD,-27945000,2430000,30375000,30375000,-38933000,10350000,670000,10988000,None,-13385000,2850000,16235000,None,None,None,7262000,-28370000,None,None,-28370000,None,-12135000,-4873000,-28370000
2025-12-31,USD,-49373000,2695000,52068000,52068000,-44114000,18795000,2317000,-5259000,None,-13497000,2010000,15507000,None,None,None,8393000,-17817000,970000,None,-18787000,None,-2310000,6083000,-18787000
