fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2005-12-31,USD,30648000,None,None,None,None,4440000,7890000,None,2113000,None,-13071000,-9709000,None,None,None,None,None,None,None,None,None,None,-78000,None,6525000,None,None,11957000
2006-03-31,USD,-20169000,None,None,None,None,4801000,3370000,None,-21459000,None,-6589000,22365000,None,None,None,None,None,None,None,None,None,None,-7000,None,None,None,None,4757000
2006-06-30,USD,-648000,None,None,None,None,5068000,4153000,None,-4700000,None,-4153000,7604000,None,None,None,None,None,None,None,None,None,None,-31000,None,None,None,None,4901000
2006-09-30,USD,8307000,None,None,None,None,4305000,1900000,None,-12446000,None,-1900000,-6399000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3736000
2006-12-31,USD,18573000,None,None,None,None,5966000,11333000,None,10162000,None,-18765000,4715000,None,None,None,None,None,None,None,None,None,None,-20000,None,None,None,None,10785000
2007-03-31,USD,-12989000,None,None,None,None,5326000,5444000,None,3125000,None,-1079000,17262000,None,None,None,None,None,None,None,None,None,None,-2000,None,484000,None,None,5205000
2007-06-30,USD,2718000,None,None,None,None,5360000,3520000,None,-982000,None,-3520000,-3529000,None,None,None,None,None,None,None,None,None,None,-32000,None,None,None,None,5848000
2007-09-30,USD,18381000,None,None,None,None,5333000,5328000,None,-2683000,None,-5328000,-14675000,None,None,None,None,None,None,None,None,None,None,-876000,None,None,None,None,6228000
2007-12-31,USD,23356000,None,None,None,None,4592000,7584000,None,9067000,None,-12064000,-15658000,None,None,None,None,None,None,None,None,None,None,-1279000,None,2063000,None,None,3916000
2008-03-31,USD,-14375000,None,None,None,None,5268000,4282000,None,-10756000,None,-4320000,27123000,None,None,None,None,None,None,None,None,None,None,-643000,None,553000,None,None,3482000
2008-06-30,USD,17069000,None,None,None,None,5191000,4726000,None,-6347000,None,-2539000,-4792000,None,None,None,None,None,None,None,None,None,None,-2319000,None,None,None,None,5717000
2008-09-30,USD,8152000,None,None,None,None,5622000,6748000,None,-847000,None,-6679000,-5159000,None,None,None,None,None,None,None,None,None,None,-204000,None,None,None,None,-9068000
2008-12-31,USD,-2299000,None,None,None,None,4852000,1710000,None,5403000,None,-6860000,-2008000,None,None,None,None,None,None,None,None,None,None,-2771000,None,2113000,None,None,-119934000
2009-03-31,USD,-6991000,None,None,None,None,5229000,1335000,None,7436000,None,-532000,3863000,None,None,None,None,None,None,None,None,None,None,-2771000,None,514000,None,None,-5462000
2009-06-30,USD,5074000,None,None,None,None,4431000,1960000,None,22702000,None,-1960000,-4616000,None,None,None,None,None,None,None,None,None,None,None,None,690000,None,None,3272000
2009-09-30,USD,31121000,None,None,None,None,4461000,1299000,None,18862000,None,-1299000,-23108000,None,None,None,None,None,None,None,None,None,None,None,None,657000,None,None,-3224000
2009-12-31,USD,14661000,None,None,None,None,4797000,981000,None,-2299000,None,-981000,-9959000,None,None,None,None,783000,783000,None,None,None,None,-251000,None,504000,None,None,205000
2010-03-31,USD,13859000,None,None,None,None,4168000,217000,None,9838000,None,-217000,-8606000,None,None,None,None,None,None,None,None,None,None,-350000,None,462000,None,None,2066000
2010-06-30,USD,12575000,None,None,None,None,4269000,419000,None,9840000,None,-419000,-12424000,None,None,None,None,None,None,None,None,None,None,-416000,None,378000,None,None,3415000
2010-09-30,USD,23265000,None,None,None,None,3668000,1517000,None,740000,None,-17517000,2135000,None,None,None,None,None,None,None,None,None,None,-188000,None,408000,None,None,6184000
2010-12-31,USD,17360000,None,None,None,None,5027000,1798000,None,-10351000,None,-11698000,-6100000,None,None,None,None,150000,150000,None,None,None,None,-105000,None,487000,None,None,3522000
2011-03-31,USD,12970000,None,None,None,None,3957000,1515000,None,-7033000,None,-1515000,-15952000,None,None,None,None,None,None,None,None,None,None,-224000,None,428000,None,None,8729000
2011-06-30,USD,-1395000,None,None,None,None,4320000,3743000,None,-10337000,None,-3743000,34418000,None,None,None,None,0,0,None,None,None,None,-14000,None,492000,None,None,-1107000
2011-09-30,USD,14496000,None,None,None,None,3645000,4286000,None,-5520000,None,-4286000,268000,None,None,None,None,0,0,None,None,None,None,-354000,None,605000,None,None,2870000
2011-12-31,USD,9790000,None,None,None,None,4255000,3129000,None,14127000,None,-1554000,-807000,None,None,None,None,494000,494000,None,None,None,None,-1513000,None,561000,None,None,18943000
2012-03-31,USD,17100000,None,None,None,None,3501000,2829000,-20201000,-7449000,None,-97470000,46957000,None,None,None,None,0,0,None,None,None,None,-600000,None,624000,-33413000,None,8956000
2012-06-30,USD,2020000,None,None,None,None,4794000,4022000,7589000,-2588000,None,-6088000,2920000,None,None,None,None,0,0,None,None,None,None,-400000,None,614000,-1148000,None,4443000
2012-09-30,USD,23381000,None,None,None,None,4872000,12232000,10443000,938000,None,-11088000,-14424000,None,None,None,None,0,0,None,None,None,None,-200000,None,807000,-2131000,None,10728000
