fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2005-12-31,USD,-1431313,2728359,4159672,4159672,-12919050,2238897,9248837,11487737,None,None,None,37464,None,None,None,776472,-16453035,16453035,None,0,None,-12919050,-12142578,-16453035
2006-03-31,USD,-1481985,2275708,3757693,3757693,-12899613,2238234,8984760,11417628,None,None,None,48911,None,None,None,804689,-12125919,12125919,None,0,None,-12899613,-12094924,-12125919
2006-06-30,USD,-923050,2764157,3687207,3687207,-13969000,2438249,10036216,13045951,None,None,None,53443,None,None,None,795500,-13025003,13025003,None,0,None,-13969001,-13173501,-13025003
2006-09-30,USD,-341877,1755539,2097416,2097416,-15353828,3123729,11568627,15011951,None,None,None,55932,None,None,None,811088,-11876795,11876795,None,0,None,-15353828,-14542740,-11876795
2006-12-31,USD,-1886994,1040346,2927340,2927340,-16256560,8973000,10987631,14369566,None,None,None,12549,None,None,None,808513,-13281870,13281870,None,0,None,-16256560,-15448047,-13281870
2007-03-31,USD,-1707679,2630177,4337856,4337856,-15056630,3537995000,9298395,13348951,None,None,None,12549,None,None,None,800761,-11183007,11183007,None,0,None,-15056630,-14255869,-11183007
2007-06-30,USD,-5097961,4007102,9105063,9105063,-19325848,4553559000,8786456,14227887,None,None,None,106530000,None,None,None,1434385,-16726710,16726710,None,0,None,-19325848,-17891463,-16726710
2007-09-30,USD,-2626626,4535031,7161657,7161657,-17726857,4682351000,9361831,15100231,None,None,None,114061000,None,None,None,1610058,-15176246,15176246,None,0,None,-17726857,-16116799,-15176246
2007-12-31,USD,-2740733,5098312,7839045,7839045,-20219273,5120934,11771667,17478540,None,None,None,359409,None,None,None,1615923,-17484853,17484853,None,0,None,-20219273,-18603350,-17484853
2008-03-31,USD,-2874770,3736886,6611656,6611656,-19947054,6460787,10036495,17072284,None,None,None,106911000,None,None,None,1636089,-20727686,20727686,None,0,None,-19947054,-18310965,-20727686
2008-06-30,USD,-3751937,4832739,8584676,8584676,-21604697,8421723,8858104,17852760,None,None,None,220567000,None,None,None,1678572,-22866759,22866759,None,0,None,-21604697,-19926125,-22866759
2008-09-30,USD,-1574582,4054280,5628862,5628862,-14594905,4754655,7703000,13020323,None,None,None,286442000,None,None,None,1710712,-13810258,13810258,None,0,None,-14594905,-12884193,-13810258
2008-12-31,USD,-6844552,5277412,12121964,12121964,-70287153,8695986,8389608,63442601,None,None,None,213263,None,None,None,1597728,-64295321,64295321,None,0,None,-70287153,-68689425,-64295321
2009-03-31,USD,-81322,2621400,2702722,2702722,-8291346,3238864,4464962,8210024,None,None,None,296295,None,None,None,1438988,-8157449,8157449,None,0,None,-8291346,-6852358,-8157449
2009-06-30,USD,-1255435,3221215,4476650,4476650,-10192210,4454052,3957569,8936775,None,None,None,317554,None,None,None,1485364,-10249508,10249508,None,0,None,-10192210,-8706846,-10249508
2009-09-30,USD,-1607188,2542253,4149441,4149441,-10512184,3973651,4387231,8904996,None,None,None,285909,None,None,None,1434279,-10170736,10170736,None,0,None,-10512184,-9077905,-10170736
2009-12-31,USD,-4443313,3907688,8351000,8351000,-12275030,3760239,3514611,7831717,None,None,None,227323,None,None,None,1408370,-12130859,12130859,None,0,None,-12275030,-10866660,-12130859
2010-03-31,USD,-2423000,2747000,5170000,5170000,-12329000,3857717,5487000,9906000,None,None,None,195964,None,None,None,1384000,-12182585,12182585,None,0,None,-10401105,-9017105,-12183000
2010-06-30,USD,-3117959,3103786,6221745,6221745,-18607467,10540814,4381814,15489508,None,None,None,177110,None,None,None,1357354,-18515955,18515955,None,0,None,-18376955,-17019601,-18515955
2010-09-30,USD,-3321602,5752804,9074406,9074406,-9400206,3430197,2085622,6078604,None,None,None,33289,None,None,None,1292759,-9291565,9291565,None,0,None,-9283565,-7990806,-9291565
