fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
1996-03-31,1996-05-21,0.25,0.2,0.05,25,pre-market
1996-06-30,1996-08-23,0.28,0.2,0.08,40,pre-market
1996-09-30,1996-12-04,0.27,0.25,0.02,8,pre-market
1996-12-31,1997-02-20,0.22,0.2,0.02,10,pre-market
1997-03-31,1997-05-22,0.3,0.29,0.01,3.4483,pre-market
1997-06-30,1997-08-21,0.32,0.32,0,0,pre-market
1997-09-30,1997-12-03,0.33,0.29,0.04,13.7931,pre-market
1997-12-31,1998-02-24,0.22,0.22,0,0,pre-market
1998-03-31,1998-06-26,0.31,0.3,0.01,3.3333,pre-market
1998-06-30,1998-09-03,0.3,0.3,0,0,pre-market
1998-09-30,1998-11-30,0.24,0.24,0,0,pre-market
1998-12-31,1999-02-23,-0.02,0.23,-0.25,-108.6957,pre-market
1999-03-31,1999-05-20,0.17,0.2,-0.03,-15,pre-market
1999-06-30,1999-08-24,0.14,0.13,0.01,7.6923,pre-market
1999-09-30,1999-12-07,0.15,0.15,0,0,pre-market
1999-12-31,2000-02-23,0.12,0.12,0,0,post-market
2000-03-31,2000-05-24,0.14,0.11,0.03,27.2727,pre-market
2000-06-30,2000-08-23,0.19,0.19,0,0,post-market
2000-09-30,2000-11-30,0.22,0.25,-0.03,-12,post-market
2000-12-31,2001-02-20,0.18,0.18,0,0,pre-market
2001-03-31,2001-05-22,0.3,0.32,-0.02,-6.25,pre-market
2001-06-30,2001-08-21,0.4,0.36,0.04,11.1111,pre-market
2001-09-30,2001-12-04,0.4,0.4,0,0,pre-market
2001-12-31,2002-02-19,0.35,0.31,0.04,12.9032,pre-market
2002-03-31,2002-05-21,0.42,0.38,0.04,10.5263,pre-market
2002-06-30,2002-08-20,0.4,0.37,0.03,8.1081,pre-market
2002-09-30,2002-12-05,0.48,0.4,0.08,20,pre-market
2002-12-31,2003-02-26,0.28,0.27,0.01,3.7037,pre-market
2003-03-31,2003-05-29,0.19,0.18,0.01,5.5556,pre-market
2003-06-30,2003-08-27,0.13,0.13,0,0,pre-market
2003-09-30,2003-12-09,0.12,0.11,0.01,9.0909,pre-market
2003-12-31,2004-02-25,0.07,0.09,-0.02,-22.2222,pre-market
2004-03-31,2004-06-02,0.03,0.03,0,0,post-market
2004-06-30,2004-09-01,0.07,0.06,0.01,16.6667,pre-market
2004-09-30,2004-12-15,-0.04,0.05,-0.09,-180,pre-market
2004-12-31,2005-03-09,-0.13,-0.11,-0.02,-18.1818,pre-market
2005-03-31,2005-06-08,-0.03,0.01,-0.04,-400,pre-market
2005-06-30,2005-09-08,0.19,0.13,0.06,46.1538,pre-market
2005-09-30,2005-12-14,0.17,0.16,0.01,6.25,pre-market
2005-12-31,2006-03-08,0.1,0.1,0,0,pre-market
2006-03-31,2006-06-07,0.37,0.12,0.25,208.3333,pre-market
2006-06-30,2006-09-07,0.16,0.35,-0.19,-54.2857,pre-market
2006-09-30,2006-12-06,0.0848,None,0,None,pre-market
2006-12-31,2007-02-07,0.18,0.27,-0.09,-33.3333,pre-market
2007-03-31,2007-05-24,0.2,0.34,-0.14,-41.1765,pre-market
2007-06-30,2007-08-08,0.28,0.19,0.09,47.3684,pre-market
2007-09-30,2007-12-05,0.22,0.22,0,0,pre-market
2007-12-31,2008-02-06,0.32,0.24,0.08,33.3333,pre-market
2008-03-31,2008-05-07,0.53,0.39,0.14,35.8974,pre-market
2008-06-30,2008-08-06,0.69,0.55,0.14,25.4545,pre-market
2008-09-30,2008-12-10,0.72,0.59,0.13,22.0339,pre-market
2008-12-31,2009-02-09,0.68,0.6,0.08,13.3333,pre-market
2009-03-31,2009-05-06,0.77,0.69,0.08,11.5942,pre-market
2009-06-30,2009-08-04,1.14,0.7,0.44,62.8571,pre-market
2009-09-30,2009-12-09,0.85,0.66,0.19,28.7879,pre-market
2009-12-31,2010-02-03,0.83,0.59,0.24,40.678,pre-market
2010-03-31,2010-05-05,0.85,0.43,0.42,97.6744,pre-market
2010-06-30,2010-08-04,0.88,0.31,0.57,183.871,pre-market
2010-09-30,2010-12-08,-0.41,0.62,-1.03,-166.129,pre-market
2010-12-31,2011-02-01,0.21,0.32,-0.11,-34.375,pre-market
2011-03-31,2011-05-03,0.21,0.29,-0.08,-27.5862,post-market
2011-06-30,2011-08-02,0.14,0.25,-0.11,-44,post-market
2011-09-30,2011-12-06,0.16,0.21,-0.05,-23.8095,pre-market
