fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2010-03-31,2010-03-31,0.0671,None,0,None,pre-market
2010-06-30,2010-06-30,0.2309,None,0,None,pre-market
2010-09-30,2010-09-30,0.0649,None,0,None,pre-market
2010-12-31,2010-12-31,0.134,None,0,None,pre-market
2011-03-31,2011-03-31,0.1618,None,0,None,pre-market
2011-06-30,2011-06-30,0.0378,None,0,None,pre-market
2011-09-30,2011-09-30,-0.3052,None,0,None,pre-market
2011-12-31,2011-12-31,0.0835,None,0,None,pre-market
2012-03-31,2012-03-31,0.128,None,0,None,pre-market
2012-06-30,2012-06-30,0.1324,None,0,None,pre-market
2012-09-30,2012-09-30,0.036,None,0,None,pre-market
2012-12-31,2012-12-31,0.2041,None,0,None,pre-market
2013-03-31,2013-05-29,0.1542,None,0,None,pre-market
2013-06-30,2013-08-28,0.213,None,0,None,pre-market
2013-09-30,2013-11-11,0.21,0.17,0.04,23.5294,pre-market
2013-12-31,2014-03-07,0.18,0.19,-0.01,-5.2632,pre-market
2014-03-31,2014-05-15,0.1,0.17,-0.07,-41.1765,pre-market
2014-06-30,2014-08-07,0.06,0.09,-0.03,-33.3333,pre-market
2014-09-30,2014-11-12,0.28,0.18,0.1,55.5556,post-market
2014-12-31,2015-03-31,-0.18,0.14,-0.32,-228.5714,post-market
2015-03-31,2015-05-15,0.03,0.07,-0.04,-57.1429,post-market
2015-06-30,2015-08-12,-0.05,0.05,-0.1,-200,post-market
2015-09-30,2015-11-23,0.03,0.05,-0.02,-40,post-market
2015-12-31,2016-03-29,0.16,0.13,0.03,23.0769,post-market
2016-03-31,2016-05-13,0.11,0.11,0,0,post-market
2016-06-30,2016-08-11,0.08,0.11,-0.03,-27.2727,post-market
2016-09-30,2016-11-14,0.1,0.16,-0.06,-37.5,post-market
2016-12-31,2017-03-09,0.21,0.15,0.06,40,post-market
2017-03-31,2017-05-11,0.17,0.12,0.05,41.6667,post-market
2017-06-30,2017-08-10,0.21,0.13,0.08,61.5385,post-market
2017-09-30,2017-11-09,0.06,0.16,-0.1,-62.5,post-market
2017-12-31,2018-03-28,0.05,0.21,-0.16,-76.1905,post-market
2018-03-31,2018-05-14,0.12,0.02,0.1,500,post-market
2018-06-30,2018-08-09,-0.03,0.11,-0.14,-127.2727,post-market
2018-09-30,2018-11-08,0.27,0.15,0.12,80,post-market
2018-12-31,2019-03-28,0.15,0.16,-0.01,-6.25,post-market
2019-03-31,2019-05-14,0.83,0.15,0.68,453.3333,pre-market
2019-06-30,2019-08-08,-0.5,0.13,-0.63,-484.6154,pre-market
2019-09-30,2019-11-12,-0.5,0.14,-0.64,-457.1429,pre-market
2019-12-31,2020-03-30,-0.5,0.12,-0.62,-516.6667,post-market
2020-03-31,2020-05-15,-0.33,None,0,None,post-market
2020-06-30,2020-08-14,-0.08,None,0,None,post-market
2020-09-30,2020-11-13,-0.5,None,0,None,post-market
2020-12-31,2021-03-30,-0.09,None,0,None,post-market
2021-03-31,2021-05-14,-0.5,None,0,None,post-market
2021-06-30,2021-08-13,-0.08,None,0,None,post-market
2021-09-30,2021-11-15,-0.05,None,0,None,post-market
2021-12-31,2022-03-31,-0.16,-0.06,-0.1,-166.6667,post-market
2022-03-31,2022-05-16,-0.08,-0.07,-0.01,-14.2857,post-market
2022-06-30,2022-08-15,-0.26,-0.08,-0.18,-225,post-market
2022-09-30,2022-11-14,-0.13,-0.11,-0.02,-18.1818,post-market
2022-12-31,2023-03-30,0.1,-0.07,0.17,242.8571,post-market
2023-03-31,2023-05-15,0.01,-0.03,0.04,133.3333,post-market
2023-06-30,2023-08-14,-0.03,-0.01,-0.02,-200,post-market
2023-09-30,2023-11-14,0.1,0.05,0.05,100,post-market
2023-12-31,2024-03-28,-0.07,0.01,-0.08,-800,post-market
2024-03-31,2024-04-01,-0.07,0.02,-0.09,-450,post-market
2024-06-30,2024-09-10,-0.1,0.04,-0.14,-350,post-market
2024-09-30,2024-10-08,-0.21,0.04,-0.25,-625,post-market
2024-12-31,2025-03-31,0.11,-0.42,0.53,126.1905,pre-market
2025-03-31,2025-04-15,0.13,0.23,-0.1,-43.4783,pre-market
2025-06-30,2025-08-14,-0.11,-0.09,-0.02,-22.2222,pre-market
2025-09-30,2025-11-13,-0.21,-0.09,-0.12,-133.3333,pre-market
2025-12-31,2026-03-26,-0.12,-0.155,0.035,22.5806,pre-market
