fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-12-31,USD,-315169,None,None,None,None,None,0,None,None,None,None,40108659,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,351102
2007-12-31,USD,-315169,None,None,None,None,4700000,2200000,None,None,None,-39278250,40108659,None,None,None,None,16800000,16800000,None,None,None,None,500000,None,None,None,None,351102
2008-12-31,USD,66088000,None,None,None,None,6670000,10132000,None,-1605000,None,-23907000,-32129000,None,None,None,None,749000,749000,None,None,None,None,-3331000,None,-713000,None,None,36433000
2009-12-31,USD,25925000,None,None,None,None,8663000,9314000,None,-3785000,None,5730000,-14499000,None,None,None,None,8132000,8132000,None,None,None,None,17330000,None,-10727000,None,None,29761000
2010-12-31,USD,80974000,None,None,None,None,24484000,23640000,None,-6837000,None,-54177000,-1364000,None,None,None,None,4404000,4404000,None,None,None,None,27500000,None,None,None,None,33616000
2011-12-31,USD,40147000,None,None,None,None,33803000,29052000,-3824000,-6654000,None,-22609000,-12669000,None,None,None,None,5318000,5318000,None,None,None,None,-2030000,None,-56632000,4869000,None,58559000
2012-12-31,USD,98393000,None,None,None,None,35623000,37395000,-46666000,28603000,None,-95008000,33860000,None,None,None,None,7695000,7695000,None,None,None,None,-1001000,None,879000,37245000,None,58267000
2013-12-31,USD,77753000,None,None,None,None,49888000,87050000,-52305000,-13715000,None,-97120000,57893000,None,None,None,None,5157000,5157000,None,None,None,None,1455000,None,367000,38526000,None,74680000
2014-12-31,USD,36101000,None,None,None,None,58422000,87954000,-41167000,-64833000,None,-102603000,9890000,None,None,None,None,7483000,7483000,None,None,None,None,-2844000,None,934000,-56612000,None,63682000
2015-12-31,USD,48377000,None,None,None,None,65201000,67097000,None,-58631000,None,-48518000,21798000,None,None,None,None,9809000,9809000,None,None,None,None,1621000,None,1050000,None,None,37151000
2016-12-31,USD,62577000,None,None,None,None,68030000,58027000,-87969000,-22994000,None,-59421000,-28455000,None,None,None,None,11384000,11384000,None,None,None,None,-4999000,None,1627000,-25299000,None,27725000
2017-12-31,USD,188942000,None,None,None,None,66303000,79782000,19652000,41013000,None,-131434000,-22946000,None,None,None,None,11326000,11326000,None,None,None,None,-4999000,None,1126000,34562000,None,76850000
2018-12-31,USD,126815000,None,None,None,None,79250000,110189000,20912000,-64589000,None,-209152000,63939000,None,None,None,None,12343000,12343000,None,None,None,None,-20000000,None,1253000,-18398000,None,87593000
2019-12-31,USD,117981000,None,None,None,None,85400000,94494000,-28240000,-8869000,None,-65873000,-83284000,None,None,None,None,12211000,12211000,None,None,None,None,-50000000,None,1579000,-31176000,None,84097000
2020-12-31,USD,311927000,None,None,None,None,82497000,64357000,-30035000,77096000,None,-42506000,-62823000,None,None,None,None,11594000,11594000,None,None,None,None,-11453000,None,2274000,206598000,None,104983000
2021-12-31,USD,79747000,None,None,None,None,105559000,133842000,10540000,-152703000,None,-691268000,485733000,None,None,None,None,12565000,12565000,None,None,None,None,-14720000,None,10462000,-125788000,None,115739000
2022-12-31,USD,83346000,None,None,None,None,99157000,94690000,None,None,None,-481939000,452043000,None,None,None,None,12778000,12778000,None,None,None,None,-5990000,None,7441000,None,None,133021000
2023-12-31,USD,198552000,None,None,None,None,107041000,103005000,None,-189675000,None,-30010000,-205279000,None,None,None,None,12783000,12783000,None,None,None,None,450223000,None,11833000,None,None,126145000
2024-12-31,USD,508313000,None,None,None,None,95522000,126555000,None,None,None,-27232000,-244358000,None,None,None,None,12867000,12867000,None,None,None,None,0,None,15131000,None,None,180888000
2025-12-31,USD,470400000,None,None,None,None,91900000,129900000,None,None,None,-93900000,-296300000,None,None,None,None,17300000,17300000,None,None,None,None,-11800000,None,20600000,None,None,274900000
