fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-12-31,USD,16694,80659,63965,63965,-106467,None,None,123161,None,None,None,None,None,None,None,12365,-109769,-3200,None,None,None,-109771,-97406,-106569
2007-12-31,USD,45732,84927,39195,39195,-111207,None,None,156939,None,None,None,None,None,None,None,6291,-105606,800,None,None,None,-111207,-104916,-106406
2008-12-31,USD,99386,114386,15000,15000,-24178,132752,None,138564,None,None,None,None,None,None,None,5812,-24178,800,None,None,None,-24178,-18366,-24978
2009-12-31,USD,83873,98361,14488,14488,-5927,100220,None,104288,None,None,None,None,None,None,None,4068,19073,800,None,None,None,-9995,-5927,18273
2010-12-31,USD,62561,77537,14976,14976,-26033,100893,None,103570,None,None,None,2131000,None,None,None,2677,-25114,800,None,None,None,5051323,5054000,-25914
2011-12-31,USD,26428000,154969000,128541000,128541000,9805000,5244000,4713000,16623000,None,None,None,1340000,None,-1631000,None,820000,6834000,2773000,None,4061000,None,8174000,8994000,4061000
2012-12-31,USD,33917000,202342000,168425000,168425000,12316000,8299000,7377000,21601000,None,None,None,1023000,None,-448000,None,1105000,10845000,4143000,None,6702000,None,11868000,12973000,6702000
2013-12-31,USD,44526000,237842000,193316000,193316000,14967000,11575000,10439000,29559000,None,None,None,657000,None,-28311000,None,1568000,-14001000,4759000,None,-18760000,None,-13344000,-11776000,-18760000
2014-12-31,USD,67045000,347995000,280950000,280950000,26044000,14386000,16900000,41001000,None,None,None,1331000,None,9826000,None,4709000,34539000,10813000,None,23726000,None,35870000,40579000,23726000
2015-12-31,USD,62834000,389446000,326612000,326612000,9195000,15718000,21681000,53639000,None,None,None,4327000,None,9022000,None,9671000,13890000,-388000,None,14278000,None,-8627000,1044000,14278000
2016-12-31,USD,29189000,339465000,310276000,310276000,-25341000,28522000,18961000,53199000,None,-11215000,None,11215000,None,None,None,10298000,-35859000,11613000,None,-47472000,None,-24644000,-14346000,-47472000
2017-12-31,USD,50993000,416616000,365623000,365623000,-18046000,44256000,19944000,69039000,None,-10841000,None,0,None,-29123000,None,None,-47169000,443000,None,-47612000,None,-47169000,-26856000,-47612000
2018-12-31,USD,50993000,416616000,365623000,365623000,-18046000,59631000,19944000,69038000,None,-7628000,None,10841000,None,-10224000,None,9472000,-47169000,443000,None,-54726000,None,-36328000,-26856000,-47612000
2019-12-31,USD,99888000,546076000,446188000,446188000,17203000,54114000,24932000,82685000,None,-7871000,None,7871000,None,-675000,None,8799000,8657000,409000,None,8248000,None,16528000,25327000,8248000
2020-12-31,USD,58448000,417639000,359191000,359191000,-21724000,51744000,25375000,80172000,None,-5714000,None,5714000,None,743000,None,8200000,-26695000,-3713000,None,-22982000,None,-20981000,-12781000,-22982000
2021-12-31,USD,41271000,456255000,414984000,414984000,-41570000,57871000,22435000,82841000,None,-7307000,None,7307000,None,None,None,7406000,-48878000,-406000,None,-48472000,None,-41571000,-34165000,-48472000
2022-12-31,USD,88563000,481333000,392770000,392770000,24602000,42941000,18896000,63961000,None,-13028000,None,13028000,None,None,None,6690000,11574000,304000,None,11270000,None,24602000,31292000,11270000
2023-12-31,USD,105864000,458973000,353109000,353109000,44275000,41069000,19457000,61589000,None,-17773000,None,17069000,None,None,None,5600000,27206000,900000,None,27255000,None,44275000,49875000,26306000
2024-12-31,USD,140537000,475967000,335430000,335430000,81644000,37378000,20056000,58893000,None,-11443000,None,11443000,None,None,None,5199000,70201000,922000,None,69279000,None,81644000,86843000,69279000
2025-12-31,USD,183681000,722405000,538724000,538724000,109714000,55803000,18164000,73967000,None,-6702000,None,6702000,None,None,None,5388000,103364000,-10623000,None,113987000,None,110066000,115454000,113987000
