fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2016-12-31,USD,1365000000,4455000000,3026000000,3026000000,514000000,851000000,106000000,4126000000,None,None,None,20000000,None,None,None,None,310000000,133000000,None,177000000,None,329000000,None,177000000
2017-03-31,USD,313000000,1062000000,749000000,749000000,48000000,216000000,0,266000000,None,None,None,0,None,None,None,16000000,47000000,31000000,None,0,None,48000000,64000000,16000000
2017-06-30,USD,308000000,1096000000,788000000,788000000,90000000,212000000,0,308000000,None,None,None,0,None,None,None,17000000,39000000,23000000,None,0,None,73000000,90000000,16000000
2017-09-30,USD,336000000,1152000000,816000000,816000000,122000000,214000000,0,336000000,None,None,None,1000000,None,None,None,17000000,58000000,35000000,None,23000000,None,122000000,139000000,23000000
2017-12-31,USD,361000000,1209000000,848000000,848000000,137000000,223000000,120000000,361000000,None,None,None,19000000,None,None,None,17000000,22000000,471000000,None,-417000000,None,137000000,154000000,-449000000
2018-03-31,USD,343000000,1165000000,822000000,822000000,131000000,211000000,0,343000000,None,None,None,1000000,None,None,None,17000000,79000000,34000000,None,45000000,None,79000000,96000000,45000000
2018-06-30,USD,346000000,1196000000,850000000,850000000,129000000,217000000,0,217000000,None,None,None,1000000,None,None,None,16000000,5000000,-28000000,None,33000000,None,5000000,21000000,33000000
2018-09-30,USD,347000000,1200000000,853000000,853000000,128000000,219000000,0,219000000,None,None,None,2000000,None,-146000000,None,16000000,-18000000,-329000000,None,311000000,None,128000000,144000000,311000000
2018-12-31,USD,330000000,1266000000,936000000,936000000,105000000,227000000,105000000,330000000,None,None,None,20000000,None,None,None,17000000,38000000,22000000,None,16000000,None,105000000,122000000,16000000
2019-03-31,USD,332000000,1216000000,884000000,884000000,85000000,228000000,None,247000000,None,-17000000,17000000,17000000,None,16000000,None,16000000,84000000,36000000,None,48000000,None,101000000,117000000,48000000
2019-06-30,USD,323000000,1242000000,919000000,919000000,42000000,254000000,None,281000000,None,-18000000,18000000,18000000,None,-35000000,None,20000000,-11000000,-17000000,None,-11000000,None,7000000,27000000,-11000000
2019-09-30,USD,309000000,1226000000,917000000,917000000,59000000,230000000,None,250000000,None,-16000000,16000000,16000000,None,-35000000,None,19000000,8000000,-19000000,None,8000000,None,24000000,43000000,8000000
