fiscalDateEnding,reportedEPS
1996-12-31,0.34
1997-12-31,0.5
1998-12-31,0.71
1999-12-31,0.78
2000-12-31,1.01
2001-12-31,0.67
2002-12-31,0.01
2003-12-31,0.0408
2004-12-31,0.79
2005-12-31,1.36
2006-12-31,1.65
2007-12-31,1.82
2008-12-31,1.62
2009-12-31,0.24
2010-12-31,0.44
2011-12-31,1.04
2012-12-31,1.55
2013-12-31,1.83
2014-12-31,2.25
2015-12-31,2.69
2016-12-31,2.67
2017-12-31,2.59
2018-12-31,3.59
2019-12-31,3.9
2020-12-31,2.71
2021-12-31,5.35
2022-12-31,6.02
2023-12-31,3.87
2024-12-31,2.44
2025-12-31,1.33
2026-03-31,0.14
