fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,1152868000,455780000,13475000,13475000,254991000,169207000,697088000,243138000,None,437940000,437940000,374821000,None,None,None,18107000,None,602640000,124415000,71308000,None,None,2336000,478225000,None,398217000,None,None,400553000,50771000,None,550228000,None,332920000,299000,30006000
2007-12-31,USD,1281408000,440745000,35287000,35287000,212909000,167595000,840663000,273283000,None,96871000,96871000,453228000,None,None,None,24954000,None,713648000,134225000,89551000,None,None,2955000,579423000,None,485654000,None,None,488609000,41719000,None,567760000,-393000,337929000,300000,30111000
2008-12-31,USD,1146359000,348229000,11308000,11308000,189935000,127537000,798130000,242052000,None,87373000,87373000,443925000,None,None,None,19449000,None,577872000,125201000,76168000,None,None,2728000,452671000,None,353644000,None,None,356372000,46305000,None,568487000,-557000,356007000,301000,30193000
2009-12-31,USD,973968000,251151000,23596000,23596000,107770000,93421000,722817000,227420000,None,82182000,82182000,392704000,None,None,None,26364000,None,445742000,109016000,68464000,None,None,408000,336726000,None,256874000,None,None,257282000,40144000,None,528226000,-1191000,303982000,303000,30135000
2010-12-31,USD,810890000,242377000,60866000,60866000,83344000,74544000,568513000,158352000,None,66395000,66395000,325655000,None,1345000,0,23623000,None,370037000,100118000,59277000,None,None,408000,269919000,None,206789000,None,None,207197000,40433000,23267000,440853000,-2305000,212914000,305000,30303000
2011-12-31,USD,872055000,268854000,54117000,54117000,109270000,90810000,603201000,151974000,None,95265000,95265000,348326000,None,None,0,14657000,None,412119000,128424000,67320000,None,None,417000,283695000,None,206746000,None,None,207163000,60687000,21148000,459936000,-3131000,229437000,307000,30650000
2012-12-31,USD,883674000,267238000,48028000,48028000,116357000,89473000,616436000,151613000,None,98759000,98759000,359863000,None,None,0,13380000,None,406852000,117585000,69060000,None,None,1093000,289267000,None,206710000,None,None,207803000,47432000,25489000,476822000,-4101000,242082000,309000,30857000
2013-12-31,USD,894162000,322400000,97039000,97039000,121152000,90082000,571762000,131752000,None,91777000,91777000,341174000,None,None,0,14127000,None,422413000,119913000,69625000,None,None,409000,302500000,None,213598000,None,None,214007000,49879000,33778000,471749000,-4815000,236449000,311000,30930000
2014-12-31,USD,814160000,360431000,110610000,110610000,128743000,101141000,453729000,129575000,None,82215000,82215000,236044000,None,None,0,19937000,None,426931000,134085000,81246000,None,None,400000,292846000,None,213200000,400000,None,213600000,45450000,29874000,387229000,-5390000,154625000,313000,31066000
2015-12-31,USD,889772000,351422000,68858000,68858000,107058000,164969000,538350000,118932000,None,123013000,123013000,292390000,None,0,0,10537000,None,479686000,185395000,89204000,None,None,400000,294291000,None,208882000,400000,None,209282000,55863000,42755000,410086000,-6346000,178073000,317000,31545000
