fiscalDateEnding,reportedEPS
1996-09-30,2.86
1997-09-30,3.21
1998-09-30,2.38
1999-09-30,3.02
2000-09-30,3.4
2001-09-30,1.33
2002-09-30,0.9
2003-09-30,1.13
2004-09-30,1.73
2005-09-30,2.67
2006-09-30,3.34
2007-09-30,3.72
2008-09-30,4.11
2009-09-30,1.68
2010-09-30,3.05
2011-09-30,4.79
2012-09-30,5.29
2013-09-30,5.72
2014-09-30,6.17
2015-09-30,6.39
2016-09-30,5.93
2017-09-30,6.75
2018-09-30,8.12
2019-09-30,8.66
2020-09-30,7.68
2021-09-30,9.43
2022-09-30,9.5
2023-09-30,12.12
2024-09-30,9.72
2025-09-30,10.44
2026-03-31,2.69
