fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-09-30,USD,2048500000,4556400000,2507900000,2507900000,759000000,1275300000,148500000,1289500000,None,None,None,56600000,None,None,None,117400000,891400000,263300000,None,None,None,792400000,909800000,607000000
2007-09-30,USD,2262200000,5003900000,2741700000,2741700000,862200000,1278600000,143100000,1400000000,None,None,None,63400000,None,None,None,117900000,788600000,219300000,None,None,None,852000000,969900000,1487800000
2008-09-30,USD,2537400000,5697800000,3160400000,3160400000,910600000,1482100000,191300000,1626800000,None,None,None,68200000,None,None,None,136500000,808900000,231300000,None,None,None,877100000,1013600000,577600000
2009-09-30,USD,1756500000,4325300000,2568800000,2568800000,397900000,1228000000,170000000,1358600000,None,None,None,60900000,None,None,None,134100000,273900000,56000000,None,217900000,None,334800000,468900000,220700000
2010-09-30,USD,2140100000,4859200000,2719100000,2719100000,617900000,1323300000,198900000,1522200000,None,None,None,60500000,None,-8400000,None,127300000,544200000,103800000,None,440400000,None,604700000,732000000,464300000
2011-09-30,USD,2647600000,6000100000,3352500000,3352500000,932000000,1461200000,254400000,1715600000,None,None,None,59500000,None,-2100000,None,131300000,867600000,170500000,None,697100000,None,927100000,1058400000,697800000
2012-09-30,USD,2775400000,6260500000,3485100000,3485100000,1024599999,1491700000,259100000,1750800000,None,None,None,60100000,None,-5000000,None,138600000,965900000,228900000,None,737000000,None,1026000000,1164600000,737000000
2013-09-30,USD,2828000000,6350300000,3522300000,3522300000,1029599999,1537700000,260700000,1798400000,None,None,None,60900000,None,5700000,None,145200000,980900000,224600000,None,756300000,None,1041800000,1187000000,756300000
2014-09-30,USD,3045600000,6625800000,3580200000,3580200000,1185400000,1570100000,290100000,1860200000,None,None,None,59300000,None,9700000,None,152500000,1134200000,307400000,None,826800000,None,1193500000,1346000000,826800000
2015-09-30,USD,2974200000,6316300000,3342100000,3342100000,1160500000,1506400000,307300000,1813700000,None,None,None,69100000,None,-5500000,None,162500000,1127500000,299900000,None,827600000,None,1196600000,1359100000,827600000
2016-09-30,USD,2773900000,5885000000,3111100000,3111100000,988100000,1467400000,319300000,1785800000,None,-58600000,12700000,85400000,None,6300000,None,172200000,943100000,213400000,None,729700000,None,1028500000,1200700000,729700000
2017-09-30,USD,2976700000,6311000000,3334300000,3334300000,1037500000,1591500000,348200000,1939200000,None,-56600000,19600000,52100000,None,80900000,None,168900000,1037400000,211700000,None,825700000,None,1089500000,1258400000,825700000
2018-09-30,USD,3270500000,6663600000,3393100000,3393100000,1309600000,1599000000,371800000,1960900000,None,-48600000,24400000,73000000,None,130600000,None,164600000,1330800000,795300000,None,535500000,None,1403800000,1568400000,535500000
2019-09-30,USD,3260200000,6693800000,3433600000,3433600000,1344100000,1538500000,378900000,1916100000,None,-87100000,11100000,97000000,None,-362400000,None,152200000,901000000,205200000,None,695800000,None,998000000,1150200000,695800000
2020-09-30,USD,2941700000,6330500000,3388800000,3388800000,1091800000,1479800000,371500000,1849900000,None,-98000000,5500000,101400000,None,124200000,None,172700000,1136100000,112900000,None,1023200000,None,1237500000,1410200000,1023400000
2021-09-30,USD,2897700000,6997400000,4099700000,4099700000,729900000,1680000000,422500000,2167800000,None,-94600000,1600000,92300000,None,403100000,None,177900000,1526200000,181900000,None,1344300000,None,1152400000,1330300000,1358100000
2022-09-30,USD,3102000000,7760400000,4658400000,4658400000,1335300000,1766700000,440900000,1766700000,None,-123200000,4400000,119600000,None,-138500000,None,238900000,1073600000,154500000,None,919100000,None,1196800000,1435700000,932200000
2023-09-30,USD,3717000000,9058000000,5341000000,5341000000,1693300000,2023700000,529500000,2023700000,None,-135300000,9700000,131800000,None,None,None,250400000,1608500000,330500000,None,1278000000,None,1743800000,1994200000,1387400000
2024-09-30,USD,3678500000,8262100000,4583600000,4583600000,1264400000,2002600000,477300000,2414100000,None,-139000000,15600000,151000000,None,None,None,317400000,1099100000,151800000,None,947300000,None,1250100000,1567500000,952500000
2025-09-30,USD,4016000000,8342000000,4326000000,4326000000,1423000000,1914000000,679000000,2593000000,None,-143000000,13000000,156000000,None,None,None,325000000,917000000,168000000,None,749000000,None,1073000000,1398000000,869000000
