fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2013-12-31,USD,278283000,None,None,None,None,212557000,370360000,None,None,None,-270463000,-7210000,None,None,None,None,16001000,16001000,None,None,None,None,-7054000,None,7899000,None,None,95474000
2014-12-31,USD,345749000,None,None,None,None,230008000,579405000,None,None,None,-475724000,109028000,None,None,None,None,20697000,20697000,None,None,None,None,-6430000,None,10310000,None,None,133568000
2015-12-31,USD,485557000,None,None,None,None,236330000,607260000,None,None,None,-483302000,8536000,None,None,None,None,25158000,25158000,None,None,None,None,-2200000,None,2200000,None,None,140932000
2016-12-31,USD,455313000,None,None,None,None,266031000,547522000,None,None,None,-513347000,28145000,None,None,None,None,31265000,31265000,None,None,None,None,-1400000,None,2200000,None,None,156851000
2017-12-31,USD,461300000,None,None,None,None,279000000,532000000,-64400000,61000000,None,-390500000,36900000,None,None,None,None,25500000,25500000,None,None,None,None,-100000,None,17000000,107700000,None,389900000
2018-12-31,USD,566500000,None,None,None,None,291300000,512500000,-74800000,94600000,None,-337600000,-88700000,None,None,None,None,40700000,40700000,None,None,None,None,0,None,22800000,140200000,None,268900000
2019-12-31,USD,636300000,None,None,None,None,292900000,465700000,186000000,20700000,None,-350200000,-113200000,None,None,None,None,42500000,42500000,None,None,None,None,0,None,-3600000,172900000,None,147000000
2020-12-31,USD,618200000,None,None,None,None,290500000,419000000,-65400000,22700000,None,-318700000,-455600000,None,None,None,None,400000000,400000000,None,None,None,None,None,None,8900000,-156100000,None,211700000
2021-12-31,USD,566100000,None,None,None,None,296200000,540600000,-162000000,17000000,None,-626400000,-90400000,None,None,None,None,49600000,49600000,None,None,None,None,0,None,14400000,-150700000,None,405400000
2022-12-31,USD,856400000,None,None,None,None,350000000,693600000,51600000,25800000,None,-598800000,-116700000,None,None,None,None,55700000,55700000,None,None,None,None,0,None,16500000,140900000,None,457800000
2023-12-31,USD,680000000,None,None,None,None,382500000,807600000,None,34600000,None,-907600000,-55700000,None,None,None,None,63600000,63600000,None,None,None,None,-66900000,None,15800000,None,None,238500000
2024-12-31,USD,686100000,None,None,None,None,413700000,539300000,None,None,None,-791500000,120600000,None,None,None,None,66600000,66600000,None,None,None,None,-29500000,None,12600000,None,None,117000000
2025-12-31,USD,637400000,None,None,None,None,450000000,289200000,None,None,None,-346200000,-207300000,None,None,None,None,67000000,67000000,None,None,None,None,-14600000,None,None,None,None,103600000
