fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2020-12-31,2021-03-03,0.055,0,0.055,None,pre-market
2021-03-31,2021-06-03,0.11,0.1,0.01,10,post-market
2021-06-30,2021-08-05,0.18,0.15,0.03,20,post-market
2021-09-30,2021-11-10,0.23,0.14,0.09,64.2857,post-market
2021-12-31,2022-03-10,0.2,0.06,0.14,233.3333,pre-market
2022-03-31,2022-05-12,0.28,0.13,0.15,115.3846,pre-market
2022-06-30,2022-08-11,0.21,0.21,0,0,pre-market
2022-09-30,2022-11-10,0.25,0.17,0.08,47.0588,pre-market
2022-12-31,2023-03-07,-0.05,-0.07,0.02,28.5714,pre-market
2023-03-31,2023-05-09,-0.05,-0.06,0.01,16.6667,pre-market
2023-06-30,2023-08-08,0.1,0.1,0,0,pre-market
2023-09-30,2023-11-07,0.11,0.12,-0.01,-8.3333,pre-market
2023-12-31,2024-03-12,0.05,-0.06,0.11,183.3333,post-market
2024-03-31,2024-05-07,-0.03,-0.08,0.05,62.5,post-market
2024-06-30,2024-08-06,0.15,0.03,0.12,400,post-market
2024-09-30,2024-11-05,0.08,0.06,0.02,33.3333,post-market
2024-12-31,2025-03-10,-0.1291,-0.0998,-0.0293,-29.3587,pre-market
2025-03-31,2025-05-05,-0.0492,-0.0462,-0.003,-6.4935,pre-market
2025-06-30,2025-08-06,0.13,0.13,0,0,pre-market
2025-09-30,2025-11-04,0.07,0.1,-0.03,-30,pre-market
2025-12-31,2026-03-10,-0.0415,-0.09,0.0485,53.8889,pre-market
