fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2020-03-31,USD,10099000,51134000,41035000,41035000,-9396000,15432000,None,19495000,None,-5333000,None,5333000,None,None,None,5755000,-18470000,-3019000,None,-15451000,None,-13996000,-8241000,-15451000
2020-06-30,USD,44362000,112822000,68460000,68460000,24939000,15360000,None,19423000,None,-4308000,None,4308000,None,None,None,5854000,21873000,5459000,None,16414000,None,25793000,31647000,16414000
2020-09-30,USD,50308000,127512000,77204000,77204000,26165000,20096000,None,24143000,None,-3992000,None,3992000,None,None,None,5852000,23551000,5811000,None,17740000,None,27543000,33395000,17740000
2020-12-31,USD,38004000,111921000,73917000,73917000,-1809000,28739000,None,39813000,None,-4643000,None,4643000,None,None,None,7904000,-4195000,-1475000,None,-2720000,None,-1731000,6173000,-2720000
2021-03-31,USD,52440000,148746000,96306000,96306000,19673000,27172000,None,32767000,None,-9056000,None,9056000,None,799000,None,7900000,11416000,2883000,None,8533000,None,20472000,28372000,8533000
2021-06-30,USD,58355000,180889000,122534000,122534000,-42412000,95288000,None,100767000,None,-7516000,7000,7516000,None,799000,None,7770000,-48380000,5218000,None,8533000,None,-40864000,-33094000,-53598000
2021-09-30,USD,50992000,161957000,110965000,110965000,-2566000,48072000,None,53558000,None,-4271000,None,4271000,None,3348000,None,8019000,-3489000,7807000,None,-11296000,None,782000,8801000,-11296000
2021-12-31,USD,42375000,138864000,96489000,96489000,-10874000,39643000,None,53249000,None,-3590000,None,3590000,None,1387000,None,8541000,-13077000,-7090000,None,-5987000,None,-9487000,-946000,-5987000
2022-03-31,USD,70654000,191614000,120960000,120960000,6800000,45225000,None,63854000,None,-1765000,None,1765000,None,-2568000,None,9494000,2467000,5307000,None,-2840000,None,18237000,27731000,-2840000
2022-06-30,USD,67607000,206800000,139193000,139193000,18647000,41804000,None,48960000,None,-3164000,None,3164000,None,-197000,None,9780000,15286000,10983000,None,4303000,None,18450000,28230000,4303000
2022-09-30,USD,58877000,189398000,130521000,130521000,24972000,41804000,None,33905000,None,-4264000,None,4264000,None,277000,None,15156000,20985000,9109000,None,11876000,None,25249000,40405000,11876000
2022-12-31,USD,19331000,107924000,88593000,88593000,-20409000,23264000,None,39740000,None,-6560000,None,6560000,None,1952000,None,9341000,-25017000,-5984000,None,-19033000,None,-18457000,-9116000,-19033000
2023-03-31,USD,33370000,137719000,104349000,104349000,-6319000,33057000,None,39689000,None,-10804000,None,10804000,None,-173000,None,9258000,-17296000,-2928000,None,-14368000,None,-6492000,2766000,-14368000
2023-06-30,USD,50233000,177128000,126895000,126895000,13389000,30209000,None,36844000,None,-4486000,None,4486000,None,1696000,None,10026000,10599000,4884000,None,5715000,None,15085000,25111000,5715000
2023-09-30,USD,48145000,160778000,112633000,112633000,18079000,23431000,None,30066000,None,-5980000,None,5980000,None,None,None,10500000,12839000,6686000,None,6153000,None,18819000,29319000,6153000
2023-12-31,USD,21196000,90867000,69671000,69671000,-9020000,12387000,None,30216000,None,-9646000,None,9646000,None,None,None,10967000,-16202000,-16314000,None,112000,None,-6556000,4411000,112000
2024-03-31,USD,30589000,110629000,80040000,80040000,-2073000,26250000,None,32662000,None,-4982000,None,4982000,None,None,None,10374000,-7332000,532000,None,-7864000,None,-2350000,8024000,-7864000
2024-06-30,USD,53022000,160122000,107100000,107100000,20006000,26588000,None,33016000,None,-6013000,None,6013000,None,None,None,10593000,13721000,442000,None,13279000,None,19734000,30327000,13279000
2024-09-30,USD,48689000,150496000,101807000,101807000,13371000,28336000,None,35318000,None,-9155000,None,9155000,None,None,None,11324000,5853000,-43000,None,5896000,None,15008000,26332000,5896000
2024-12-31,USD,21445000,87273000,65828000,65828000,-13026000,18690000,None,34471000,None,-4690000,None,4690000,None,None,None,12155000,-20981000,8189000,None,-29170000,None,-16291000,-4136000,-29170000
2025-03-31,USD,32881000,111420000,78539000,78539000,-4931000,30620000,None,37812000,None,-6371000,None,6371000,None,None,None,12400000,-10041000,-4079000,None,-5962000,None,-3670000,8730000,-5962000
2025-06-30,USD,63963000,172639000,108676000,108676000,24724000,31940000,None,39239000,None,-7149000,None,7149000,None,None,None,12697000,21110000,5130000,None,15980000,None,28259000,40956000,15980000
2025-09-30,USD,57307000,161903000,104596000,104596000,21508000,28586000,None,35799000,None,-6067000,None,6067000,None,None,None,12881000,15583000,7466000,None,8117000,None,21650000,34531000,8117000
2025-12-31,USD,-1007000,99950000,100957000,100957000,-9414000,31419000,None,8407000,None,-6218000,None,6218000,None,None,None,13375000,-13164000,-6153000,None,-7011000,None,-9863000,3512000,-7011000
