fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2005-12-31,USD,150000000,None,None,None,None,25800000,9300000,None,None,None,-197800000,366600000,None,None,None,None,24300000,24300000,None,None,None,None,None,None,None,None,None,60200000
2006-03-31,USD,85200000,None,None,None,None,30300000,14500000,None,None,None,-508100000,-30700000,None,None,None,None,23800000,23800000,None,None,None,None,-177100000,None,None,None,None,37700000
2006-06-30,USD,117300000,None,None,None,None,31000000,24100000,None,None,None,-41800000,-74600000,None,None,None,None,23500000,23500000,None,None,None,None,-24000000,None,None,None,None,74700000
2006-09-30,USD,117300000,None,None,None,None,30000000,21200000,None,None,None,-46400000,-37600000,None,None,None,None,24300000,24300000,None,None,None,None,-100000,None,None,None,None,90500000
2006-12-31,USD,119300000,None,None,None,None,29900000,20700000,None,20000000,None,-30000000,-155100000,None,None,None,None,24500000,24500000,None,None,None,None,-400000,None,None,None,None,86600000
2007-03-31,USD,93800000,None,None,None,None,37200000,26200000,None,None,None,-565900000,505000000,None,None,None,None,24900000,24900000,None,None,None,None,-6800000,None,None,None,None,67600000
2007-06-30,USD,102100000,None,None,None,None,40700000,17300000,None,None,None,-43400000,-51300000,None,None,None,None,24600000,24600000,None,None,None,None,-100100000,None,None,None,None,85300000
2007-09-30,USD,130300000,None,None,None,None,42200000,11500000,None,None,None,-69100000,-8400000,None,None,None,None,25400000,25400000,None,None,None,None,4100000,None,None,None,None,91400000
2007-12-31,USD,217900000,None,None,None,None,42100000,31900000,None,47000000,None,-38500000,-234700000,None,None,None,None,24900000,24900000,None,None,None,None,-100000000,None,None,None,None,92300000
2008-03-31,USD,107700000,None,None,None,None,40800000,25100000,None,None,None,-21600000,-9200000,None,None,None,None,24300000,24300000,None,None,None,None,-106400000,None,None,None,None,68000000
2008-06-30,USD,83500000,None,None,None,None,40500000,28500000,None,None,None,-48200000,25300000,None,None,None,None,24300000,24300000,None,None,None,None,-3700000,None,None,None,None,79600000
2008-09-30,USD,165900000,None,None,None,None,47200000,28300000,None,None,None,-186200000,-54100000,None,None,None,None,25200000,25200000,None,None,None,None,-4000000,None,None,None,None,164500000
2008-12-31,USD,159500000,None,None,None,None,54500000,58900000,None,26000000,None,-208600000,-10200000,None,None,None,None,25200000,25200000,None,None,None,None,-1000000,None,None,None,None,1200000
2009-03-31,USD,3600000,None,None,None,None,48000000,21700000,None,None,None,-26900000,-54400000,None,None,None,None,25300000,25300000,None,None,None,None,-4400000,None,None,None,None,37700000
2009-06-30,USD,68100000,None,None,None,None,48900000,25100000,None,None,None,-24700000,-23500000,None,None,None,None,25300000,25300000,None,None,None,None,-3900000,None,None,None,None,69500000
2009-09-30,USD,176300000,None,None,None,None,51900000,18400000,None,None,None,-33700000,-91500000,None,None,None,None,26300000,26300000,None,None,None,None,-3900000,None,5300000,None,None,60400000
2009-12-31,USD,291400000,None,None,None,None,51300000,28200000,None,152000000,None,-29900000,-68600000,None,None,None,None,26700000,26700000,None,None,None,None,9600000,None,None,None,None,56700000
2010-03-31,USD,59300000,None,None,None,None,59700000,22100000,None,None,None,-29300000,1166700000,None,None,None,None,34300000,34300000,None,None,None,None,-100000,None,None,None,None,70100000
2010-06-30,USD,248200000,None,None,None,None,92700000,35100000,None,-7900000,None,903400000,-1031400000,None,None,None,None,54600000,54600000,None,None,None,None,-2100000,None,None,None,None,206100000
2010-09-30,USD,279800000,None,None,None,None,86400000,45900000,None,0,None,-506500000,344900000,None,None,None,None,56300000,56300000,None,None,None,None,382900000,None,13500000,None,None,164600000
2010-12-31,USD,351900000,None,None,None,None,109900000,82400000,None,173000000,None,-155900000,-92100000,None,None,None,None,56400000,56400000,None,None,None,None,-2700000,None,21700000,None,None,137800000
2011-03-31,USD,120400000,None,None,None,None,103900000,70100000,None,0,None,-114600000,132300000,None,None,None,None,68600000,68600000,None,None,None,None,-700000,None,None,138100000,28800000,158700000
2011-06-30,USD,177300000,None,None,None,None,93800000,67900000,None,0,None,-204500000,58700000,None,None,None,None,68900000,68900000,None,None,None,None,-5400000,None,None,31500000,26900000,197000000
2011-09-30,USD,157000000,None,None,None,None,100300000,58400000,None,0,None,-1026500000,-193600000,None,None,None,None,69100000,69100000,None,None,None,None,-100000,None,15900000,-1063100000,-44700000,155300000
2011-12-31,USD,544200000,None,None,None,None,112100000,105700000,None,90200000,None,-63300000,-413600000,None,None,None,None,69300000,69300000,None,None,None,None,-167500000,None,20300000,None,None,164000000
2012-03-31,USD,-32300000,None,None,None,None,115800000,61500000,None,0,None,-174300000,183300000,None,None,None,None,69900000,69900000,None,None,None,None,-10900000,None,None,None,None,121100000
2012-06-30,USD,299200000,None,None,None,None,109000000,109000000,None,0,None,-578600000,-26400000,None,None,None,None,68900000,68900000,None,None,None,None,-206900000,None,None,None,None,154500000
2012-09-30,USD,151200000,None,None,None,None,105800000,89000000,None,0,None,-193100000,233600000,None,None,None,None,82500000,82500000,None,None,None,None,2045700000,None,None,None,None,115000000
2012-12-31,USD,548100000,None,None,None,None,114700000,126500000,-70400000,11400000,None,1122900000,-1724500000,None,None,None,None,82700000,82700000,None,None,None,None,-856000000,None,-316900000,56000000,30900000,492500000
2013-03-31,USD,-147500000,None,None,None,None,105800000,79500000,None,0,None,-932400000,921400000,None,None,None,None,79100000,79100000,None,None,None,None,-21100000,None,None,-158500000,-31500000,80700000
2013-06-30,USD,184200000,None,None,None,None,108100000,88400000,None,0,None,-49900000,-130100000,None,None,None,None,78400000,78400000,None,None,None,None,-3700000,None,None,4200000,-20700000,186800000
2013-09-30,USD,99600000,None,None,None,None,108800000,94200000,None,0,None,-109900000,-82300000,None,None,None,None,77500000,77500000,None,None,None,None,-7800000,None,None,-92600000,18900000,165700000
2013-12-31,USD,731700000,None,None,None,None,118600000,103500000,None,-101900000,None,-109800000,-594800000,None,None,None,None,77700000,77700000,None,None,None,None,-6600000,None,None,None,None,56000000
2014-03-31,USD,-152000000,None,None,None,None,110400000,57800000,None,0,None,-61000000,149400000,None,None,None,None,80700000,80700000,None,None,None,None,-19400000,None,None,-63600000,-7100000,162100000
2014-06-30,USD,437200000,None,None,None,None,114400000,61400000,None,0,None,-60400000,-293700000,None,None,None,None,78400000,78400000,None,None,None,None,-199400000,None,None,83100000,10300000,217400000
2014-09-30,USD,249100000,None,None,None,None,112600000,60200000,None,0,None,-83600000,-194400000,None,None,None,None,81400000,81400000,None,None,None,None,-1300000,None,None,-28900000,-66300000,236400000
2014-12-31,USD,747300000,None,None,None,None,112400000,111600000,None,-175900000,None,-109300000,-544200000,None,None,None,None,80800000,80800000,None,None,None,None,-7500000,None,None,None,None,145500000
2015-03-31,USD,-197500000,None,None,None,None,102500000,45900000,None,0,None,-15500000,197500000,None,None,None,None,82700000,82700000,None,None,None,None,-348000000,None,None,-61100000,-45600000,161500000
2015-06-30,USD,312600000,None,None,None,None,102000000,65700000,None,0,None,-32200000,-327500000,None,None,None,None,76800000,76800000,None,None,None,None,-100000000,None,None,-43600000,3500000,227000000
2015-09-30,USD,239000000,None,None,None,None,103900000,68500000,None,0,None,-20200000,-278700000,None,None,None,None,79700000,79700000,None,None,None,None,-192100000,None,None,-98600000,-38700000,228000000
2015-12-31,USD,828200000,None,None,None,None,105600000,131300000,-53900000,-54700000,None,-139400000,-464600000,None,None,None,None,80700000,80700000,None,None,None,None,-9700000,None,68700000,172100000,-52100000,265600000
2016-03-31,USD,-93100000,None,None,None,None,100100000,64900000,None,0,None,-67300000,30100000,None,None,None,None,79600000,79600000,None,None,None,None,-361400000,None,None,-113200000,17100000,188600000
2016-06-30,USD,496400000,None,None,None,None,102000000,78700000,None,0,None,-70800000,-177100000,None,None,None,None,79800000,79800000,None,None,None,None,-700000,None,None,216000000,-32500000,271500000
