fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
1996-03-31,1996-04-17,0.38,0.35,0.03,8.5714,pre-market
1996-06-30,1996-07-17,0.49,0.42,0.07,16.6667,pre-market
1996-09-30,1996-10-16,0.48,0.45,0.03,6.6667,pre-market
1996-12-31,1997-01-23,0.48,0.49,-0.01,-2.0408,pre-market
1997-03-31,1997-04-16,0.45,0.45,0,0,pre-market
1997-06-30,1997-07-18,0.56,0.54,0.02,3.7037,pre-market
1997-09-30,1997-10-15,0.55,0.55,0,0,pre-market
1997-12-31,1998-01-29,0.55,0.55,0,0,pre-market
1998-03-31,1998-04-22,0.51,0.51,0,0,pre-market
1998-06-30,1998-07-15,0.58,0.58,0,0,pre-market
1998-09-30,1998-10-21,0.55,0.54,0.01,1.8519,pre-market
1998-12-31,1999-01-28,0.5,0.54,-0.04,-7.4074,pre-market
1999-03-31,1999-04-21,0.48,0.48,0,0,pre-market
1999-06-30,1999-07-21,0.54,0.53,0.01,1.8868,pre-market
1999-09-30,1999-10-20,0.56,0.47,0.09,19.1489,pre-market
1999-12-31,2000-01-27,0.48,0.46,0.02,4.3478,pre-market
2000-03-31,2000-04-19,0.54,0.51,0.03,5.8824,pre-market
2000-06-30,2000-07-19,0.58,0.58,0,0,pre-market
2000-09-30,2000-10-18,0.56,0.56,0,0,pre-market
2000-12-31,2001-01-25,0.54,0.55,-0.01,-1.8182,pre-market
2001-03-31,2001-04-18,0.54,0.54,0,0,pre-market
2001-06-30,2001-07-17,0.58,0.58,0,0,pre-market
2001-09-30,2001-10-18,0.62,0.62,0,0,pre-market
2001-12-31,2002-01-24,0.57,0.57,0,0,pre-market
2002-03-31,2002-04-24,0.56,0.56,0,0,pre-market
2002-06-30,2002-07-17,0.72,0.72,0,0,pre-market
2002-09-30,2002-10-16,0.62,0.61,0.01,1.6393,pre-market
2002-12-31,2003-01-23,0.42,0.42,0,0,pre-market
2003-03-31,2003-04-29,0.35,0.34,0.01,2.9412,pre-market
2003-06-30,2003-07-22,0.52,0.51,0.01,1.9608,pre-market
2003-09-30,2003-10-22,0.65,0.62,0.03,4.8387,pre-market
2003-12-31,2004-01-28,0.73,0.7,0.03,4.2857,post-market
2004-03-31,2004-04-26,0.7,0.63,0.07,11.1111,pre-market
2004-06-30,2004-07-26,0.73,0.67,0.06,8.9552,post-market
2004-09-30,2004-10-18,0.76,0.7,0.06,8.5714,post-market
2004-12-31,2005-01-27,0.75,0.72,0.03,4.1667,post-market
2005-03-31,2005-04-27,0.78,0.74,0.04,5.4054,post-market
2005-06-30,2005-07-26,0.79,0.78,0.01,1.2821,post-market
2005-09-30,2005-10-25,0.92,0.86,0.06,6.9767,pre-market
2005-12-31,2006-01-25,0.75,0.82,-0.07,-8.5366,post-market
2006-03-31,2006-04-25,0.45,0.44,0.01,2.2727,post-market
