fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2005-12-31,USD,-66020000,None,None,None,None,5390000,1767000,None,-2131000,None,-1767000,-6878000,None,None,None,None,98027000,98027000,None,None,None,None,None,None,None,None,None,8984000
2006-03-31,USD,4948000,None,None,None,None,5195000,2064000,None,-3564000,None,-2064000,-63000,None,None,None,None,None,None,None,None,None,None,None,None,1400,None,None,14274000
2006-06-30,USD,21280000,None,None,None,None,27507000,1736000,None,-3522000,None,-28893000,-2673000,None,None,None,None,None,None,None,None,None,None,300000,None,800,None,None,-13363000
2006-09-30,USD,42850000,None,None,None,None,4740000,2783000,None,-946000,None,-2599000,-1125000,None,None,None,None,None,None,None,None,None,None,None,None,-27848000,None,None,15222000
2006-12-31,USD,38453000,None,None,None,None,4654000,2496000,None,-2333000,None,-47746000,2632000,None,None,None,None,None,None,None,None,None,None,1300000,None,465000,None,None,20335000
2007-03-31,USD,16947000,None,None,None,None,7080000,1709000,None,-3999000,None,-432164000,425456000,None,None,None,None,None,None,None,None,None,None,None,None,1200,None,None,21514000
2007-06-30,USD,34719000,None,None,None,None,7530000,2940000,None,-1732000,None,-3144000,23825000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,22121000
2007-09-30,USD,22317000,None,None,None,None,7835000,3113000,None,2440000,None,-38611000,2045000,None,None,None,None,None,None,None,None,None,None,None,None,3487000,None,None,24675000
2007-12-31,USD,60228000,None,None,None,None,7423000,2401000,None,-1366000,None,-2401000,6542000,None,None,None,None,None,None,None,None,None,None,1500000,None,1217000,None,None,26968000
2008-03-31,USD,17945000,None,None,None,None,6543000,1782000,None,-395000,None,-1782000,7509000,None,None,None,None,None,None,None,None,None,None,2400000,None,1600,None,None,32170000
