fiscalDateEnding,reportedEPS
1996-12-31,0.23
1997-12-31,1.18
1998-12-31,1.58
1999-12-31,1.4243
2000-12-31,1.55
2001-12-31,0.92
2002-12-31,1.12
2003-12-31,0.64
2004-12-31,0.76
2005-12-31,0.6731
2006-12-31,0.9725
2007-12-31,0.99
2008-12-31,0.93
2009-12-31,0.85
2010-12-31,0.95
2011-12-31,0.89
2012-12-31,1.21
2013-12-31,1.15
2014-12-31,1.1338
2015-12-31,0.82
2016-12-31,0.68
2017-12-31,0.81
2018-12-31,1.43
2019-12-31,1.51
2020-12-31,0.24
2021-12-31,1.18
2022-12-31,0.96
2023-12-31,-2.4983
2024-12-31,-1.8831
2025-12-31,0.9641
