fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-03-31,USD,None,None,None,None,-6500,6500,None,6500,None,None,None,None,None,None,None,None,-6500,6500,None,None,None,None,-6500,-6500
2006-06-30,USD,None,None,None,None,-7444,7744,None,7444,None,None,None,None,None,None,None,None,-7444,7444,None,None,None,None,-7444,-7444
2006-09-30,USD,None,None,None,None,-3508,3508,None,3508,None,None,None,None,None,None,None,None,-3508,3508,None,None,None,None,-3508,-3508
2006-12-31,USD,None,None,None,None,-5107,5107,None,5107,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-5107,-5107
2007-03-31,USD,None,None,None,None,-3000,None,None,3000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-3000,-3000
2007-06-30,USD,None,None,None,None,-3150,3150,None,3150,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-3150,-3150
2007-09-30,USD,None,None,None,None,-3528,3528,None,3528,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-3528,-3528
2007-12-31,USD,None,None,None,None,-3528,3528,None,3528,None,None,None,None,None,None,None,None,-3528,3528,None,None,None,None,-3528,-3528
2008-03-31,USD,None,None,None,None,-79871,None,None,79871,None,None,None,None,None,None,None,13978,-92371,92371,None,None,None,-79871,-65893,-92371
2008-06-30,USD,None,None,None,None,-369515,None,None,369515,None,None,None,1944,None,None,None,12653,-371459,371459,None,None,None,-369515,-356862,-371459
2008-09-30,USD,3086,3086,None,None,-1059482,None,None,1062568,None,None,None,1109,None,None,None,-4359,-1057505,1057505,None,None,None,-1055123,-1059482,-1057505
2008-12-31,USD,7249,7249,None,None,-21222129,None,None,21229378,None,None,None,16559,None,None,None,10715,-21224244,21224244,None,None,None,-21222129,-21211414,-21224244
2009-03-31,USD,5890,5890,None,None,17540963,17535073,None,-17535073,None,None,None,2735,None,None,None,20987,17538228,-17538228,None,None,None,17540963,17561950,17516190
2009-06-30,USD,172000,212697,40696,40696,-555111,727112,None,727112,None,None,None,2516,None,None,None,23589,-556647,556647,None,None,None,-555111,-531522,-556647
2009-09-30,USD,163590,218176,54586,54586,-393613,557203,None,557203,None,None,None,2310,None,None,None,24600,-518251,518251,None,None,None,-393613,-369013,-518251
2009-12-31,USD,-15320,71610,86930,86930,-783286,85987,None,767966,None,None,None,1921,None,None,None,20000,None,None,None,None,None,-783286,-763286,-2128419
2010-03-31,USD,143160,271045,127885,127885,-435585,578745,None,578745,None,None,None,2374,None,None,None,23181,-370593,2128419,None,None,None,-435585,-412404,-370593
2010-06-30,USD,17443,17978,535,535,-716028,430539,None,733471,None,None,None,2096,None,None,None,29152,-834701,834701,None,None,None,-716028,-686876,-834701
2010-09-30,USD,15099,16267,1168,1168,195163,722436,-902500,-180064,None,None,None,614,None,None,None,25164,208008,-208008,None,None,None,195163,220327,205857
2010-12-31,USD,36170,51890,15720,15720,-424657,460827,None,460827,None,None,None,29191,None,None,None,8424,-545892,545892,None,None,None,-424657,-416233,-545892
2011-03-31,USD,42852,147974,105122,105122,-385727,428579,None,428579,None,None,None,3192,None,None,None,25160,-393090,393090,None,None,None,-385727,-360567,-393090
2011-06-30,USD,5577,10514,4937,4937,-125271,130848,None,130848,None,None,None,4174,None,None,None,24723,-125963,125963,None,None,None,-125769,-101046,-125963
2011-09-30,USD,10210,42062,31852,31852,-118421,128631,None,128631,None,None,None,4758,None,None,None,10630,-121877,121877,None,None,None,-118421,-107791,-121877
2011-12-31,USD,12601,7849,-4752,-4752,-159017,171618,None,171618,None,None,None,21394,None,None,None,9615,-183950,183950,None,None,None,-163573,-153958,-183950
2012-03-31,USD,33486,65229,31743,31743,-53013,130399,None,86499,None,None,None,9195,None,None,None,8299,-92475,92475,None,None,None,-61312,-53013,-92475
2012-06-30,USD,91510,218473,126963,126963,-31504,123014,None,123014,None,None,None,6413,None,None,None,10045,-48252,6413,None,None,None,-41549,-31504,-48252
2012-09-30,USD,68255,261266,193011,193011,-51034,119289,None,119289,None,None,None,8611,None,None,None,11325,-220380,220380,None,None,None,-51034,-39709,-220380
