fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-03-31,USD,7200000,None,None,None,None,21400000,157900000,None,-65500000,None,-149900000,85400000,None,None,None,None,5100000,5100000,None,None,None,None,None,None,None,None,None,37000000
2006-06-30,USD,-40300000,None,None,None,None,21900000,138300000,None,-28000000,None,-49600000,444200000,None,None,None,None,3600000,3600000,None,None,None,None,None,None,None,None,None,85800000
2006-09-30,USD,96400000,None,None,None,None,20000000,187200000,None,-27300000,None,-152200000,-9100000,None,None,None,None,4700000,4700000,None,None,None,None,None,None,22500000,None,None,50800000
2006-12-31,USD,67500000,None,None,None,None,24300000,177700000,None,-3200000,None,-121200000,-2900000,None,None,None,None,4600000,4600000,None,None,None,None,None,None,14800000,None,None,56500000
2007-03-31,USD,39600000,None,None,None,None,26500000,193500000,None,-20200000,None,-182100000,55100000,None,None,None,None,4800000,4800000,None,None,None,None,None,None,4000000,None,None,59100000
2007-06-30,USD,105700000,None,None,None,None,29500000,282700000,None,-12700000,None,-183700000,82000000,None,None,None,None,4700000,4700000,None,None,None,None,None,None,-28400000,None,None,68700000
2007-09-30,USD,42900000,None,None,None,None,30000000,249600000,None,-45700000,None,-120400000,71800000,None,None,None,None,4700000,4700000,None,None,None,None,None,None,-18500000,None,None,87000000
2007-12-31,USD,156300000,None,None,None,None,32900000,168300000,None,27700000,None,-48600000,-40500000,None,None,None,None,6000000,6000000,None,None,None,None,None,None,18600000,None,None,78300000
2008-03-31,USD,39000000,None,None,None,None,31800000,217100000,None,-64100000,None,-167200000,38300000,None,None,None,None,5700000,5700000,None,None,None,None,-12200000,None,5000000,None,None,65300000
2008-06-30,USD,-13500000,None,None,None,None,34100000,260700000,None,-67600000,None,-232700000,256500000,None,None,None,None,5600000,5600000,None,None,None,None,None,None,-7800000,None,None,85600000
