fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-03-31,USD,677000000,2632000000,1955000000,1955000000,316000000,None,None,361000000,None,None,None,94000000,None,None,None,66000000,213000000,55000000,None,None,None,316000000,382000000,168000000
2006-06-30,USD,739000000,2820000000,2081000000,2081000000,364000000,375000000,0,375000000,None,None,None,109000000,None,None,None,72000000,255000000,78000000,None,0,None,364000000,436000000,69000000
2006-09-30,USD,738000000,2837000000,2099000000,2099000000,359000000,8000000,351000000,379000000,None,None,None,118000000,None,None,None,72000000,242000000,67000000,None,0,None,359000000,431000000,169000000
2006-12-31,USD,808000000,3201000000,2393000000,2393000000,383000000,None,None,425000000,None,None,None,None,None,None,None,80000000,265000000,69000000,None,None,None,383000000,463000000,195000000
2007-03-31,USD,784000000,2964000000,2180000000,2180000000,412000000,8000000,0,372000000,None,None,None,123000000,None,None,None,74000000,284000000,86000000,None,0,None,412000000,486000000,196000000
2007-06-30,USD,861000000,3235000000,2374000000,2374000000,421000000,440000000,0,440000000,None,None,None,124000000,None,None,None,79000000,297000000,82000000,None,0,None,421000000,500000000,210000000
2007-09-30,USD,835000000,3110000000,2275000000,2275000000,446000000,7000000,365000000,389000000,None,None,None,117000000,None,None,None,77000000,329000000,104000000,None,0,None,446000000,523000000,255000000
2007-12-31,USD,992000000,3763000000,2771000000,2771000000,486000000,22000000,0,506000000,None,None,None,120000000,None,None,None,98000000,366000000,106000000,None,0,None,486000000,584000000,256000000
2008-03-31,USD,872000000,3306000000,2434000000,2434000000,454000000,27000000,None,418000000,None,None,None,115000000,None,None,None,99000000,339000000,114000000,None,None,None,454000000,553000000,231000000
2008-06-30,USD,909000000,3684000000,2775000000,2775000000,476000000,94000000,0,433000000,None,None,None,101000000,None,None,None,100000000,375000000,125000000,None,0,None,476000000,576000000,258000000
2008-09-30,USD,876000000,3471000000,2595000000,2595000000,423000000,94000000,465000000,453000000,None,None,None,102000000,None,None,None,94000000,321000000,116000000,None,0,None,423000000,517000000,206000000
2008-12-31,USD,789000000,3606000000,2817000000,2817000000,244000000,76000000,None,545000000,None,None,None,114000000,None,None,None,108000000,-396000000,-48000000,None,None,None,-282000000,-174000000,-209000000
2009-03-31,USD,524000000,2526000000,2002000000,2002000000,108000000,76000000,0,416000000,None,None,None,79000000,None,None,None,96000000,41000000,-2000000,None,0,None,120000000,216000000,86000000
2009-06-30,USD,513000000,2612000000,2099000000,2099000000,86000000,76000000,None,427000000,None,None,None,77000000,None,None,None,101000000,-120000000,-58000000,None,None,None,-43000000,58000000,-58000000
2009-09-30,USD,502000000,2549000000,2047000000,2047000000,111000000,1291000000,0,391000000,None,None,None,74000000,None,None,None,100000000,-5000000,-11000000,None,0,None,69000000,169000000,4000000
2009-12-31,USD,493000000,2813000000,2320000000,2320000000,122000000,61000000,None,371000000,None,None,None,79000000,None,None,None,112000000,-65000000,-5000000,None,None,None,14000000,126000000,-63000000
2010-03-31,USD,434000000,2210000000,1776000000,1776000000,94000000,45000000,0,340000000,None,None,None,71000000,None,2000000,None,90000000,11000000,15000000,None,-4000000,None,82000000,172000000,-8000000
2010-06-30,USD,521000000,2709000000,2188000000,2188000000,178000000,330000000,0,343000000,None,None,None,69000000,None,None,None,97000000,99000000,18000000,None,0,None,168000000,265000000,82000000
2010-09-30,USD,442000000,2479000000,2037000000,2037000000,112000000,330000000,0,330000000,None,None,None,67000000,None,None,None,95000000,-69000000,-21000000,None,0,None,-2000000,93000000,-48000000
2010-12-31,USD,522000000,3127000000,2605000000,2605000000,162000000,14000000,403000000,360000000,None,None,None,63000000,None,None,None,111000000,45000000,-18000000,None,-17000000,None,108000000,219000000,60000000
2011-03-31,USD,424000000,2479000000,2055000000,2055000000,108000000,12000000,0,316000000,None,None,None,62000000,None,None,None,95000000,46000000,15000000,None,31000000,None,108000000,203000000,29000000
2011-06-30,USD,503000000,2728000000,2225000000,2225000000,208000000,254000000,0,295000000,None,None,None,61000000,None,None,None,100000000,135000000,43000000,None,136000000,None,196000000,296000000,90000000
2011-09-30,USD,501000000,2814000000,2313000000,2313000000,250000000,3000000,525000000,251000000,None,None,None,61000000,None,None,None,94000000,186000000,50000000,None,136000000,None,247000000,341000000,142000000
2011-12-31,USD,539000000,3254000000,2715000000,2715000000,32000000,None,None,507000000,None,None,None,62000000,None,None,None,114000000,-30000000,-13000000,None,None,None,32000000,146000000,-19000000
2012-03-31,USD,544000000,2856000000,2312000000,2312000000,232000000,308000000,0,312000000,None,None,None,55000000,None,None,None,91000000,177000000,57000000,None,120000000,None,232000000,323000000,118000000
2012-06-30,USD,584000000,3019000000,2435000000,2435000000,308000000,283000000,0,276000000,None,None,None,53000000,None,None,None,92000000,255000000,82000000,None,173000000,None,308000000,400000000,172000000
2012-09-30,USD,525000000,3000000000,2475000000,2475000000,261000000,1000000,584000000,264000000,None,None,None,52000000,None,None,None,94000000,209000000,67000000,None,146000000,None,261000000,355000000,151000000
2012-12-31,USD,565000000,3362000000,2797000000,2797000000,256000000,1000000,584000000,309000000,None,None,None,52000000,None,None,None,106000000,200000000,54000000,None,115000000,None,252000000,358000000,148000000
2013-03-31,USD,473000000,2855000000,2382000000,2382000000,194000000,None,None,279000000,None,None,None,51000000,None,None,None,97000000,143000000,28000000,None,None,None,194000000,291000000,119000000
2013-06-30,USD,501000000,2839000000,2338000000,2338000000,205000000,296000000,0,296000000,None,None,None,42000000,None,None,None,95000000,163000000,49000000,None,114000000,None,205000000,300000000,113000000
2013-09-30,USD,431000000,2904000000,2473000000,2473000000,186000000,306000000,651000000,245000000,None,None,None,41000000,None,None,None,93000000,145000000,47000000,None,171000000,None,186000000,279000000,99000000
2013-12-31,USD,568000000,3506000000,2938000000,2938000000,262000000,302000000,651000000,306000000,None,None,None,39000000,None,None,None,104000000,223000000,52000000,None,87000000,None,262000000,366000000,167000000
2014-03-31,USD,490000000,2847000000,2357000000,2357000000,188000000,353000000,0,302000000,None,None,None,47000000,None,None,None,98000000,125000000,38000000,None,145000000,None,172000000,270000000,85000000
