fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,25369000000,6273000000,3832000000,3832000000,218000000,820000000,19096000000,11463000000,None,3028000000,3028000000,2703000000,None,None,312000000,1091000000,None,23221000000,7945000000,667000000,None,None,1797000000,15276000000,None,8803000000,None,None,10600000000,2020000000,None,2148000000,-4000000,16000000,1000000,116217733
2007-12-31,USD,24220000000,6095000000,1259000000,1259000000,242000000,888000000,18125000000,11359000000,None,2871000000,2871000000,2280000000,None,None,2295000000,1411000000,None,21802000000,7979000000,877000000,None,None,928000000,13823000000,None,7521000000,None,None,8449000000,2988000000,None,2418000000,-15000000,152000000,1000000,153700000
2008-12-31,USD,19461000000,4861000000,2039000000,2039000000,237000000,714000000,14600000000,10312000000,None,2693000000,2693000000,None,None,None,54000000,1817000000,None,21786000000,7281000000,829000000,None,None,950000000,14645000000,None,7199000000,None,None,8149000000,4088000000,None,-2465000000,-26000000,-5199000000,1000000,126800000
2009-12-31,USD,18684000000,5105000000,3042000000,3042000000,197000000,743000000,13579000000,9840000000,None,2455000000,2455000000,None,None,None,128000000,1084000000,None,21495000000,6473000000,803000000,None,None,971000000,15022000000,None,7572000000,None,None,8543000000,3184000000,None,-2811000000,-28000000,-5956000000,2000000,150700000
2010-12-31,USD,39598000000,12045000000,8069000000,8069000000,466000000,1613000000,27553000000,16945000000,None,4917000000,4917000000,4523000000,None,None,611000000,1286000000,None,37871000000,12645000000,1805000000,None,None,2663000000,25226000000,None,12470000000,None,None,15133000000,5595000000,None,1727000000,-31000000,-5703000000,3000000,253000000
2011-12-31,USD,37988000000,10997000000,6246000000,6246000000,615000000,1358000000,26991000000,16419000000,None,4750000000,4750000000,4523000000,None,None,1516000000,1262000000,None,36182000000,11394000000,1998000000,None,None,1311000000,24788000000,None,11424000000,None,None,12735000000,5680000000,None,1806000000,-31000000,-4863000000,3000000,383000000
2012-12-31,USD,37628000000,10049000000,4770000000,4770000000,695000000,1338000000,27579000000,17292000000,None,4597000000,4597000000,4523000000,None,None,1773000000,1473000000,None,37147000000,12818000000,2312000000,None,None,1934000000,24329000000,792000000,10440000000,None,None,13166000000,6208000000,8798000000,481000000,-35000000,-5586000000,3000000,331000000
2013-12-31,USD,36812000000,8702000000,3220000000,3220000000,667000000,1503000000,28110000000,18047000000,None,4436000000,4436000000,4523000000,None,None,1901000000,1411000000,None,33828000000,12107000000,2087000000,None,None,1485000000,21721000000,None,10924000000,None,None,12409000000,6166000000,None,2984000000,-38000000,-5015000000,4000000,390000000
2014-12-31,USD,36595000000,7547000000,2002000000,2002000000,666000000,1146000000,29215000000,19467000000,None,4284000000,4284000000,4523000000,None,None,2382000000,1351000000,None,34199000000,12508000000,1882000000,None,None,1423000000,22449000000,571000000,10121000000,1313000000,None,12115000000,7145000000,11757000000,2396000000,-367000000,-3883000000,4000000,390000000
2015-12-31,USD,40861000000,7828000000,3006000000,3006000000,738000000,1128000000,33033000000,21580000000,None,4136000000,4136000000,4523000000,None,None,2190000000,766000000,None,31895000000,12414000000,1869000000,None,None,1359000000,19481000000,727000000,9673000000,1224000000,None,11759000000,7069000000,9081000000,8966000000,-1610000000,3457000000,4000000,377000000
