fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-12-31,USD,9130000000,15578000000,6448000000,6448000000,2884000000,4599000000,None,5836000000,None,None,None,477000000,None,None,None,1237000000,2525000000,919000000,None,None,None,3002000000,4239000000,1606000000
2007-12-31,USD,9608000000,16283000000,6675000000,6675000000,3375000000,4591000000,None,5912000000,None,None,None,482000000,None,None,None,1321000000,3009000000,1154000000,None,None,None,3491000000,4812000000,1855000000
2008-12-31,USD,10759000000,17970000000,7211000000,7211000000,4075000000,5783000000,None,12569000000,None,None,None,511000000,None,None,None,1387000000,3656000000,1318000000,None,None,None,4167000000,5554000000,2335000000
2009-12-31,USD,11916000000,14143000000,2227000000,2227000000,3379000000,4063000000,0,6177000000,None,None,None,600000000,None,195000000,None,1427000000,2974000000,1084000000,None,1898000000,None,3384000000,4811000000,1890000000
2010-12-31,USD,13785000000,16965000000,3180000000,3180000000,4981000000,4314000000,0,6520000000,None,None,None,602000000,None,54000000,None,1487000000,4433000000,1653000000,None,2780000000,None,5035000000,6522000000,2780000000
2011-12-31,USD,12804000000,19557000000,6753000000,6753000000,5724000000,4681000000,0,7080000000,None,None,None,572000000,None,112000000,None,1617000000,5264000000,1972000000,None,3292000000,None,5836000000,7453000000,3292000000
2012-12-31,USD,7533000000,20926000000,13393000000,13393000000,6745000000,5473000000,0,788000000,None,None,None,535000000,None,108000000,None,1760000000,6318000000,2375000000,None,3943000000,None,6853000000,8613000000,3943000000
2013-12-31,USD,8295000000,21963000000,13668000000,13668000000,7446000000,5656000000,0,849000000,None,None,None,526000000,None,128000000,None,1777000000,7048000000,2660000000,None,4388000000,None,7446000000,9223000000,4388000000
2014-12-31,USD,9677000000,23988000000,14311000000,14311000000,8753000000,6000000000,0,924000000,None,None,None,561000000,None,151000000,None,1904000000,8343000000,3163000000,None,5180000000,None,8904000000,10808000000,5180000000
2015-12-31,USD,8976000000,21813000000,12837000000,12837000000,8052000000,6085000000,0,924000000,None,None,617000000,622000000,None,226000000,None,2012000000,7656000000,2884000000,None,4772000000,None,8278000000,10290000000,4772000000
2016-12-31,USD,8269000000,19941000000,11672000000,11672000000,7272000000,5747000000,0,997000000,None,-687000000,11000000,698000000,None,192000000,None,2038000000,6766000000,2533000000,None,4233000000,None,7464000000,9502000000,4233000000
2017-12-31,USD,9009000000,21240000000,12231000000,12231000000,8061000000,5932000000,0,948000000,None,-703000000,16000000,719000000,None,290000000,None,2105000000,7632000000,-3080000000,None,10712000000,None,8351000000,10456000000,10712000000
2018-12-31,USD,9539000000,22832000000,13293000000,13293000000,8517000000,6078000000,0,1022000000,None,-840000000,30000000,870000000,None,94000000,None,2191000000,7741000000,1775000000,None,5966000000,None,8611000000,10802000000,5966000000
2019-12-31,USD,9614000000,21708000000,12094000000,12094000000,8554000000,5593000000,None,1060000000,None,-987000000,63000000,1050000000,None,243000000,None,2216000000,7747000000,1828000000,None,5919000000,None,8797000000,11013000000,5919000000
2020-12-31,USD,9179000000,19533000000,10354000000,10354000000,7834000000,5338000000,None,1345000000,None,-1141000000,1141000000,1141000000,None,287000000,None,2210000000,6980000000,1631000000,None,5349000000,None,8121000000,10331000000,5349000000
2021-12-31,USD,10514000000,21804000000,11290000000,11290000000,9338000000,5017000000,None,1176000000,None,-1157000000,1157000000,1157000000,None,297000000,None,2208000000,8478000000,1955000000,None,6523000000,None,9635000000,11843000000,6523000000
2022-12-31,USD,11205000000,24875000000,13670000000,13670000000,9917000000,5543000000,None,1288000000,None,-1271000000,1271000000,1271000000,None,426000000,None,2293000000,9072000000,2074000000,None,6998000000,None,10343000000,12636000000,6998000000
2023-12-31,USD,10529000000,24119000000,13590000000,13590000000,9082000000,5765000000,None,1447000000,None,-1288000000,52000000,1340000000,None,None,None,2355000000,8233000000,1854000000,None,6379000000,None,9573000000,11928000000,6379000000
2024-12-31,USD,11039000000,24250000000,13211000000,13211000000,9713000000,5819000000,None,1326000000,None,-1193000000,76000000,1269000000,None,None,None,2435000000,8794000000,2047000000,None,6747000000,None,10063000000,12498000000,6747000000
2025-12-31,USD,14553000000,24510000000,9957000000,9957000000,9839000000,-13000000,None,4714000000,None,-1253000000,1309000000,1309000000,None,None,None,2472000000,9166000000,2028000000,None,7138000000,None,10475000000,12947000000,7138000000
