fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-03-31,USD,1670000000,3710000000,2040000000,2040000000,605000000,1716000000,0,3582000000,None,None,None,110000000,None,None,None,303000000,495000000,184000000,None,0,None,605000000,908000000,311000000
2006-06-30,USD,1794000000,3923000000,2129000000,2129000000,717000000,1731000000,0,3687000000,None,None,None,91000000,None,None,None,308000000,626000000,236000000,None,0,None,717000000,1025000000,390000000
2006-09-30,USD,1853000000,3983000000,2130000000,2130000000,752000000,1698000000,0,3685000000,None,None,None,97000000,None,None,None,311000000,655000000,235000000,None,0,None,752000000,1063000000,420000000
2006-12-31,USD,3813000000,3962000000,149000000,149000000,810000000,-546000000,0,-5118000000,None,None,None,61000000,None,None,None,315000000,749000000,264000000,None,0,None,8639000000,8954000000,485000000
2007-03-31,USD,1871000000,3849000000,1978000000,1978000000,719000000,1671000000,0,3552000000,None,None,None,98000000,None,None,None,325000000,621000000,235000000,None,0,None,719000000,1044000000,386000000
2007-06-30,USD,1907000000,4046000000,2139000000,2139000000,787000000,1729000000,0,3727000000,None,None,None,84000000,None,None,None,327000000,703000000,257000000,None,0,None,823000000,1150000000,446000000
2007-09-30,USD,2093000000,4191000000,2098000000,2098000000,1005000000,1582000000,0,3599000000,None,None,None,99000000,None,None,None,332000000,906000000,374000000,None,0,None,1030000000,1362000000,532000000
2007-12-31,USD,3737000000,4197000000,460000000,460000000,864000000,-391000000,0,-4966000000,None,None,None,85000000,None,None,None,337000000,779000000,288000000,None,0,None,8498000000,8835000000,491000000
2008-03-31,USD,1918000000,4270000000,2352000000,2352000000,788000000,1474000000,0,3824000000,None,None,None,101000000,None,None,None,340000000,687000000,244000000,None,0,None,813000000,1153000000,443000000
2008-06-30,USD,2577000000,4568000000,1991000000,1991000000,931000000,1101000000,0,1447000000,None,None,None,128000000,None,None,None,346000000,822000000,291000000,None,0,None,950000000,1296000000,531000000
2008-09-30,USD,2904000000,4846000000,1942000000,1942000000,1215000000,1123000000,0,1471000000,None,None,None,130000000,None,None,None,348000000,1108000000,405000000,None,0,None,1238000000,1586000000,703000000
2008-12-31,USD,2776000000,4286000000,1510000000,1510000000,1141000000,1101000000,0,1454000000,None,None,None,127000000,None,None,None,353000000,1039000000,378000000,None,0,None,1166000000,1519000000,661000000
2009-03-31,USD,2947000000,3415000000,468000000,468000000,672000000,1296000000,0,1641000000,None,None,None,141000000,None,None,None,345000000,554000000,192000000,None,0,None,690000000,1035000000,362000000
2009-06-30,USD,2849000000,3303000000,454000000,454000000,751000000,976000000,0,1484000000,None,None,None,150000000,None,135000000,None,355000000,736000000,268000000,None,468000000,None,878000000,1233000000,465000000
2009-09-30,USD,2512000000,3671000000,1159000000,1159000000,967000000,999000000,0,1366000000,None,None,None,156000000,None,14000000,None,367000000,825000000,308000000,None,517000000,None,971000000,1338000000,514000000
2009-12-31,USD,2526000000,3754000000,1228000000,1228000000,1002000000,1018000000,0,1395000000,None,None,None,153000000,None,None,None,377000000,872000000,321000000,None,0,None,1025000000,1402000000,551000000
2010-03-31,USD,3240000000,3965000000,725000000,725000000,988000000,1059000000,0,1672000000,None,None,None,155000000,None,1000000,None,367000000,834000000,318000000,None,516000000,None,989000000,1356000000,516000000
2010-06-30,USD,3384000000,4182000000,798000000,798000000,1279000000,1051000000,0,1541000000,None,None,None,152000000,None,19000000,None,368000000,1146000000,435000000,None,711000000,None,1298000000,1666000000,711000000
2010-09-30,USD,3627000000,4408000000,781000000,781000000,1401000000,1092000000,0,1642000000,None,None,None,153000000,None,25000000,None,372000000,1273000000,495000000,None,778000000,None,1426000000,1798000000,778000000
2010-12-31,USD,2978000000,4410000000,1432000000,1432000000,1313000000,1112000000,0,1492000000,None,None,None,142000000,None,9000000,None,380000000,1180000000,405000000,None,775000000,None,1322000000,1702000000,775000000
2011-03-31,USD,2887000000,4490000000,1603000000,1603000000,1137000000,1167000000,0,1750000000,None,None,None,141000000,None,15000000,None,395000000,1011000000,372000000,None,639000000,None,1137000000,1532000000,639000000
2011-06-30,USD,3155000000,4858000000,1703000000,1703000000,1392000000,1166000000,0,1763000000,None,None,None,148000000,None,26000000,None,401000000,1270000000,485000000,None,785000000,None,1418000000,1819000000,785000000
2011-09-30,USD,3386000000,5101000000,1715000000,1715000000,1578000000,1193000000,0,1808000000,None,None,None,142000000,None,17000000,None,408000000,1453000000,549000000,None,904000000,None,1595000000,2003000000,904000000
2011-12-31,USD,3376000000,5108000000,1732000000,1732000000,1617000000,1155000000,0,2350000000,None,None,None,141000000,None,54000000,None,413000000,1530000000,566000000,None,964000000,None,1671000000,2084000000,964000000
2012-03-31,USD,3364000000,5112000000,1748000000,1748000000,1510000000,1211000000,0,1854000000,None,None,None,135000000,None,16000000,None,427000000,1391000000,528000000,None,863000000,None,1526000000,1953000000,863000000
2012-06-30,USD,3498000000,5221000000,1723000000,1723000000,1724000000,1151000000,0,1774000000,None,None,None,135000000,None,21000000,None,433000000,1610000000,608000000,None,1002000000,None,1745000000,2178000000,1002000000
2012-09-30,USD,3621000000,5343000000,1722000000,1722000000,1786000000,1188000000,0,1835000000,None,None,None,137000000,None,28000000,None,447000000,1677000000,635000000,None,1042000000,None,1814000000,2261000000,1042000000
2012-12-31,USD,1907000000,5250000000,3343000000,3343000000,1725000000,1317000000,0,182000000,None,None,None,128000000,None,43000000,None,453000000,1640000000,604000000,None,1036000000,None,1768000000,2221000000,1036000000
2013-03-31,USD,1870000000,5290000000,3420000000,3420000000,1633000000,1453000000,0,237000000,None,None,None,128000000,None,40000000,None,434000000,1545000000,588000000,None,957000000,None,1673000000,2107000000,957000000
2013-06-30,USD,2097000000,5470000000,3373000000,3373000000,1878000000,1404000000,0,219000000,None,None,None,133000000,None,23000000,None,438000000,1768000000,662000000,None,1106000000,None,1901000000,2339000000,1106000000
2013-09-30,USD,2167000000,5573000000,3406000000,3406000000,1962000000,1401000000,0,205000000,None,None,None,138000000,None,28000000,None,447000000,1852000000,701000000,None,1151000000,None,1962000000,2409000000,1151000000
2013-12-31,USD,2161000000,5630000000,3469000000,3469000000,1973000000,1398000000,0,188000000,None,None,None,127000000,None,37000000,None,458000000,1883000000,709000000,None,1174000000,None,1973000000,2431000000,1174000000
2014-03-31,USD,2080000000,5638000000,3558000000,3558000000,1854000000,1480000000,0,226000000,None,None,None,133000000,None,38000000,None,464000000,1759000000,671000000,None,1088000000,None,1854000000,2318000000,1088000000
2014-06-30,USD,2424000000,6015000000,3591000000,3591000000,2196000000,1474000000,0,228000000,None,None,None,138000000,None,22000000,None,470000000,2080000000,789000000,None,1291000000,None,2196000000,2666000000,1291000000
2014-09-30,USD,2572000000,6182000000,3610000000,3610000000,2330000000,1529000000,0,242000000,None,None,None,144000000,None,20000000,None,481000000,2206000000,836000000,None,1370000000,None,2330000000,2811000000,1370000000
2014-12-31,USD,2601000000,6153000000,3552000000,3552000000,2373000000,1517000000,0,228000000,None,None,None,146000000,None,71000000,None,489000000,2298000000,867000000,None,1431000000,None,2373000000,2862000000,1431000000
2015-03-31,USD,2236000000,5614000000,3378000000,3378000000,1977000000,1628000000,0,259000000,None,None,None,148000000,None,26000000,None,491000000,1855000000,704000000,None,1151000000,None,1977000000,2468000000,1151000000
2015-06-30,USD,2174000000,5429000000,3255000000,3255000000,1949000000,1530000000,0,225000000,None,None,None,153000000,None,142000000,None,497000000,1938000000,734000000,None,1204000000,None,1949000000,2446000000,1204000000
2015-09-30,USD,2413000000,5562000000,3149000000,3149000000,2208000000,1472000000,0,205000000,None,None,None,157000000,None,30000000,None,507000000,2081000000,781000000,None,1300000000,None,2208000000,2715000000,1300000000
2015-12-31,USD,2153000000,5208000000,3055000000,3055000000,1918000000,10715000000,0,235000000,None,None,None,164000000,None,28000000,None,517000000,1782000000,665000000,None,1117000000,None,1918000000,2435000000,1117000000
2016-03-31,USD,1936000000,4829000000,2893000000,2893000000,1687000000,1462000000,0,249000000,None,None,None,167000000,None,46000000,None,502000000,1566000000,587000000,None,979000000,None,1687000000,2189000000,979000000
2016-06-30,USD,1904000000,4770000000,2866000000,2866000000,1660000000,1404000000,0,244000000,None,None,None,173000000,None,77000000,None,504000000,1564000000,585000000,None,979000000,None,1660000000,2164000000,979000000
2016-09-30,USD,2231000000,5174000000,2943000000,2943000000,1960000000,1462000000,0,271000000,None,None,None,184000000,None,29000000,None,512000000,1805000000,674000000,None,1131000000,None,1960000000,2472000000,1131000000
2016-12-31,USD,2198000000,5168000000,2970000000,2970000000,1965000000,10075000000,0,233000000,None,None,None,174000000,None,40000000,None,520000000,1831000000,687000000,None,1144000000,None,1965000000,2485000000,1144000000
2017-03-31,USD,2053000000,5132000000,3079000000,3079000000,1793000000,1517000000,0,260000000,None,None,None,172000000,None,67000000,None,520000000,1688000000,616000000,None,1072000000,None,1788000000,2308000000,1072000000
2017-06-30,USD,2224000000,5250000000,3026000000,3026000000,2005000000,1416000000,0,219000000,None,None,None,179000000,None,43000000,None,525000000,1869000000,701000000,None,1168000000,None,2005000000,2530000000,1168000000
2017-09-30,USD,2242000000,5408000000,3166000000,3166000000,2012000000,1528000000,0,230000000,None,None,None,180000000,None,151000000,None,528000000,1983000000,789000000,None,1194000000,None,2073000000,2601000000,1194000000
2017-12-31,USD,2490000000,5450000000,2960000000,2960000000,2251000000,10393000000,0,239000000,None,None,None,188000000,None,29000000,None,532000000,2092000000,-5186000000,None,7278000000,None,2288000000,2820000000,7278000000
2018-03-31,USD,2205000000,5475000000,3270000000,3270000000,1939000000,1539000000,0,266000000,None,None,None,186000000,None,-42000000,None,543000000,1711000000,401000000,None,1310000000,None,1897000000,2440000000,1310000000
2018-06-30,USD,2347000000,5672000000,3325000000,3325000000,2099000000,1489000000,0,248000000,None,None,None,203000000,None,42000000,None,546000000,1938000000,429000000,None,1509000000,None,2103000000,2649000000,1509000000
2018-09-30,USD,2556000000,5928000000,3372000000,3372000000,2269000000,1549000000,0,287000000,None,None,None,241000000,None,48000000,None,547000000,2076000000,483000000,None,1593000000,None,2272000000,2819000000,1593000000
2018-12-31,USD,2431000000,5757000000,3326000000,3326000000,2210000000,10655000000,0,221000000,None,None,None,240000000,None,46000000,None,555000000,2016000000,462000000,None,1554000000,None,2237000000,2792000000,1554000000
2019-03-31,USD,2265000000,5384000000,3119000000,3119000000,1960000000,1510000000,0,305000000,None,-238000000,9000000,247000000,None,77000000,None,549000000,1790000000,399000000,None,1391000000,None,1968000000,2517000000,1391000000
2019-06-30,USD,2507000000,5596000000,3089000000,3089000000,2260000000,1392000000,None,247000000,None,-253000000,6000000,259000000,None,57000000,None,551000000,2058000000,488000000,None,1570000000,None,2268000000,2819000000,1570000000
