fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2022-03-31,USD,56000000,None,None,None,None,25000000,10000000,None,-47000000,None,-23000000,-33000000,None,None,None,None,None,None,None,None,None,None,None,None,11000000,None,None,180000000
2022-06-30,USD,220000000,None,None,None,None,23000000,10000000,None,-24000000,None,-11000000,-209000000,None,None,None,None,None,None,None,None,None,None,None,None,11000000,None,None,231000000
2022-09-30,USD,257000000,None,None,None,None,21000000,6000000,None,1000000,None,-43000000,-214000000,None,None,None,None,None,None,None,None,None,None,-214000000,None,8000000,None,None,218000000
2022-12-31,USD,337000000,None,None,None,None,21000000,8000000,None,32000000,None,-12000000,-325000000,None,None,None,None,None,None,None,None,None,None,-325000000,None,11000000,None,None,216000000
2023-03-31,USD,156000000,None,None,None,None,22000000,9000000,None,-2000000,None,-9000000,-147000000,None,None,None,None,0,0,None,None,None,None,None,None,9000000,None,None,225000000
2023-06-30,USD,301000000,None,None,None,None,22000000,12000000,None,18000000,None,-10000000,-291000000,None,None,None,None,0,0,None,None,None,None,None,None,13000000,None,None,209000000
2023-09-30,USD,243000000,None,None,None,None,21000000,11000000,None,12000000,None,-14000000,206000000,None,None,None,None,0,0,None,None,None,None,198000000,None,13000000,None,None,205000000
2023-12-31,USD,263000000,None,None,None,None,22000000,22000000,None,24000000,None,-22000000,97000000,None,None,None,None,None,None,None,None,None,None,93000000,None,20000000,None,None,200000000
2024-03-31,USD,115000000,None,None,None,None,21000000,13000000,None,-13000000,None,-23000000,-20000000,None,None,None,None,22000000,22000000,None,None,None,None,None,None,15000000,None,None,184000000
2024-06-30,USD,251000000,None,None,None,None,20000000,11000000,None,-5000000,None,-11000000,-13000000,None,None,None,None,22000000,22000000,None,None,None,None,None,None,20000000,None,None,203000000
2024-09-30,USD,224000000,None,None,None,None,17000000,9000000,None,-8000000,None,-6000000,-16000000,None,None,None,None,23000000,23000000,None,None,None,None,0,None,17000000,None,None,219000000
2024-12-31,USD,285000000,None,None,None,None,20000000,22000000,None,29000000,None,-394000000,-16000000,None,None,None,None,22000000,22000000,None,None,None,None,0,None,13000000,None,None,227000000
2025-03-31,USD,157000000,None,None,None,None,19000000,15000000,None,-20000000,None,-11000000,-26000000,None,None,None,None,27000000,27000000,None,None,None,None,0,None,16000000,None,None,225000000
2025-06-30,USD,339000000,None,None,None,None,19000000,16000000,None,-7000000,None,-40000000,-15000000,None,None,None,None,27000000,27000000,None,None,None,None,None,None,24000000,None,None,222000000
2025-09-30,USD,270000000,None,None,None,None,20000000,12000000,None,-12000000,None,-12000000,-36000000,None,None,None,None,28000000,28000000,None,None,None,None,None,None,21000000,None,None,239000000
2025-12-31,USD,311000000,None,None,None,None,20000000,20000000,None,39000000,None,-35000000,-25000000,None,None,None,None,27000000,27000000,None,None,None,None,None,None,13000000,None,None,254000000
2026-03-31,USD,182000000,None,None,None,None,24000000,12000000,None,-16000000,None,-439000000,-332000000,None,None,None,None,32000000,32000000,None,None,None,None,-300000000,None,16000000,None,None,254000000
