fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-03-31,USD,862438000,514784000,191456000,191456000,128661000,168445000,347654000,161380000,None,38643000,38643000,118214000,None,None,None,26222000,None,449622000,237034000,92807000,None,None,2575000,212588000,None,150000000,None,None,150000000,132778000,None,412816000,-221738000,356307000,662000,97482000
2006-06-30,USD,920449000,569693000,238907000,238907000,139737000,162993000,350756000,164496000,None,38100000,38100000,119270000,None,None,None,12444000,None,466604000,255445000,80555000,None,None,12610000,211159000,None,150000000,None,None,150000000,93750000,None,453845000,-217253000,376974000,662000,98184000
2006-09-30,USD,910261000,566210000,247585000,247585000,135893000,157215000,344051000,160206000,None,37439000,37439000,118698000,None,None,None,25517000,None,448336000,237675000,78752000,None,None,3851000,210661000,None,150000000,None,None,150000000,149137000,None,461925000,-228290000,393739000,662000,98586000
2006-12-31,USD,972842000,547191000,187979000,187979000,145481000,177345000,425651000,178309000,None,44494000,44494000,173251000,None,None,None,36386000,None,502953000,243791000,92624000,None,None,50255000,259162000,None,150000000,None,None,150000000,146676000,None,469889000,-232823000,419603000,662000,97790000
2007-03-31,USD,1022671000,593383000,206479000,206479000,156360000,197825000,429288000,176116000,None,39126000,39126000,177598000,None,None,None,8550000,None,522760000,245929000,99936000,None,None,7237000,276831000,None,150000000,None,None,150000000,76615000,None,499911000,-228676000,441943000,662000,97790000
2007-06-30,USD,1058589000,568843000,141226000,141226000,184605000,201411000,489746000,179644000,None,47754000,47754000,224090000,None,None,None,41601000,None,517245000,244047000,110529000,None,None,15250000,273198000,None,150000000,None,None,150000000,131438000,None,541344000,-229246000,469578000,662000,98588000
2007-09-30,USD,1102762000,596214000,158026000,158026000,185884000,215688000,506548000,181486000,None,47145000,47145000,232876000,None,None,None,36616000,None,517031000,241934000,118383000,None,None,41957000,275097000,None,150000000,None,None,150000000,118993000,None,585731000,-229269000,496343000,662000,98762000
2007-12-31,USD,1158702000,665767000,234689000,234689000,175977000,222235000,492935000,182437000,None,58673000,58673000,232593000,None,None,None,32866000,None,541434000,295235000,137226000,None,None,73000,246199000,None,150177000,None,None,150250000,154311000,None,617268000,-238131000,524538000,662000,98074000
2008-03-31,USD,1177795000,680864000,174833000,174833000,186047000,286350000,496931000,182018000,None,58627000,58627000,236897000,None,None,None,33634000,None,542105000,290586000,130050000,None,None,28344000,251519000,None,150161000,None,None,150161000,143599000,None,635690000,-258040000,556488000,662000,98074000
2008-06-30,USD,1256100000,757484000,241680000,241680000,196331000,284145000,498616000,179156000,None,57710000,57710000,237842000,None,None,None,10857000,None,577449000,325224000,142925000,None,None,7223000,252225000,None,150135000,None,None,150135000,94761000,None,678651000,-256455000,589769000,662000,97310000
2008-09-30,USD,1285211000,744527000,186390000,186390000,223367000,298683000,540684000,184010000,None,56834000,56834000,277033000,None,None,None,11833000,None,600510000,351900000,154808000,None,None,2572000,248610000,None,150121000,None,None,150121000,99832000,None,684701000,-255669000,622454000,662000,97654000
2008-12-31,USD,1507520000,725349000,141805000,141805000,264158000,273560000,782171000,207548000,None,236740000,236740000,319449000,None,None,None,45826000,None,862149000,388051000,162633000,None,None,30381000,474098000,None,356699000,None,None,387080000,195037000,None,645371000,-276421000,653083000,662000,96262000
2009-03-31,USD,1420935000,651598000,98092000,98092000,253329000,259607000,769337000,193329000,None,159921000,159921000,396840000,None,None,None,40570000,None,761512000,311837000,126287000,None,None,30727000,449675000,None,331753000,None,None,362480000,147720000,None,659423000,-279908000,685269000,662000,96262000
2009-06-30,USD,1460184000,665480000,121333000,121333000,249600000,251798000,794704000,194476000,None,160770000,160770000,416650000,None,None,None,42749000,None,756764000,316560000,116689000,None,None,31352000,440204000,None,320535000,None,None,351887000,168519000,None,701949000,-291772000,715624000,662000,96026000
