fiscalDateEnding,reportedEPS
1996-12-31,0.58
1997-12-31,0.73
1998-12-31,0.88
1999-12-31,0.94
2000-12-31,0.64
2001-12-31,0.35
2002-12-31,0.22
2003-12-31,0.27
2004-12-31,0.36
2005-12-31,0.61
2006-12-31,0.89
2007-12-31,1.11
2008-12-31,1.34
2009-12-31,1.22
2010-12-31,1.29
2011-12-31,1.86
2012-12-31,2.6
2013-12-31,3.04
2014-12-31,3.62
2015-12-31,4.1
2016-12-31,3.85
2017-12-31,3.32
2018-12-31,3.84
2019-12-31,4.19
2020-12-31,3.77
2021-12-31,4.27
2022-12-31,4.88
2023-12-31,5.93
2024-12-31,7.53
2025-12-31,8.97
2026-03-31,2.71
