fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-05-31,USD,227066000,None,None,None,None,59116000,76563000,None,-33788000,None,-37683000,-190416000,None,None,None,None,59982000,59982000,None,None,None,None,None,None,12869000,None,None,145990000
2007-05-31,USD,180431000,None,None,None,None,61469000,57691000,None,19588000,None,-95570000,-102800000,None,None,None,None,59018000,59018000,None,None,None,None,-76617000,None,3480000,None,None,113905000
2008-05-31,USD,180521000,None,None,None,None,63413000,47520000,None,-144474000,None,-70756000,-74270000,None,None,None,None,55587000,55587000,None,None,None,None,-125785000,None,4173000,None,None,107077000
2009-05-31,USD,271146000,None,None,None,None,64073000,64154000,None,329892000,None,-70065000,-218534000,None,None,None,None,53686000,53686000,None,None,None,None,-12402000,None,5767000,None,None,-108214000
2010-05-31,USD,110419000,None,None,None,None,64653000,34319000,None,-64499000,None,-81950000,-25772000,None,None,None,None,36199000,36199000,None,None,None,None,146942000,None,4570000,None,None,45241000
2011-05-31,USD,71895000,None,None,None,None,61058000,22025000,-96056000,-24261000,None,-39277000,-35467000,None,None,None,None,41160000,41160000,None,None,None,None,-132764000,None,6173000,-2849000,None,124034000
2012-05-31,USD,173649000,None,None,None,None,55873000,31713000,956000,17310000,None,-188596000,-192000,None,None,None,None,32138000,32138000,None,None,None,None,-73418000,None,11742000,-15139000,None,125353000
2013-05-31,USD,272977000,None,None,None,None,66469000,44588000,18801000,77115000,None,-201976000,-60644000,None,None,None,None,44144000,44144000,None,None,None,None,-30417000,None,13270000,10357000,None,136835000
2014-05-31,USD,229046000,None,None,None,None,79730000,71338000,-49206000,-38010000,None,-46194000,-44158000,None,None,None,None,31198000,31198000,None,None,None,None,-128218000,None,22017000,138694000,None,160152000
2015-05-31,USD,214375000,None,None,None,None,85089000,96255000,32011000,54108000,None,-203069000,-170318000,None,None,None,None,46434000,46434000,None,None,None,None,-127360000,None,17916000,-159012000,None,87256000
2016-05-31,USD,413384000,None,None,None,None,84699000,97036000,66117000,66351000,None,-127040000,-233223000,None,None,None,None,47193000,47193000,None,None,None,None,-99847000,None,15836000,53121000,None,157628000
2017-05-31,USD,335672000,None,None,None,None,86793000,68386000,-39927000,-34599000,None,-62964000,-78815000,None,None,None,None,50716000,50716000,None,None,None,None,-9075000,None,14349000,193893000,None,217937000
2018-05-31,USD,281345000,None,None,None,None,103359000,76088000,-53066000,-84654000,None,-337405000,-100054000,None,None,None,None,51359000,51359000,None,None,None,None,-206387000,None,13758000,-156114000,None,200850000
2019-05-31,USD,197859000,None,None,None,None,95602000,84499000,73346000,-33649000,None,11475000,-238938000,None,None,None,None,52334000,52334000,None,None,None,None,-174484000,None,11733000,-29604000,None,163273000
2020-05-31,USD,336726000,None,None,None,None,92678000,95503000,147225000,62126000,None,-116215000,-165676000,None,None,None,None,53289000,53289000,None,None,None,None,-57485000,None,11883000,54835000,None,84444000
2021-05-31,USD,274379000,None,None,None,None,87654000,82178000,-223254000,-169740000,None,468510000,-249776000,None,None,None,None,52991000,52991000,None,None,None,None,-192054000,None,19129000,493113000,None,741450000
2022-05-31,USD,70112000,None,None,None,None,98827000,94600000,-151328000,-118490000,None,-438188000,-237750000,None,None,None,None,57223000,57223000,None,None,None,None,-186528000,None,16100000,-605826000,None,399264000
2023-05-31,USD,625364000,None,None,None,None,112800000,86366000,None,160116000,None,-71776000,-133127000,None,None,None,None,59244000,59244000,None,None,None,None,-1780000,None,19178000,None,None,269170000
2024-05-31,USD,289976000,None,None,None,None,80704000,83527000,None,63596000,None,-140808000,-359889000,None,None,None,None,56819000,56819000,None,None,None,None,-11399000,None,16688000,None,None,117821000
2025-05-31,USD,209744000,None,None,None,None,48262000,50580000,None,11500000,None,-135101000,-68793000,None,None,None,None,33903000,33903000,None,None,None,None,-30883000,None,16186000,None,None,96053000
