fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2015-09-30,USD,1096,None,None,None,None,None,0,None,None,None,-500001096,501750000,None,None,None,None,None,None,None,None,None,None,501750000,None,None,1750000,None,-14793
2015-12-31,USD,6066,None,None,None,None,None,0,None,None,None,-88586,-659619,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-6015
2016-03-31,USD,-48622,None,None,None,None,3540000,7100500,None,920500,None,-230730,-13415000,None,None,None,None,None,None,None,None,None,None,None,None,None,-279352,None,-46744
2016-06-30,USD,35261,None,None,None,None,3540000,7100500,None,920500,None,-268755,-13415000,None,None,None,None,None,None,None,None,None,None,None,None,None,-233494,None,141204
2016-09-30,USD,178726,None,None,None,None,3537000,13735000,None,-198000,None,-328312,-29220000,None,None,None,None,None,None,None,None,None,None,None,None,None,-149586,None,190936
2016-12-31,USD,266064,None,None,None,None,-1598000,16858000,None,-1093000,None,-423430,24656000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,None,277264
2017-03-31,USD,345370,None,None,None,None,26335000,25600000,None,304000,None,-526144,89947000,None,None,None,None,0,0,None,None,None,None,0,None,None,-180774,None,194728
2017-06-30,USD,581224,None,None,None,None,26740000,30638000,None,306000,None,-796023,-3102000,None,None,None,None,0,0,None,None,None,None,0,None,None,15201,None,-75467
2017-09-30,USD,984479,None,None,None,None,27822000,28976000,None,138000,None,1834523,-2828166,None,None,None,None,0,0,None,None,None,None,-2978166,None,300000,-9164,None,116321
2017-12-31,USD,-3273073,None,None,None,None,107876000,4446000,None,682000,None,-393162356,399431166,None,None,None,None,0,0,None,None,None,None,0,None,2970000,None,None,-150047582
2018-03-31,USD,4782000,None,None,None,None,26304000,33084000,-737000,-20000,None,-48439000,37260000,None,None,None,None,0,0,None,None,None,None,0,None,121000,-6324000,73000,-6835000
2018-06-30,USD,14018000,None,None,None,None,25637000,33295000,-10887000,462000,None,-29232000,20703000,None,None,None,None,0,0,None,None,None,None,0,None,1054000,5320000,-169000,379000
2018-09-30,USD,-3220000,None,None,None,None,39646000,48217000,-14605000,-995000,None,-1098797000,1103443000,None,None,None,None,None,None,None,None,None,None,147200000,None,1050000,1590000,164000,-36729000
2018-12-31,USD,21569000,None,None,None,None,44880000,50909000,-10223000,-688000,None,-40734000,18631000,None,None,None,None,None,None,None,None,None,None,1000,None,1214000,-813000,-279000,-10387000
2019-03-31,USD,15256000,None,None,None,None,44873000,53502000,-26471000,-1185000,None,-41814000,30294000,None,None,None,None,None,None,None,None,None,None,-654000,None,1290000,3736000,None,-11161000
2019-06-30,USD,44798000,None,None,None,None,47604000,63485000,-17713000,2224000,None,-43199000,-8943000,None,None,None,None,None,None,None,None,None,None,None,None,1901000,-7344000,None,-11775000
2019-09-30,USD,39022000,None,None,None,None,48235000,50490000,-20201000,-755000,None,-37761000,-2724000,None,None,None,None,None,None,None,None,None,None,194000,None,1812000,-1463000,None,762000
