fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2009-12-31,USD,370000000,None,None,None,None,70000000,62000000,None,62000000,None,-84000000,-292000000,None,None,None,None,None,None,None,None,None,None,None,None,9000000,None,None,263000000
2010-12-31,USD,395000000,None,None,None,None,92000000,94000000,None,7000000,None,-1093000000,745000000,None,None,None,None,None,None,None,None,None,None,None,None,9000000,None,None,329000000
2011-12-31,USD,449000000,None,None,None,None,137000000,126000000,-61000000,-18000000,None,-423000000,172000000,None,None,None,None,19000000,19000000,None,None,None,None,1000000,None,13000000,187000000,-11000000,279000000
2012-12-31,USD,396000000,None,None,None,None,142000000,112000000,2000000,5000000,None,-147000000,-74000000,None,None,None,None,75000000,75000000,None,None,None,None,-13000000,None,22000000,186000000,11000000,297000000
2013-12-31,USD,324000000,None,None,None,None,150000000,126000000,-47000000,-39000000,None,-199000000,-100000000,None,None,None,None,87000000,87000000,None,None,None,None,-73000000,None,27000000,29000000,4000000,228000000
2014-12-31,USD,416000000,None,None,None,None,142000000,119000000,-37000000,-49000000,None,-86000000,-147000000,None,None,None,None,94000000,94000000,None,None,None,None,-134000000,None,18000000,130000000,-53000000,337000000
2015-12-31,USD,464000000,None,None,None,None,133000000,117000000,-24000000,23000000,None,-132000000,-262000000,None,None,None,None,102000000,102000000,None,None,None,None,-179000000,None,15000000,17000000,-53000000,340000000
2016-12-31,USD,497000000,None,None,None,None,151000000,124000000,-6000000,-15000000,None,-1886000000,1034000000,None,None,None,None,112000000,112000000,None,None,None,None,-4000000,None,18000000,-372000000,-17000000,260000000
2017-12-31,USD,686000000,None,None,None,None,234000000,170000000,-79000000,27000000,None,-181000000,-421000000,None,None,None,None,130000000,130000000,None,None,None,None,-25000000,None,21000000,106000000,22000000,330000000
2018-12-31,USD,586000000,None,None,None,None,261000000,237000000,-103000000,-97000000,None,-643000000,-40000000,None,None,None,None,152000000,152000000,None,None,None,None,-59000000,None,30000000,-118000000,-21000000,549000000
2019-12-31,USD,839000000,None,None,None,None,257000000,226000000,-23000000,47000000,None,-231000000,-177000000,None,None,None,None,174000000,174000000,None,None,None,None,-40000000,None,29000000,428000000,-3000000,401000000
2020-12-31,USD,824000000,None,None,None,None,251000000,183000000,109000000,-5000000,None,-169000000,473000000,None,None,None,None,188000000,188000000,None,None,None,None,-61000000,None,26000000,1151000000,23000000,254000000
2021-12-31,USD,538000000,None,None,None,None,245000000,208000000,-70000000,-167000000,None,-183000000,-855000000,None,None,None,None,203000000,203000000,None,None,None,None,-68000000,None,33000000,-526000000,-26000000,427000000
2022-12-31,USD,596000000,None,None,None,None,236000000,208000000,-192000000,-147000000,None,-191000000,-790000000,None,None,None,None,217000000,217000000,None,None,None,None,-52000000,None,37000000,-385000000,None,355000000
2023-12-31,USD,837000000,None,None,None,None,436000000,271000000,None,41000000,None,-628000000,-157000000,None,None,None,None,299000000,299000000,None,None,None,None,-25000000,None,60000000,None,None,609000000
2024-12-31,USD,1263000000,None,None,None,None,562000000,321000000,None,-41000000,None,-482000000,-615000000,None,None,None,None,350000000,350000000,None,None,None,None,-20000000,None,56000000,None,None,890000000
2025-12-31,USD,1241000000,None,None,None,None,575000000,331000000,None,23000000,None,-471000000,-501000000,None,None,None,None,391000000,391000000,None,None,None,None,-15000000,None,53000000,None,None,950000000
