fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,8613219000,486022000,281264000,281264000,31359000,29368000,8127197000,3218124000,None,1820876000,1820876000,2189767000,None,None,22986000,152404000,None,4224712000,569629000,187634000,None,None,253907000,3655083000,None,3289109000,None,None,253907000,41319000,None,4384916000,-404093000,-2733920000,4378000,436217003
2007-12-31,USD,8130457000,245674000,33123000,33123000,None,40316000,7884783000,3045186000,None,1686434000,1686434000,2188312000,None,None,7224000,165011000,None,5105023000,317378000,175464000,None,None,1817000,4787645000,None,4283467000,None,None,4285284000,33702000,None,3022092000,-2047818000,-2703373000,4527000,426079003
2008-12-31,USD,8211665000,473680000,143077000,143077000,None,51313000,7737985000,3022636000,None,1566155000,1566155000,2186233000,None,None,2028000,277262000,None,5214029000,302645000,151985000,None,None,3674000,4911384000,None,4331309000,None,None,4333146000,26798000,None,2991322000,-2746429000,-2356127000,4685000,418357003
2009-12-31,USD,8512668000,651356000,247293000,247293000,0,67949000,7861312000,3175511000,None,1598633000,1598633000,2237850000,None,None,9776000,330078000,None,5194543000,391244000,185138000,None,None,70521000,4803299000,None,4141060000,None,None,4211581000,23538000,None,3315082000,-2961177000,-2109532000,4797000,406948003
2010-12-31,USD,10368014000,1404174000,883963000,883963000,-2693000,80961000,8963840000,3623835000,None,1985352000,1985352000,2490295000,None,None,46428000,392822000,None,6863456000,542195000,292543000,None,None,74896000,6321261000,None,5512492000,None,None,5587388000,40621000,808769000,3501444000,-3381966000,-1736596000,4860000,404072003
2011-12-31,USD,12232430000,775155000,330191000,330191000,0,181886000,11389659000,4883473000,None,2351955000,2351955000,2805267000,None,None,22270000,240808000,None,8822288000,779591000,215931000,None,None,203632000,8042697000,None,7134492000,None,None,7236308000,269451000,None,3283443000,0,-1481676000,3936000,400195003
2012-12-31,USD,14089129000,829528000,368618000,368618000,95070000,198593000,13259601000,5789995000,None,3115053000,3115053000,2912046000,None,None,6018000,263038000,None,10404948000,632178000,89578000,None,None,60031000,9772770000,None,8693345000,None,None,8753376000,321608000,1079425000,3573101000,-62728000,-1196907000,3959000,399287003
2013-12-31,USD,20272571000,986087000,293576000,293576000,175317000,253593000,19319915000,7262175000,None,6701459000,6701459000,3729901000,None,None,18612000,420306000,None,16682531000,924758000,172938000,None,None,70132000,15757773000,None,14408146000,None,None,14478278000,472985000,1349627000,3534165000,-207740000,-1081467000,3976000,399146003
2014-12-31,USD,21331545000,947968000,313492000,313492000,174838000,247654000,20383577000,7626817000,None,6889331000,6889331000,4017082000,None,6302000,6302000,390419000,None,17278193000,1929692000,90366000,None,None,897386000,15348501000,None,13711084000,897386000,None,14608708000,646759000,1637417000,3953560000,-207740000,-837320000,3995000,400086003
2015-12-31,USD,26904272000,996468000,320686000,320686000,142193000,261527000,25907804000,9866424000,None,9837876000,9837876000,4091805000,None,None,142193000,384016000,None,20191454000,1200029000,96714000,None,None,50202000,18991425000,None,17068807000,50202000,None,17119009000,766285000,1922618000,6651679000,-207740000,-998535000,4267000,423015003
2016-12-31,USD,30879150000,1689870000,787161000,787161000,149281000,366100000,29189280000,10517258000,None,11274611000,11274611000,5070680000,None,4000000,4026000,501000000,None,22811730000,1631269000,118700000,None,None,238806000,21180461000,None,18294659000,238806000,None,18533465000,878488000,2108230000,6763895000,-207740000,-1076965000,4299000,429283003
2017-12-31,USD,33214300000,2038100000,802100000,802100000,152800000,621500000,31176200000,11101000000,None,11783300000,11783300000,5638400000,None,1000000,1000000,549300000,None,25260000000,2512100000,142900000,None,None,774800000,22747900000,None,19430300000,774800000,None,20205100000,1130600000,2419500000,6241500000,-974000000,-1058100000,4400000,431688003
