fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2005-12-31,USD,235265000,359187000,123922000,123922000,81598000,13136000,0,78863000,None,None,None,77204000,None,None,None,66353000,438292000,284283000,None,0,None,156402000,222755000,153891000
2006-03-31,USD,232013000,356104000,124091000,124091000,75240000,14642000,0,81956000,None,None,None,76509000,None,None,None,66847000,86122000,82320000,None,0,None,149321000,216168000,67737000
2006-06-30,USD,247347000,370349000,123002000,123002000,53733000,15796000,0,115165000,None,None,None,79753000,None,None,None,67912000,635035000,-493549000,None,0,None,128335000,196247000,625731000
2006-09-30,USD,246967000,372460000,125493000,125493000,88901000,12739000,0,84495000,None,None,None,70575000,None,None,None,71548000,106790000,54510000,None,0,None,158477000,230025000,107962000
2006-12-31,USD,253907000,378673000,124766000,124766000,95823000,16198000,0,86661000,None,None,None,71423000,None,None,None,70452000,873635000,801430000,None,0,None,167246000,237698000,72642000
2007-03-31,USD,244106000,363695000,119589000,119589000,82172000,16808000,0,88008000,None,None,None,78234000,None,None,None,71086000,701378000,-698209000,None,0,None,35631000,106717000,854307000
2007-06-30,USD,255087000,375128000,120041000,120041000,90432000,16291000,0,90912000,None,None,None,73743000,None,None,None,74621000,106209000,61831000,None,0,None,162586000,237207000,102344000
2007-09-30,USD,251092000,371507000,120415000,120415000,86663000,20189000,0,94500000,None,None,None,69929000,None,None,None,71616000,255158000,-85778000,None,0,None,155003000,226619000,242370000
2007-12-31,USD,248399000,371959000,123560000,123560000,94201000,16594000,0,85909000,None,None,None,78708000,None,None,None,71655000,1324690000,1199021000,None,0,None,162490000,234145000,124218000
2008-03-31,USD,246929000,370559000,123630000,123630000,148882000,16808000,0,221677000,None,None,None,72496000,None,None,None,74671000,168907000,-63209000,None,0,None,5227000,79898000,88461000
