fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2005-12-31,USD,259828000,None,None,None,None,94220000,236489000,None,-37980000,None,-267225000,-92560000,None,None,None,None,257716000,257716000,None,None,None,None,-30000000,None,None,None,None,119961000
2006-03-31,USD,190469000,None,None,None,None,94181000,176050000,None,None,None,-165068000,260025000,None,None,None,None,127470000,127470000,None,None,None,None,None,None,None,None,None,149212000
2006-06-30,USD,168772000,None,None,None,None,106172000,161593000,None,None,None,-347856000,93544000,None,None,None,None,127693000,127693000,None,None,None,None,None,None,None,None,None,163169000
2006-09-30,USD,127597000,None,None,None,None,102516000,425170000,None,None,None,-256390000,21285000,None,None,None,None,127938000,127938000,None,None,None,None,-45000000,None,-27685000,None,None,127983000
2006-12-31,USD,337830000,None,None,None,None,110293000,957832000,None,48222000,None,-1147196000,2655801000,None,None,None,None,211803000,211803000,None,None,None,None,45000000,None,None,None,None,119776000
2007-03-31,USD,81263000,None,None,None,None,112956000,966296000,None,None,None,-1305696000,1875790000,None,None,None,None,143161000,143161000,None,None,None,None,None,None,None,None,None,166931000
2007-06-30,USD,218175000,None,None,None,None,136303000,1836049000,None,None,None,-1860875000,-498468000,None,None,None,None,143427000,143427000,None,None,None,None,None,None,-68145000,None,None,165920000
2007-09-30,USD,187655000,None,None,None,None,143319000,314147000,None,None,None,101014000,-197901000,None,None,None,None,143620000,143620000,None,None,None,None,None,None,-27193000,None,None,130841000
2007-12-31,USD,210232000,None,None,None,None,70057000,3116492000,None,-148727000,None,-2147000,112236000,None,None,None,None,151747000,151747000,None,None,None,None,None,None,-43396000,None,None,105214000
2008-03-31,USD,221575000,None,None,None,None,156955000,57471000,None,None,None,-2404000,167308000,None,None,None,None,152322000,152322000,None,None,None,None,None,None,-166567000,None,None,412197000
2008-06-30,USD,231941000,None,None,None,None,134734000,40557000,None,None,None,37567000,-98550000,None,None,None,None,152723000,152723000,None,None,None,None,None,None,None,None,None,139660000
2008-09-30,USD,194093000,None,None,None,None,145878000,182990000,None,None,None,-173726000,-203387000,None,None,None,None,152965000,152965000,None,None,None,None,None,None,None,None,None,45701000
2008-12-31,USD,170203000,None,None,None,None,139771000,576455000,None,-96249000,None,-314668000,142306000,None,None,None,None,161083000,161083000,None,None,None,None,None,None,-31198000,None,None,-202515000
2009-03-31,USD,169812000,None,None,None,None,136178000,171445000,None,None,None,-178426000,107211000,None,None,None,None,73384000,73384000,None,None,None,None,-24330000,None,None,None,None,156431000
2009-06-30,USD,209627000,None,None,None,None,141628000,180429000,None,None,None,-40884000,274305000,None,None,None,None,81330000,81330000,None,None,None,None,-1000,None,None,None,None,-40375000
2009-09-30,USD,110048000,None,None,None,None,135891000,178762000,None,0,None,141510000,239955000,None,None,None,None,82182000,82182000,None,None,None,None,1000,None,None,None,None,155844000
