fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-12-31,USD,418449000,418449000,148960000,148960000,125422000,26136000,None,154552000,None,None,None,136544000,None,None,None,119653000,130583000,132467000,None,None,None,279389000,399042000,131430000
2007-12-31,USD,573666000,771791000,198125000,198125000,126324000,36425000,None,246118000,None,None,None,204218000,None,None,None,237501000,120351000,-28042000,None,None,None,312096000,549597000,282318000
2008-12-31,USD,622822000,929766000,306944000,306944000,145285000,36425000,None,274353000,None,None,None,203184000,None,None,None,235719000,145285000,-15885000,None,None,None,348469000,584188000,226288000
2009-12-31,USD,628762000,931575000,302813000,302813000,208123000,38830000,0,244491000,None,None,None,176990000,None,None,None,207611000,194266000,-1719000,None,None,None,371256000,578867000,266495000
2010-12-31,USD,691396000,1016867000,325471000,325471000,52215000,49830000,None,265221000,None,None,None,178863000,None,-10727000,None,214707000,227133000,5201000,None,221932000,None,394788000,609495000,246167000
2011-12-31,USD,1086348000,1764991000,678643000,678643000,51169000,74537000,0,365125000,None,None,None,236807000,None,None,None,459704000,330441000,-31137000,None,None,None,541057000,1000761000,364493000
2012-12-31,USD,1506074000,2485299000,979225000,979225000,693639000,98801000,0,824782000,None,None,None,293401000,None,-19486000,None,724832000,298266000,-6282000,None,304548000,None,693639000,1418471000,362800000
2013-12-31,USD,1692106000,2810053000,1117947000,1117947000,835801000,115106000,0,837065000,None,None,None,334484000,None,-1201000,None,753136000,478482000,-11828000,None,490310000,None,835801000,1588937000,453509000
2014-12-31,USD,1863556000,3075746000,1212190000,1212190000,875835000,121746000,0,948657000,None,None,None,376842000,None,-65000000,None,828155000,448378000,-8732000,None,457110000,None,875835000,1703990000,475767000
2015-12-31,USD,1876193000,3286398000,1410205000,1410205000,834724000,128035000,0,1022092000,None,None,368534000,367114000,None,-14411000,None,979111000,350255000,-39284000,None,389539000,None,834724000,1813835000,417843000
2016-12-31,USD,2001449000,3443522000,1442073000,1442073000,556786000,126875000,0.15,1025799000,None,-418864000,876000,419740000,None,-2779000,None,2442660000,522866000,-31343000,None,554209000,None,-492570000,1950090000,649231000
2017-12-31,USD,2087686000,3574149000,1486463000,1486463000,622086000,135490000,0.36,1023438000,None,-442162000,6034000,448196000,None,754000,None,2497053000,584150000,-59799000,None,643949000,None,-549412000,1947641000,1356470000
2018-12-31,USD,2054512000,3745810000,1691298000,1691298000,861089000,151982000,0.10,1071621000,None,-417605000,24892000,442497000,None,104501000,None,2800187000,376038000,-39953000,None,415991000,None,-1000573000,1799614000,409467000
2019-12-31,USD,2062223000,3872750000,1810527000,1810527000,857877000,165996000,0.10,1204346000,None,-440678000,10984000,451662000,None,50313000,None,1068605000,382987000,-56310000,None,439297000,None,834649000,1903254000,433016000
2020-12-31,USD,1855599000,3795357000,1939758000,1939758000,591440000,130158000,0.09,1264159000,None,-461932000,7609000,469541000,None,273009000,None,1130482000,344651000,-96534000,None,441185000,None,814192000,1944674000,439149000
2021-12-31,USD,1739510000,3828007000,2088497000,2088497000,421431000,129758000,0.02,1318079000,None,-440089000,435106000,440089000,None,278087000,None,1215112000,61386000,4827000,None,56559000,None,501475000,1716587000,49008000
2022-12-31,USD,1846275000,4129193000,2282918000,2282918000,483846000,144874000,0.01,1362429000,None,-467557000,439057000,467557000,None,8361000,None,1210755000,-57857000,-16926000,None,-40931000,None,409700000,1620455000,-47447000
2023-12-31,USD,1936581000,4497827000,2561246000,2561246000,415514000,148876000,0.02,1521067000,None,-574112000,560486000,574112000,None,None,None,1414877000,-39836000,-9539000,None,-30297000,None,534276000,1949153000,-40973000
2024-12-31,USD,2097197000,4924266000,2827069000,2827069000,681230000,162990000,None,1415967000,None,-602835000,613214000,602835000,None,None,None,1283286000,50576000,-37775000,None,88351000,None,653411000,1936697000,81153000
2025-12-31,USD,-344216000,5833980000,6178196000,6178196000,826812000,177400000,None,-1171028000,None,-612246000,607778000,612246000,None,None,None,1379140000,247368000,-14150000,None,261518000,None,859614000,2238754000,251381000
