fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-05-31,USD,1501000,None,None,None,None,340000,149000,None,-37000,None,2479000,514000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,810000
2007-05-31,USD,-1109000,None,None,None,None,323000,1103000,None,-2454000,None,-2494000,766000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2428000
2008-05-31,USD,3624000,None,None,None,None,474000,1056000,None,-492000,None,1932000,2343000,None,None,None,None,None,None,None,None,None,None,None,None,3000,None,None,10573000
2009-05-31,USD,-11036000,None,None,None,None,644000,1113000,None,5721000,None,-1113000,503000,None,None,None,None,None,None,None,None,None,None,None,None,1270000,None,None,-29971000
2010-05-31,USD,3247000,None,None,None,None,690000,69000,None,837000,None,-69000,176000,None,None,None,None,None,None,None,None,None,None,None,None,1733000,None,None,-481000
2011-05-31,USD,-4142000,None,None,None,None,573000,15000,None,-1322000,None,-15000,343000,None,None,None,None,None,None,None,None,None,None,None,None,947000,None,None,-3373000
2012-05-31,USD,-4875000,None,None,None,None,491000,45000,-1285000,-1114000,None,1330000,1576000,None,None,None,None,0,0,None,None,None,None,168000,None,709000,-1947000,22000,-3389000
2013-05-31,USD,-310000,None,None,None,None,322000,127000,-206000,702000,None,-127000,1065000,None,None,None,None,0,0,None,None,None,None,234000,None,601000,251000,-377000,-3419000
2014-05-31,USD,-607000,None,None,None,None,141000,339000,-720000,-740000,None,-289000,391000,None,None,None,None,0,0,None,None,None,None,715000,None,829000,-515000,-10000,422000
2015-05-31,USD,-2256000,None,None,None,None,135000,118000,1774000,-1008000,None,-118000,6412000,None,None,None,None,0,0,None,None,None,None,855000,None,997000,3718000,-320000,-6647000
2016-05-31,USD,-6281000,None,None,None,None,203000,919000,887000,70000,None,-919000,2506000,None,None,None,None,0,0,None,None,None,None,512000,None,1016000,-4588000,106000,-6785000
2017-05-31,USD,-4495000,None,None,None,None,271000,477000,-3507000,430000,None,-477000,21835000,None,None,None,None,0,0,None,None,None,None,6003000,None,999000,16864000,1000,-5653000
2018-05-31,USD,-1351000,None,None,None,None,417000,572000,1260000,-2073000,None,-572000,925000,None,None,None,None,0,0,None,None,None,None,925000,None,996000,-955000,43000,528000
2019-05-31,USD,-5637000,None,None,None,None,431000,173000,-2043000,-112000,None,-173000,-5551000,None,None,None,None,None,None,None,None,None,None,559000,None,905000,-11420000,-59000,-5235000
2020-05-31,USD,-2024000,None,None,None,None,384000,163000,1161000,1164000,None,-163000,2172000,None,None,None,None,1679000,1679000,None,None,None,None,-10000,None,910000,5000,20000,-2802000
2021-05-31,USD,-2701000,None,None,None,None,310000,227000,-1373000,-972000,None,-227000,1960000,None,None,None,None,1400000,1400000,None,None,None,None,-20000,None,1101000,-851000,117000,-2027000
2022-05-31,USD,1508000,None,None,None,None,307000,416000,None,-6674000,None,-416000,25761000,None,None,None,None,1400000,1400000,None,None,None,None,-429000,None,3006000,None,None,9450000
2023-05-31,USD,10011000,None,None,None,None,450000,1362000,None,-9469000,None,-18656000,7322000,None,None,None,None,None,None,None,None,None,None,-2060000,None,2748000,None,None,14557000
2024-05-31,USD,1756000,None,None,None,None,1363000,749000,None,-13732000,None,17251000,139000,None,None,None,None,None,None,None,None,None,None,-1596000,None,2518000,None,None,33156000
2025-05-31,USD,-7400000,None,None,None,None,3388000,4992000,None,-2441000,None,-16067000,625000,None,None,None,None,None,None,None,None,None,None,-784000,None,5162000,None,None,-3910000
