fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,1247932000,374673000,80595000,80595000,None,86232000,873259000,86623000,None,58683000,58683000,239580000,None,None,189246000,18600000,None,293239000,89264000,22630000,None,None,None,203975000,None,200000000,None,None,200000000,59903000,None,954693000,None,-3193833000,1603000,176766999
2007-12-31,USD,1656047000,695042000,145078000,145078000,None,118944000,961005000,134546000,None,87500000,87500000,361637000,None,None,401091000,29929000,None,297495000,88375000,18540000,None,None,52919000,209120000,None,199855000,None,None,199855000,56840000,None,1358552000,None,-3092866000,1662000,185093999
2008-12-31,USD,1880951000,501909000,156074000,156074000,None,139612000,1379042000,174483000,None,92995000,92995000,441258000,None,None,174557000,31666000,None,312181000,100456000,21165000,None,None,59464000,211725000,None,199855000,None,None,199855000,67785000,None,1568770000,None,-2947728000,1694000,186684999
2009-12-31,USD,2107270000,761173000,181305000,181305000,602000,154269000,1326337000,182404000,None,76273000,76273000,441347000,None,494743000,384834000,40163000,None,348788000,127538000,23997000,None,None,199755000,221250000,None,0,None,None,199755000,69357000,18818000,1758482000,-66301000,-2801815000,1746000,188657999
2010-12-31,USD,2352676000,858467000,231866000,231866000,0,175366000,1494209000,255929000,None,62456000,62456000,452914000,None,636531000,375005000,76230000,None,175071000,145151000,26375000,None,None,69863000,29920000,None,0,None,None,199755000,94968000,26278000,2177605000,-158261000,-2630595000,1924000,190649999
2011-12-31,USD,2345501000,1122020000,559197000,559197000,0,210936000,1223481000,293043000,None,45386000,45386000,452914000,None,380729000,290029000,61858000,None,189251000,148392000,38247000,None,None,64027000,40859000,None,0,None,None,None,88801000,38389000,2156250000,-482994000,-2429691000,1959000,187555999
2012-12-31,USD,2600627000,728384000,201989000,201989000,20422000,218777000,1872243000,345091000,None,84554000,84554000,723701000,None,None,235592000,72026000,None,254873000,202944000,43291000,None,None,106796000,51929000,None,0,None,None,None,133362000,None,2345754000,-624462000,-2225702000,2015000,181748999
2013-12-31,USD,2957685000,1029714000,333891000,333891000,21734000,271988000,1927971000,450287000,None,77429000,77429000,757368000,None,573026000,340005000,83830000,None,328254000,263166000,73710000,None,None,113433000,65088000,None,0,None,None,None,120001000,57152000,2629431000,0,-1932215000,1808000,181782999
2014-12-31,USD,4001546000,1262555000,238650000,238650000,45704000,329578000,2738991000,601591000,None,132412000,132412000,1051294000,None,882492000,519642000,174685000,None,1056211000,334011000,77412000,None,None,155007000,722200000,None,604851000,604851000,None,604851000,166509000,None,2945335000,0,-1598267000,1783000,181185999
2015-12-31,USD,4187925000,1253188000,289473000,289473000,0,380399000,2934737000,753180000,None,156095000,156095000,1150244000,None,774674000,460088000,123228000,None,1067047000,332440000,61982000,None,None,216166000,734607000,None,624288000,618047000,None,840454000,138000,93268000,3120878000,0,-1276861000,1772000,180414999
2016-12-31,USD,4373146000,1309917000,324169000,324169000,1,368596000,3063229000,801017000,None,149463000,149463000,1228503000,None,779311000,512849000,104303000,None,1148776000,374588000,76120000,None,None,238777000,774188000,None,640087000,640087000,None,878864000,6719000,118691000,3224370000,0,-960729000,1733000,176214999
2017-12-31,USD,4602844000,1308872000,313382000,313382000,0,459127000,3293972000,862535000,None,201259000,201259000,1498688000,None,567592000,398554000,137809000,None,1292121000,463904000,80278000,None,None,283743000,828217000,None,662913000,662913000,None,946656000,22178000,142955000,3310723000,0,-742408000,1699000,172710999
2018-12-31,USD,5461770000,2535354000,1036455000,1036455000,1,479889000,2926416000,910618000,None,168348000,168348000,1487404000,None,209066000,855650000,163360000,None,2269910000,1210709000,99089000,None,None,686552000,1059201000,None,874080000,686552000,None,1560632000,296407000,165497000,3191860000,None,-430890000,1629000,169188000
2019-12-31,USD,7006886000,2231613000,393745000,393745000,1,551943000,4775273000,1152153000,None,179431000,179431000,1600265000,None,835384000,1143249000,142676000,None,3348928000,693336000,138946000,None,None,139463000,2655592000,831644000,1839791000,None,None,2671435000,272463000,786614000,3657958000,None,47996000,1620000,164573000
2020-12-31,USD,7764130000,1929531000,352917000,352917000,None,660052000,5834599000,1478272000,None,234724000,234724000,1674371000,None,1398802000,745156000,171406000,None,3512834000,758170000,118546000,None,None,154801000,2754664000,870205000,1906707000,None,None,2776912000,322021000,810499000,4251296000,None,605050000,1627000,165213000
2021-12-31,USD,8138673000,1920434000,536725000,536725000,1,675926000,6365404000,2350083000,None,313225000,313225000,2156254000,None,1088048000,541470000,166313000,None,3608659000,790341000,109928000,None,None,175683000,2818318000,882770000,1976167000,None,None,2858937000,311384000,68748000,4530014000,None,1256692000,1605000,165804000
2022-12-31,USD,8303400000,1969562000,542337000,542337000,1,679206000,6333838000,2353554000,None,441716000,441716000,2763838000,None,320531000,562979000,185040000,None,3943213000,818868000,145420000,None,None,196094000,3124345000,889359000,2285258000,None,None,3174617000,265075000,105305000,4360187000,None,1920351000,1565000,160467000
2023-12-31,USD,9900037000,1804855000,489468000,489468000,1,724302000,8095182000,None,None,536143000,536143000,2850470000,None,1431354000,374971000,216114000,None,5302882000,836038000,146927000,None,None,222944000,4466844000,997750000,3538229000,None,None,4535979000,250336000,106181000,4597155000,None,2467980000,1512000,155397000
2024-12-31,USD,10368785000,2578097000,517707000,517707000,None,727687000,7790688000,None,None,727585000,727585000,3151077000,None,275592000,1078876000,253827000,None,5490428000,2091323000,130447000,None,None,1408250000,3399105000,1088794000,2396695000,1149116000,None,4634605000,295672000,130370000,4878357000,None,2972898000,1556000,154346000
2025-12-31,USD,11479643000,2216697000,930231000,930231000,None,793666000,9262946000,None,None,614541999,614541999,3206525000,None,733228000,256302000,236498000,None,6502272000,967518000,125054000,None,None,336613000,5534754000,1570033000,4105355000,None,None,6908808000,354665000,147802000,4977371000,None,3424929000,1497000,147023000
