fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,1355968000,719436000,254151000,254151000,202248000,217908000,636532000,272285000,None,70964000,70964000,275134000,None,None,None,45129000,None,512067000,262008000,88557000,None,None,62000000,250059000,None,110000000,None,None,172000000,111451000,None,843901000,-111100000,348069000,503000,50276000
2007-12-31,USD,2068849000,836582000,159964000,159964000,257540000,373108000,1232267000,369803000,None,154786000,154786000,648882000,None,None,None,45970000,None,996186000,460047000,190018000,None,None,110000000,536139000,None,350000000,None,None,460000000,160029000,None,1072663000,-138504000,478776000,503000,50615000
2008-12-31,USD,1648563000,793103000,227413000,227413000,216022000,292236000,855460000,324569000,None,156025000,156025000,321478000,None,None,None,57432000,None,1077695000,341545000,160744000,None,None,None,736150000,None,590000000,None,None,590000000,180801000,None,570868000,-132515000,108676000,503000,44692000
2009-12-31,USD,1620578000,764318000,308879000,308879000,151262000,242145000,856260000,299586000,None,143013000,143013000,313030000,None,None,None,62032000,None,1069530000,311685000,166723000,None,None,46268000,757845000,None,543942000,None,None,590210000,98694000,None,551048000,-128611000,72625000,503000,46594000
2010-12-31,USD,1696484000,860855000,358653000,358653000,175659000,298266000,835629000,278866000,None,143820000,143820000,322556000,None,None,0,28277000,None,1057969000,357924000,212084000,None,None,None,700045000,None,551155000,None,None,551155000,145840000,148890000,638515000,-120156000,171568000,503000,47783000
2011-12-31,USD,1788120000,925421000,382716000,382716000,202143000,299070000,862699000,286933000,None,151683000,151683000,348032000,None,None,0,41492000,None,1093571000,381566000,227571000,None,None,None,712005000,None,550926000,None,None,550926000,153995000,None,694549000,-161092000,276363000,503000,48104000
2012-12-31,USD,2584583000,959582000,395095000,395095000,215282000,300864000,1625001000,307048000,None,428273000,428273000,778708000,None,None,0,48341000,None,1772723000,452482000,183672000,None,None,15678000,1320241000,None,1135527000,None,None,1151205000,253132000,184714000,811860000,-218014000,461756000,503000,45942000
2013-12-31,USD,2756338000,1191560000,613304000,613304000,207980000,304204000,1564778000,300835000,None,376976000,376976000,775426000,None,None,0,70010000,None,1919797000,399713000,199897000,None,None,2500000,1520084000,None,1364536000,None,None,1367036000,167798000,149110000,836541000,-276748000,556214000,503000,44737000
2014-12-31,USD,3262827000,1414150000,741162000,741162000,228398000,379777000,1848677000,316385000,None,461292000,461292000,943374000,None,33400000,0,42656000,None,2455641000,525359000,272439000,None,None,2500000,1930282000,None,1765422000,2500000,None,1767922000,202933000,164860000,807186000,-364571000,621896000,503000,43997000
2015-12-31,USD,3315841000,843164000,216751000,216751000,195942000,387386000,2472677000,310629000,None,655871000,655871000,1385115000,None,29500000,0,37079000,None,2490318000,549263000,223514000,None,None,2500000,1941055000,None,1750521000,2500000,None,1753021000,221789000,144500000,824099000,-402793000,679716000,503000,42953000
2016-12-31,USD,3806803000,1478952000,848116000,848116000,190408000,388059000,2327851000,309291000,None,560082000,560082000,1385995000,None,None,0,29176000,None,2345486000,570279000,258203000,None,None,229837000,1775207000,None,1620161000,1620161000,None,1849998000,1736000,140770000,1461317000,-401026000,783812000,503000,42557000
2017-12-31,USD,3833368000,1364826000,561108000,561108000,297226000,466325000,2468542000,337322000,None,545207000,545207000,1478257000,None,None,0,40167000,None,2398502000,671683000,376277000,None,None,7245000,1726819000,None,1560748000,1560748000,None,1567993000,212012000,138358000,1434866000,-425685000,833610000,503000,42643000
2018-12-31,USD,3779321000,1258724000,420610000,420610000,316418000,335956000,2520597000,365970000,None,511093000,511093000,1557653000,None,None,None,250312000,None,2391733000,716922000,297498000,None,None,0,1674811000,None,1463200000,None,None,1463200000,357152000,171668000,1387147000,-599845000,922000000,503000,40956000
2019-12-31,USD,3406759000,1377754000,407480000,407480000,231333000,334634000,2029005000,345918000,None,339505000,339505000,1243669000,None,None,None,404307000,None,2440940000,722544000,268466000,None,None,14072000,1718396000,69724000,1439484000,None,None,1509208000,385751000,174535000,959847000,-307197000,518004000,503000,42203000
2020-12-31,USD,3139734000,1098398000,501994000,501994000,247298000,296817000,2041336000,368620000,None,287071000,287071000,1251938000,None,None,None,52289000,None,2382683000,520761000,244120000,None,None,14840000,1861922000,46398000,1573726000,None,None,1634964000,208430000,203398000,750581000,-332552000,450876000,503000,44778000
2021-12-31,USD,3417677000,1877645000,641563000,641563000,345203000,383444000,1540032000,429278000,None,238155000,238155000,821448000,None,None,None,507435000,None,2461595000,752866000,377765000,None,None,16518000,1708729000,67225000,1459991000,None,None,1538476000,346327000,34853000,955287000,-313994000,505717000,503000,45361000
2022-12-31,USD,3161675000,1536207000,687676000,687676000,341563000,440102000,1625468000,455240000,None,246830000,246830000,862253000,None,None,None,66866000,None,2017725000,639919000,350058000,None,None,16833000,1377806000,59250000,1161176000,None,None,1237259000,246813000,30970000,1143011000,None,751522000,503000,44537000
2023-12-31,USD,3240191000,1456979000,597044000,597044000,366987000,413806000,1783212000,545968000,None,269144000,269144000,907331000,None,None,None,79142000,None,2073889000,633504000,343215000,None,None,18945000,1440385000,93886000,1204211000,None,None,1298097000,247626000,37188000,1166257000,None,985807000,503000,42859000
