fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
1996-03-31,1996-05-21,0.33,0.31,0.02,6.4516,pre-market
1996-06-30,1996-09-11,0.36,0.33,0.03,9.0909,pre-market
1996-09-30,1996-11-18,0.36,0.36,0,0,pre-market
1996-12-31,1997-02-26,0.35,0.38,-0.03,-7.8947,pre-market
1997-03-31,1997-05-28,0.4,0.39,0.01,2.5641,pre-market
1997-06-30,1997-09-09,0.46,0.44,0.02,4.5455,pre-market
1997-09-30,1997-11-20,0.49,0.46,0.03,6.5217,pre-market
1997-12-31,1998-02-24,0.43,0.43,0,0,pre-market
1998-03-31,1998-05-27,0.49,0.48,0.01,2.0833,pre-market
1998-06-30,1998-09-14,0.53,0.54,-0.01,-1.8519,pre-market
1998-09-30,1998-12-01,0.55,0.5,0.05,10,pre-market
1998-12-31,1999-03-02,0.41,0.44,-0.03,-6.8182,pre-market
1999-03-31,1999-05-27,0.43,0.36,0.07,19.4444,pre-market
1999-06-30,1999-09-22,0.63,0.53,0.1,18.8679,pre-market
1999-09-30,1999-11-30,0.6,0.56,0.04,7.1429,pre-market
1999-12-31,2000-02-23,0.48,0.47,0.01,2.1277,pre-market
2000-03-31,2000-05-24,0.63,0.54,0.09,16.6667,pre-market
2000-06-30,2000-09-20,0.78,0.69,0.09,13.0435,pre-market
2000-09-30,2000-11-29,0.72,0.69,0.03,4.3478,pre-market
2000-12-31,2001-02-27,0.6,0.57,0.03,5.2632,pre-market
2001-03-31,2001-05-23,0.3,0.58,-0.28,-48.2759,pre-market
2001-06-30,2001-09-30,0.24,0.19,0.05,26.3158,pre-market
2001-09-30,2001-12-05,0.16,0.13,0.03,23.0769,pre-market
2001-12-31,2002-02-28,-0.24,-0.02,-0.22,-1100,pre-market
2002-03-31,2002-05-29,0.18,0.12,0.06,50,pre-market
2002-06-30,2002-09-26,0.1,0.19,-0.09,-47.3684,pre-market
2002-09-30,2002-12-03,0.06,0.13,-0.07,-53.8462,pre-market
2002-12-31,2003-02-27,0.04,0.05,-0.01,-20,pre-market
2003-03-31,2003-05-28,0.1,0.14,-0.04,-28.5714,pre-market
2003-09-30,2003-12-08,0.14,0.15,-0.01,-6.6667,pre-market
2003-12-31,2004-03-08,0.04,0.03,0.01,33.3333,pre-market
2004-03-31,2004-06-09,0.16,0.12,0.04,33.3333,pre-market
2004-09-30,2004-11-04,0.28,0.19,0.09,47.3684,pre-market
2004-12-31,2005-02-24,0.39,0.29,0.1,34.4828,pre-market
2005-03-31,2005-04-28,0.2,0.24,-0.04,-16.6667,pre-market
2005-06-30,2005-07-28,0.29,0.28,0.01,3.5714,pre-market
2005-09-30,2005-11-08,0.37,0.35,0.02,5.7143,pre-market
2005-12-31,2006-02-09,0.31,0.39,-0.08,-20.5128,pre-market
2006-03-31,2006-04-27,0.36,0.28,0.08,28.5714,pre-market
2006-06-30,2006-07-27,0.51,0.45,0.06,13.3333,pre-market
2006-09-30,2006-10-26,0.54,0.52,0.02,3.8462,pre-market
2006-12-31,2007-02-08,0.46,0.49,-0.03,-6.1224,pre-market
2007-03-31,2007-04-26,0.49,0.43,0.06,13.9535,pre-market
2007-06-30,2007-07-26,0.79,0.71,0.08,11.2676,pre-market
2007-09-30,2007-10-25,0.77,0.82,-0.05,-6.0976,pre-market
2007-12-31,2008-02-07,0.83,0.82,0.01,1.2195,pre-market
2008-03-31,2008-04-24,0.67,0.72,-0.05,-6.9444,pre-market
2008-06-30,2008-07-24,0.97,0.9,0.07,7.7778,pre-market
2008-09-30,2008-10-23,0.78,0.81,-0.03,-3.7037,pre-market
2008-12-31,2009-02-05,0.26,0.13,0.13,100,pre-market
2009-03-31,2009-04-29,0.16,0.1,0.06,60,pre-market
2009-06-30,2009-07-29,0.34,0.29,0.05,17.2414,pre-market
2009-09-30,2009-10-28,0.27,0.23,0.04,17.3913,pre-market
2009-12-31,2010-02-04,0.39,0.31,0.08,25.8065,pre-market
2010-03-31,2010-04-29,0.29,0.25,0.04,16,pre-market
2010-06-30,2010-07-29,0.5,0.38,0.12,31.5789,pre-market
2010-09-30,2010-10-28,0.43,0.41,0.02,4.878,pre-market
2010-12-31,2011-02-03,0.55,0.44,0.11,25,pre-market
2011-03-31,2011-04-27,0.46,0.45,0.01,2.2222,pre-market
2011-06-30,2011-07-28,0.72,0.6,0.12,20,pre-market
2011-09-30,2011-10-27,0.65,0.58,0.07,12.069,pre-market
2011-12-31,2012-02-09,0.57,0.53,0.04,7.5472,pre-market
2012-03-31,2012-05-10,0.52,0.51,0.01,1.9608,pre-market
2012-06-30,2012-08-09,0.92,0.73,0.19,26.0274,pre-market
2012-09-30,2012-11-08,0.77,0.71,0.06,8.4507,pre-market
2012-12-31,2013-02-07,0.78,0.66,0.12,18.1818,pre-market
2013-03-31,2013-05-02,0.84,0.8,0.04,5,pre-market
2013-06-30,2013-08-08,0.99,0.94,0.05,5.3191,pre-market
2013-09-30,2013-10-30,0.95,0.93,0.02,2.1505,pre-market
2013-12-31,2014-02-06,0.91,0.9,0.01,1.1111,pre-market
2014-03-31,2014-05-01,0.8,0.79,0.01,1.2658,pre-market
2014-06-30,2014-07-30,1.05,1.01,0.04,3.9604,pre-market
2014-09-30,2014-10-29,1.15,1.11,0.04,3.6036,pre-market
2014-12-31,2015-02-05,1.24,1.22,0.02,1.6393,pre-market
2015-03-31,2015-04-30,1,0.98,0.02,2.0408,pre-market
2015-06-30,2015-07-29,1.21,1.19,0.02,1.6807,pre-market
2015-09-30,2015-10-28,1.14,1.11,0.03,2.7027,pre-market
2015-12-31,2016-02-09,1.63,1.48,0.15,10.1351,pre-market
2016-03-31,2016-05-04,1.01,0.96,0.05,5.2083,pre-market
2016-06-30,2016-07-19,1.54,1.26,0.28,22.2222,pre-market
2016-09-30,2016-11-02,1.29,1.26,0.03,2.381,pre-market
2016-12-31,2017-02-02,1.42,1.4,0.02,1.4286,pre-market
2017-03-31,2017-05-03,0.92,0.89,0.03,3.3708,pre-market
2017-06-30,2017-08-02,1.29,1.21,0.08,6.6116,pre-market
2017-09-30,2017-11-01,1.49,1.42,0.07,4.9296,pre-market
2017-12-31,2018-02-01,1.62,1.76,-0.14,-7.9545,pre-market
2018-03-31,2018-05-02,1.16,1.11,0.05,4.5045,pre-market
2018-06-30,2018-08-01,1.52,1.46,0.06,4.1096,pre-market
2018-09-30,2018-10-31,1.72,1.71,0.01,0.5848,pre-market
2018-12-31,2019-02-20,1.66,1.63,0.03,1.8405,pre-market
2019-03-31,2019-05-01,0.99,0.9,0.09,10,pre-market
2019-06-30,2019-07-31,1.39,1.39,0,0,pre-market
2019-09-30,2019-10-30,1.18,1.41,-0.23,-16.3121,pre-market
2019-12-31,2020-02-04,1.2,1.07,0.13,12.1495,pre-market
2020-03-31,2020-04-29,0.67,0.67,0,0,pre-market
2020-06-30,2020-07-29,0.46,0.27,0.19,70.3704,pre-market
2020-09-30,2020-10-28,0.72,0.61,0.11,18.0328,pre-market
2020-12-31,2021-02-10,0.9,0.77,0.13,16.8831,pre-market
2021-03-31,2021-05-05,0.94,0.66,0.28,42.4242,pre-market
2021-06-30,2021-08-04,1.21,0.93,0.28,30.1075,pre-market
2021-09-30,2021-11-03,1.31,1.18,0.13,11.0169,pre-market
2021-12-31,2022-02-09,1.32,1.27,0.05,3.937,pre-market
2022-03-31,2022-05-04,1.31,1.1,0.21,19.0909,pre-market
2022-06-30,2022-08-03,1.6,1.43,0.17,11.8881,pre-market
2022-09-30,2022-11-02,1.77,1.56,0.21,13.4615,pre-market
2022-12-31,2023-02-08,1.75,1.64,0.11,6.7073,pre-market
2023-03-31,2023-05-03,1.68,1.54,0.14,9.0909,pre-market
2023-06-30,2023-08-03,1.91,1.77,0.14,7.9096,pre-market
2023-09-30,2023-11-02,1.78,1.76,0.02,1.1364,pre-market
2023-12-31,2024-02-08,1.46,1.13,0.33,29.2035,pre-market
2024-03-31,2024-05-02,1.24,1.06,0.18,16.9811,pre-market
2024-06-30,2024-08-01,1.51,1.37,0.14,10.219,pre-market
2024-09-30,2024-10-31,1.7,1.61,0.09,5.5901,pre-market
2024-12-31,2025-02-06,1.42,1.13,0.29,25.6637,pre-market
2025-03-31,2025-05-01,1.6,1.49,0.11,7.3826,pre-market
2025-06-30,2025-07-31,1.89,1.76,0.13,7.3864,pre-market
2025-09-30,2025-10-30,1.97,1.92,0.05,2.6042,pre-market
2025-12-31,2026-02-12,2.08,1.95,0.13,6.6667,pre-market
