fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,3442822000,1312005000,934342000,934342000,37179000,238438000,2130817000,354575000,None,112738000,112738000,1267579000,None,None,24089000,77957000,None,1743531000,548065000,21968000,None,None,28000000,1195466000,None,730385000,None,None,758385000,237822000,None,1699291000,-544855000,832763000,1398899000,312457000
2007-12-31,USD,3871150000,1529563000,1062920000,1062920000,31003000,326211000,2341587000,339463000,None,132906000,132906000,1310211000,None,None,15193000,94236000,None,1791084000,785487000,17007000,None,None,230385000,1005597000,None,500000000,None,None,730385000,272927000,None,2080066000,-619125000,1162441000,1516493000,295591000
2008-12-31,USD,1678714000,953990000,568255000,568255000,28465000,298665000,724166000,351961000,None,49082000,49082000,None,None,None,3840000,54765000,None,1576746000,564210000,33205000,None,None,9844000,928930000,None,500178000,None,None,416572000,218050000,None,186713000,-695152000,-814679000,1659302000,254323000
2009-12-31,USD,1410587000,850747000,569115000,569115000,24165000,200628000,559840000,311502000,None,28841000,28841000,None,None,None,2184000,54655000,None,1302214000,397898000,7175000,None,None,7980000,904316000,None,436012000,None,None,436012000,135052000,None,108373000,-431310000,-1177983000,1674396000,257782000
2010-12-31,USD,1707916000,879406000,557409000,557409000,39034000,216093000,852710000,285115000,None,179198000,179198000,158893000,None,None,12715000,54155000,None,1415462000,657548000,5813000,None,None,143258000,757914000,None,406404000,None,None,549662000,201341000,266110000,276654000,-353090000,-1138853000,1715541000,265871000
2011-12-31,USD,1761269000,1063983000,601602000,601602000,43243000,136772000,697286000,262517000,None,173234000,173234000,192125000,None,None,3037000,279329000,None,1350139000,1015366000,3231000,None,None,294061000,334773000,None,131920000,None,None,425981000,371185000,128894000,411130000,-290462000,-1083245000,1733884000,270816000
2012-12-31,USD,2287003000,1391235000,726357000,726357000,36163000,97821000,895768000,244439000,None,184938000,184938000,233266000,None,None,100704000,430190000,None,1371832000,1217270000,6412000,None,None,447011000,154562000,None,0,None,None,447011000,465755000,104033000,915171000,-200786000,-649549000,1721556000,280667000
2013-12-31,USD,2428601000,1221091000,536260000,536260000,50220000,107624000,1207510000,238715000,None,311693000,311693000,456905000,None,None,96788000,430199000,None,1272496000,1148210000,24963000,None,None,324826000,124286000,None,0,None,None,324826000,487386000,71436000,1156105000,-140142000,-485306000,1757242000,294564000
2014-12-31,USD,3209556000,1851735000,932161000,932161000,56394000,122492000,1357821000,230112000,None,360932000,360932000,553767000,None,None,90445000,650243000,None,1875982000,1393091000,12102000,None,None,342499000,482891000,None,348676000,342499000,None,691175000,728085000,79489000,1333574000,-203792000,-326408000,1851427000,306775000
2015-12-31,USD,2351015000,964761000,616686000,616686000,56762000,164848000,1386254000,228599000,None,296482000,296482000,551772000,None,None,94498000,31967000,None,974900000,536307000,25152000,None,None,11024000,438593000,None,348788000,343288000,None,359812000,201846000,59596000,1376115000,-400555000,-73991000,1863086000,312302000
