fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,326339000,273893000,24829000,24829000,48020000,50088000,52446000,29586000,None,6792000,6792000,12898000,None,None,123087000,27869000,None,54751000,48373000,7494000,None,None,24645000,6378000,None,None,None,None,None,27236000,None,271588000,None,202477000,22700000,22934000
2007-12-31,USD,340379000,283754000,77281000,77281000,42165000,45491000,56625000,29818000,None,6695000,6695000,16377000,None,None,92837000,25980000,None,56911000,49409000,16650000,None,None,22314000,7502000,None,None,None,None,None,25833000,None,283468000,None,204997000,23045000,23270000
2008-12-31,USD,344169000,199264000,30194000,30194000,53314000,31945000,144905000,39429000,None,40993000,40993000,60820000,None,None,58191000,88390000,None,58630000,43675000,11720000,None,None,9922000,14955000,None,None,None,None,None,39241000,None,285539000,None,193985000,23344000,23179000
2009-12-31,USD,330118000,193550000,38247000,38247000,52428000,43389000,136568000,38006000,None,35483000,35483000,61764000,None,None,46659000,84906000,None,72869000,53953000,22600000,None,None,18324000,18916000,None,None,None,None,None,48631000,None,257249000,None,160193000,23547000,23412000
2010-12-31,USD,366043000,240217000,45921000,45921000,63224000,66801000,125826000,39804000,None,26523000,26523000,58498000,None,None,52254000,98175000,None,91318000,71534000,18198000,None,None,18198000,19784000,None,None,None,None,None,56700000,None,274725000,None,179134000,23989000,24097000
2011-12-31,USD,361608000,243816000,53262000,53262000,82689000,41922000,117792000,36981000,-44218000,21828000,21828000,58060000,None,None,51740000,105002000,None,70577000,51871000,18625000,None,None,18625000,18706000,None,0,None,None,None,49050000,5964000,291031000,0,189055000,24330000,24501000
2012-12-31,USD,334873000,221083000,102808000,102808000,62332000,36986000,113790000,35464000,None,18977000,18977000,58756000,None,None,7421000,6790000,None,53974000,36380000,13217000,None,None,13217000,17594000,None,0,None,None,None,34241000,None,280899000,0,170937000,24632000,24459000
2013-12-31,USD,345423000,186848000,51668000,51668000,58977000,60760000,158575000,36226000,-52802000,45315000,45315000,71313000,None,None,1200000,8727000,None,92263000,61011000,26023000,None,None,26023000,31252000,None,0,None,None,None,54945000,18304000,253160000,0,131546000,25080000,24859000
2014-12-31,USD,348818000,214817000,70885000,70885000,55545000,73646000,134001000,31854000,None,33087000,33087000,63132000,None,None,1155000,13586000,None,101750000,69553000,25964000,None,None,25964000,32197000,None,0,None,None,None,62108000,None,247068000,0,134152000,25692000,26006000
2015-12-31,USD,345346000,234463000,115370000,115370000,51348000,59832000,110883000,19000000,None,25297000,25297000,60264000,None,None,1652000,6261000,None,107209000,63191000,27290000,None,None,27290000,44018000,None,0,None,None,None,59461000,23922000,238137000,0,128153000,26240000,26788000
2016-12-31,USD,345512000,245149000,96045000,96045000,45502000,63019000,100363000,18234000,None,17835000,17835000,58849000,None,None,31990000,8593000,None,110043000,68689000,31444000,None,None,31444000,41354000,None,0,None,None,None,61803000,23813000,235469000,0,124559000,26842000,27480000
2017-12-31,USD,420457000,297438000,134286000,134286000,62085000,71125000,123019000,34172000,None,16748000,16748000,65613000,None,None,21329000,8613000,None,131366000,85267000,37556000,None,None,4388000,46099000,None,4575000,4388000,None,8963000,34556000,28370000,289091000,0,150726000,28489000,28916000
2018-12-31,USD,1134002000,485239000,164460000,164460000,139314000,149276000,648763000,74332000,None,318961000,318961000,242127000,None,None,560000,31629000,None,588058000,160589000,48117000,None,None,6787000,427469000,2613000,346041000,6787000,None,352828000,87734000,33710000,546243000,None,111670000,40763000,31776000
2019-12-31,USD,1077710000,439696000,155194000,155194000,130706000,127921000,637982000,70912000,None,274987000,274987000,238669000,None,None,904000,24971000,None,594638000,148885000,48697000,None,None,6517000,445753000,28877000,346518000,6517000,None,381912000,69972000,39048000,483072000,None,42517000,41395000,41159000
2020-12-31,USD,1090346000,485046000,149358000,149358000,142500000,151919000,605282000,66916000,None,233667000,233667000,252304000,None,None,20669000,20600000,None,578058000,174453000,67923000,None,None,8389000,403605000,25787000,311551000,8389000,None,345727000,71203000,37451000,512288000,None,26230000,42190000,41854000
