fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2012-12-31,USD,7716,7716,7408,7408,None,None,None,None,None,None,None,None,None,None,None,308,None,2348,2348,23570,None,None,None,2348,None,None,None,None,None,-21222,None,-2348,None,-2348,7000,None
2013-12-31,USD,7716,7716,7408,7408,None,None,23096,None,None,None,None,None,None,None,None,11865,None,23570,23570,8853,None,None,None,23570,None,None,None,None,120000,132927,None,-15854,None,-22854,4000,98700
2014-12-31,USD,112966,89870,78005,78005,None,None,None,None,None,None,None,None,None,None,None,None,None,141780,141780,8853,None,None,120000,None,None,None,120000,None,None,12448,None,-28814,None,-107195,6580,None
2015-12-31,USD,1031571,1005437,832013,832013,51574,106889,26134,1408,None,None,None,None,None,None,None,14961,None,500567,499656,275925,None,None,82902,911,None,None,82902,None,82902,140029,None,531004,None,-216810,6580,100227
2016-12-31,USD,522006,488763,340073,340073,104832,35896,33243,8517,None,None,None,None,None,None,None,7962,None,431906,431438,368513,None,None,0,468,None,None,0,None,None,800,0,90100,None,-657714,34575,518620
2017-12-31,USD,490531,476985,394398,394398,47432,26875,13546,6336,None,None,None,None,None,None,None,8280,None,563132,481790,449256,None,None,81342,81342,None,81342,81342,None,81342,800,None,-72601,None,-1978794,34575,518575
2018-12-31,USD,9277911,4691904,4455751,4455751,69787,50533,4586007,4578135,None,None,None,None,None,None,None,115833,None,211976,211976,168582,None,None,None,204766,None,None,None,None,None,43394,None,9065935,None,-4003458,40907,566679
2019-12-31,USD,7228579,2440112,2192870,2192870,62933,137338,4788467,4781837,None,None,None,None,None,None,None,46971,None,540004,432999,192488,None,None,94270,107005,138940,None,50000,None,188940,18570,12335,6688575,None,-7179001,40959,614242
2020-12-31,USD,5593328,1007630,583325,583325,42496,190556,4585698,4579068,None,None,None,None,None,None,None,191253,None,788716,527559,216341,None,None,247509,261157,94671,202735,194125,None,491531,6332,17135,4804612,None,-9716114,40959,614396
2021-12-31,USD,14021750,9214340,8678665,8678665,22889,205548,4807410,4353340,None,None,None,None,None,None,0,307238,None,899758,571442,293354,None,None,254186,328316,423955,25929,132618,None,582502,23631,302387,13121992,None,-12937091,43259,625738
2022-12-31,USD,9323060,4807830,4343426,4343426,103772,112820,4515230,4481966,None,None,None,None,None,None,105470,142342,None,1565526,1387239,267685,None,None,113058,178287,279010,None,None,None,279010,1006496,12335,7757534,None,-17864028,65297,652963
2023-12-31,USD,5334124,1028278,428254,428254,282071,34047,4305846,None,None,None,None,None,None,None,36735,247171,None,1788498,1657646,435018,None,None,1090172,130852,208689,None,1000000,None,1208689,132456,12335,3545626,None,-22582170,6477,603149
2024-12-31,USD,4080313,3846363,3589318,3589318,126071,5584,233950,None,None,None,None,None,None,None,24660,100730,None,885089,876975,702065,None,None,106706,8114,114820,None,None,None,114820,68204,None,3195224,None,-25782308,7154,671448
2025-12-31,USD,8885514,8647129,7934958,7934958,99813,27125,238385,None,None,159179,159179,None,None,None,22887,562346,None,6312755,366471,358007,None,None,8464,5946284,8464,None,None,None,8464,-8464,None,2572759,None,-31023411,915,742201
