fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-04-30,USD,86741000,66763000,2639000,2639000,22971000,15936000,19977999,6663000,None,513000,513000,513000,None,None,21836000,3381000,None,16108000,6988000,2202000,None,None,None,9120000,None,None,None,None,None,4786000,None,70633000,-2437000,15527000,9164000,8690617
2007-04-30,USD,93826000,67603000,1336000,1336000,31201000,16222000,26223000,7839000,None,453000,453000,453000,None,None,14268000,4576000,None,22942000,13631000,3771000,None,None,5011000,9311000,None,None,None,None,5011000,4922000,None,70884000,-2080000,13541000,9164000,8620776
2008-04-30,USD,96920000,70984000,11029000,11029000,30218000,19978000,25936000,9531000,None,405000,405000,405000,None,None,4414000,5345000,None,23310000,12077000,2215000,None,None,5168000,11232999,None,911000,None,None,6079000,4694000,None,73610000,-2175000,13558000,9164000,8778059
2009-04-30,USD,77920000,56071000,4911000,4911000,26051000,13854000,21849000,7961000,None,218000,218000,218000,None,None,9998000,1257000,None,18754000,8039999,2305000,None,None,1327000,10714000,None,684000,None,None,2011000,3521999,None,59166000,-4972000,2522000,9164000,8315571
2010-04-30,USD,81420000,60640000,9954000,9954000,26975000,12171000,20780000,7015000,None,218000,218000,218000,None,None,10418000,1122000,None,18037000,7308000,1720000,None,None,246000,10729000,None,441000,None,None,687000,5047000,None,63383000,-4651000,5271000,9164000,8211878
2011-04-30,USD,89831000,67736000,5275000,5275000,28172000,14954000,22095000,7163000,None,218000,218000,218000,None,None,15357000,3978000,None,18296000,7386000,1654000,None,None,275000,10910000,None,181000,None,None,456000,4575000,None,71279000,-3975000,11286000,9164000,8363023
2012-04-30,USD,106227000,79362000,4782000,4782000,34299000,10866000,26865000,8374000,None,18073000,18073000,873000,None,809000,17658000,4550000,None,27095000,16109000,2644000,None,None,6383000,10985999,15000,15000,None,None,6398000,6986000,None,79132000,-3659000,18660000,9164000,8540955
2013-04-30,USD,112079000,81016000,3460000,3460000,37150000,16398000,31062999,8316000,None,165000,165000,781000,None,None,18270000,5367000,None,29627000,9327000,1205000,None,None,158000,20299999,None,6000000,None,None,6158000,5021000,None,82207000,-3200000,20662000,9164000,8604651
2014-04-30,USD,119461000,87862000,7698000,7698000,41227000,18180000,31599000,11240000,None,73000,73000,616000,None,None,16030000,4727000,None,31115000,9697000,2336000,None,None,1613000,21418000,None,10100000,10100000,None,11713000,6338000,594000,88346000,-2715000,24702000,9164000,8817000
2015-04-30,USD,117825000,83599000,7222000,7222000,38239000,22618000,34226000,12686000,None,1000,1000,616000,None,None,11186000,4334000,None,26015000,8350000,1720000,None,None,1012000,17665000,None,6000000,6000000,None,7012000,5910000,347000,91810000,-2132000,27528000,9164000,8910000
2016-04-30,USD,120214000,84311000,6082000,6082000,41278000,21377000,35903000,13072000,None,617000,617000,617000,None,None,11111000,4463000,None,26862000,8758000,2650000,None,None,1254000,18104000,None,6000000,6000000,None,7254000,5468000,331000,93352000,-1885000,28533000,9164000,8937000
2017-04-30,USD,113319000,69855000,2163000,2163000,29051000,18950000,43464000,14813000,None,617000,617000,617000,None,None,7815000,11876000,None,23987000,8111000,2437000,None,None,3193000,15875999,None,0,None,None,None,5314000,2624000,89332000,-1592000,23712000,9164000,8787000
2018-04-30,USD,83584000,52075000,7869000,7869000,26186000,9362000,31509000,14127000,None,617000,617000,617000,None,None,6149000,2509000,None,20322000,5257000,1841000,None,None,113000,15065000,None,0,None,None,None,3235000,1524000,63262000,-1361000,-65000,9164000,8841000
2019-04-30,USD,86771000,52699000,3683000,3683000,23356000,13032000,34072000,13038000,None,617000,617000,617000,None,800000,8199000,4429000,None,23682000,5837000,1188000,None,None,None,17845000,None,None,None,None,None,4494000,3629000,63089000,-841000,-2111000,9164000,8916250
2020-04-30,USD,91276000,51235000,3808000,3808000,22996000,11345000,40041000,11267000,None,617000,617000,617000,None,None,10570000,2554000,None,37040000,12988000,1424000,None,None,6834000,24052000,11313000,None,4965000,None,16278000,4351000,9786000,54272000,-195000,-12137000,9164000,9074000
2021-04-30,USD,98528000,61191000,9807000,9807000,19661000,19975000,37337000,19385000,None,617000,617000,617000,None,None,10313000,1435000,None,43119000,20609000,1080000,None,None,1715000,22509999,10081000,None,None,None,9068000,5135000,119000,55409000,-6000,-11457000,9226000,9248425
2022-04-30,USD,84760000,56010000,11561000,11561000,19906000,13148000,28750000,17369000,None,None,None,617000,None,None,9964000,1431000,None,38072000,21861000,1080000,None,None,1744000,16211000,9097000,None,None,None,9097000,7827000,8858000,46688000,None,-20120000,9298000,9265934
2023-04-30,USD,90775000,48307000,12049000,12049000,20526000,14631000,42468000,7093000,None,617000,617000,617000,None,None,19685000,1101000,None,57889000,27281000,1464000,None,None,1753000,30608000,7636000,None,None,None,7636000,5448000,8446000,32886000,-3000,-25621000,9374000,9337444
2024-04-30,USD,98472000,58121000,18320000,18320000,23431000,15137000,40350999,None,None,None,None,617000,None,None,None,1233000,None,58656000,30796000,2348000,None,None,1640000,27860000,6185000,None,None,None,6185000,4799000,None,39816000,None,-20027000,9512000,9431264
2025-04-30,USD,93737000,53106000,4720000,4720000,23487000,23828000,40630999,None,None,None,None,617000,None,None,None,1071000,None,38117000,23455000,1359000,None,None,2027000,14661999,8756000,None,None,None,8756000,5647000,None,55620000,None,3659000,9717000,9608000
