fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2005-12-31,USD,588777000,324795000,18730000,18730000,2698000,49203000,263982000,19076000,None,81652000,81652000,81652000,None,None,240116000,9788000,None,84153000,73747000,12965000,None,None,None,10406000,None,None,None,None,None,21098000,None,504624000,None,68442000,437642000,81610000
2006-03-31,USD,636747000,415191000,23003000,23003000,3024000,51953000,221556000,23669000,None,81652000,81652000,81652000,None,None,321003000,12266000,None,93133000,81903000,14605000,None,None,None,11230000,None,None,None,None,None,23042000,None,543614000,None,84509000,460789000,83254000
2006-06-30,USD,674334000,454496000,21163000,21163000,7888000,56683000,None,29960000,None,81701000,81701000,81701000,None,None,351865000,16897000,None,107045000,94543000,17640000,None,None,None,None,None,None,None,None,None,76903000,None,567289000,None,77953000,490961000,83318000
2006-09-30,USD,729511000,462975000,37746000,37746000,5763000,62750000,266536000,29951000,None,10408000,10408000,81701000,None,None,336427000,20289000,None,113053000,99637000,13174000,None,None,None,13416000,None,None,None,None,None,31583000,None,616458000,None,95705000,460789000,83977000
2006-12-31,USD,787570000,507408000,31085000,31085000,5730000,67246000,280162000,29951000,None,10408000,10408000,81701000,None,None,384238000,19109000,None,131026000,115129000,12879000,None,None,None,15897000,None,None,None,None,None,41094000,None,656544000,None,118058000,539220000,84636000
2007-03-31,USD,836100000,538542000,46834000,46834000,7915000,73142000,297558000,31693000,None,81701000,81701000,81701000,None,None,384426000,26225000,None,139579000,123286000,23012000,None,None,None,16293000,None,None,None,None,None,32863000,None,696521000,None,138014000,559435000,84780000
2007-06-30,USD,886810000,505040000,48040000,48040000,9278000,77693000,381770000,33307000,None,81701000,81701000,81701000,None,None,345899000,24130000,None,144970000,126658000,23225000,None,None,None,18312000,None,None,None,None,None,30008000,None,741840000,None,159823000,583349000,85310000
2007-09-30,USD,944288000,386650000,54296000,54296000,10672000,91774000,557638000,36024000,None,21711000,21711000,233997000,None,None,204169000,25739000,None,173711000,153410000,25525000,None,None,None,20301000,None,None,None,None,None,39990000,None,770577000,None,172705000,598436000,83205000
2007-12-31,USD,992411000,484280000,69524000,69524000,10189000,98764000,508131000,37234000,None,233997000,233997000,233997000,None,None,281000000,24803000,None,182374000,155996000,24973000,None,None,None,26378000,None,None,None,None,None,39688000,None,810037000,None,190456000,620632000,86141000
2008-03-31,USD,937979000,476564000,142756000,142756000,8577000,101797000,461415000,40716000,None,231968000,231968000,231968000,None,None,188622000,34812000,None,193396000,161238000,22535000,None,None,None,32158000,None,None,None,None,None,39231000,None,744583000,None,208201000,539566000,83805000
