fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-03-31,USD,11757000000,4044000000,1262000000,1262000000,616000000,696000000,7713000000,4816000000,None,336000000,336000000,277000000,None,None,1216000000,254000000,None,5671000000,2383000000,661000000,None,None,23000000,3288000000,None,1788000000,None,None,1811000000,1699000000,None,6040000000,-181000000,-6591000000,786000000,1606250000
2006-06-30,USD,12199000000,4035000000,1098000000,1098000000,664000000,633000000,8164000000,5032000000,None,56000000,56000000,277000000,None,None,1377000000,263000000,None,5475000000,2372000000,705000000,None,None,22000000,3103000000,None,1475000000,None,None,1497000000,1645000000,None,6684000000,-191000000,-6076000000,787000000,1606250000
2006-09-30,USD,12847000000,4486000000,979000000,979000000,673000000,753000000,8361000000,5082000000,None,331000000,331000000,331000000,None,None,1833000000,248000000,None,5618000000,2320000000,574000000,None,None,20000000,3298000000,None,1710000000,None,None,1730000000,1726000000,None,7188000000,-196000000,-5638000000,790000000,1622222222
2006-12-31,USD,13065000000,4798000000,1157000000,1157000000,639000000,746000000,8267000000,5193000000,None,316000000,316000000,316000000,None,None,2010000000,246000000,None,5774000000,2319000000,631000000,None,None,20000000,3455000000,None,1696000000,None,None,1716000000,1668000000,None,7246000000,-201000000,-4992000000,791000000,1557142857
2007-03-31,USD,13161000000,4629000000,1123000000,1123000000,685000000,781000000,8532000000,5281000000,None,314000000,314000000,314000000,None,None,1765000000,275000000,None,5471000000,2231000000,551000000,None,None,20000000,3240000000,None,1466000000,None,None,1486000000,1660000000,None,7644000000,-222000000,-4668000000,793000000,1635000000
2007-06-30,USD,13540000000,5007000000,1874000000,1874000000,677000000,793000000,8533000000,5179000000,None,313000000,313000000,313000000,None,None,1329000000,334000000,None,5331000000,2205000000,474000000,None,None,19000000,3126000000,None,1456000000,None,None,1475000000,1712000000,None,8166000000,-234000000,-4179000000,796000000,1630000000
2007-09-30,USD,14273000000,5126000000,1878000000,1878000000,665000000,874000000,9147000000,5602000000,None,311000000,311000000,311000000,None,None,1451000000,258000000,None,5431000000,2255000000,495000000,None,None,21000000,3176000000,None,1460000000,None,None,1481000000,1739000000,None,8798000000,-363000000,-3641000000,797000000,1623684211
2007-12-31,USD,15215000000,5294000000,2216000000,2216000000,631000000,856000000,9921000000,5986000000,None,308000000,308000000,308000000,None,None,1300000000,291000000,None,5673000000,2512000000,609000000,None,None,23000000,3161000000,None,1514000000,None,None,1537000000,1880000000,None,9496000000,-492000000,-3002000000,799000000,1566000000
2008-03-31,USD,16263000000,5339000000,2124000000,2124000000,692000000,988000000,10924000000,6837000000,None,306000000,306000000,306000000,None,None,1185000000,350000000,None,5476000000,1862000000,701000000,None,None,78000000,3614000000,None,1503000000,None,None,1581000000,1083000000,None,10740000000,-588000000,-2053000000,801000000,1598000000
2008-06-30,USD,19180000000,5648000000,2175000000,2175000000,726000000,958000000,13532000000,6944000000,None,303000000,303000000,303000000,None,None,1332000000,457000000,None,5451000000,1958000000,831000000,None,None,76000000,3493000000,None,1474000000,None,None,1550000000,1051000000,None,13681000000,-659000000,1080000000,804000000,1600000000
2008-09-30,USD,18990000000,5222000000,2596000000,2596000000,755000000,828000000,13768000000,7220000000,None,306000000,306000000,306000000,None,None,576000000,467000000,None,5514000000,2058000000,958000000,None,None,75000000,3456000000,None,1470000000,None,None,1545000000,1025000000,None,13428000000,-1161000000,1770000000,804000000,1578000000
2008-12-31,USD,19256000000,4619000000,1873000000,1873000000,798000000,512000000,14637000000,8199000000,None,28000000,28000000,277000000,None,None,943000000,493000000,None,5765000000,2052000000,846000000,None,None,78000000,3713000000,None,1527000000,None,None,1605000000,1128000000,None,13443000000,-1160000000,1940000000,804000000,1548000000
2009-03-31,USD,18178000000,4439000000,1780000000,1780000000,731000000,593000000,13739000000,7806000000,None,25000000,25000000,277000000,None,None,805000000,530000000,None,5483000000,1592000000,542000000,None,None,68000000,3891000000,None,1596000000,None,None,1664000000,982000000,None,12647000000,-1202000000,1876000000,806000000,1559000000
2009-06-30,USD,19604000000,5028000000,2234000000,2234000000,647000000,790000000,14576000000,7885000000,None,21000000,21000000,277000000,None,3168000000,841000000,516000000,None,5752000000,1531000000,502000000,None,None,80000000,4221000000,None,1938000000,None,None,2018000000,949000000,2283000000,13803000000,-1204000000,2409000000,807000000,1567000000
2009-09-30,USD,20747000000,4847000000,1962000000,1962000000,618000000,835000000,15900000000,8180000000,None,171000000,171000000,509000000,None,3818000000,968000000,464000000,None,5729000000,1520000000,470000000,None,None,75000000,4209000000,None,1945000000,None,None,2020000000,975000000,2264000000,14967000000,-1206000000,2974000000,807000000,1569000000
2009-12-31,USD,21295000000,5521000000,2541000000,2541000000,579000000,753000000,15774000000,7995000000,None,167000000,167000000,509000000,None,3992000000,1042000000,606000000,None,5700000000,1539000000,550000000,None,None,74000000,4161000000,None,1930000000,None,None,2004000000,915000000,2231000000,15543000000,-1207000000,3636000000,808000000,1555000000
2010-03-31,USD,21727000000,6052000000,3075000000,3075000000,604000000,860000000,15675000000,7847000000,None,165000000,165000000,509000000,None,4296000000,798000000,715000000,None,5374000000,1278000000,459000000,None,None,23000000,4096000000,None,1919000000,None,None,1942000000,796000000,2177000000,16302000000,-1223000000,4374000000,811000000,1579000000
2010-06-30,USD,22541000000,6460000000,3214000000,3214000000,607000000,938000000,16081000000,8047000000,None,669000000,669000000,938000000,None,4434000000,1045000000,656000000,None,5499000000,1457000000,519000000,None,None,24000000,4042000000,None,1927000000,None,None,1951000000,-519000000,2115000000,16992000000,-1224000000,5208000000,812000000,1581000000
2010-09-30,USD,24670000000,7363000000,3302000000,3302000000,712000000,854000000,17307000000,8526000000,None,668000000,668000000,854000000,None,5194000000,1727000000,768000000,None,6203000000,1694000000,720000000,None,None,25000000,4509000000,None,2390000000,None,None,2415000000,-720000000,2119000000,18416000000,-1226000000,5916000000,812000000,1580000000
2010-12-31,USD,25833000000,8859000000,4598000000,4598000000,738000000,973000000,16974000000,8943000000,None,179000000,179000000,537000000,None,4372000000,1752000000,798000000,None,6407000000,1986000000,798000000,None,None,57000000,4421000000,None,2262000000,None,None,2319000000,1131000000,2159000000,19375000000,-1227000000,6881000000,813000000,1565000000
2011-03-31,USD,26660000000,9037000000,4570000000,4570000000,841000000,1107000000,17623000000,9235000000,None,255000000,255000000,630000000,None,4569000000,1733000000,786000000,None,6305000000,1894000000,949000000,None,None,26000000,4411000000,None,2245000000,None,None,2271000000,919000000,2166000000,20304000000,-1240000000,7550000000,817000000,1589000000
2011-06-30,USD,27825000000,9329000000,4609000000,4609000000,917000000,1252000000,18496000000,9755000000,None,251000000,251000000,632000000,None,5029000000,1748000000,803000000,None,6519000000,2083000000,1052000000,None,None,26000000,4436000000,None,2248000000,None,None,2274000000,1005000000,2188000000,21255000000,-1242000000,8227000000,817000000,1591000000
2011-09-30,USD,28173000000,9264000000,4901000000,4901000000,939000000,1189000000,18909000000,10266000000,None,252000000,252000000,629000000,None,4890000000,1520000000,715000000,None,6482000000,2009000000,938000000,None,None,27000000,4473000000,None,2282000000,None,None,2309000000,1044000000,2191000000,21640000000,-1243000000,8958000000,818000000,1588000000
2011-12-31,USD,27848000000,8677000000,4661000000,4661000000,975000000,1082000000,19171000000,10671000000,None,262000000,262000000,664000000,None,4726000000,1164000000,795000000,None,6719000000,2097000000,977000000,None,None,27000000,4622000000,None,2364000000,None,None,2391000000,1093000000,2258000000,21078000000,-2024000000,9332000000,818000000,1564000000
2012-03-31,USD,28489000000,9801000000,5490000000,5490000000,955000000,1108000000,18688000000,10373000000,None,257000000,257000000,665000000,None,4554000000,1346000000,902000000,None,7122000000,1781000000,847000000,None,None,27000000,5341000000,None,3135000000,None,None,3162000000,907000000,2206000000,21317000000,-2121000000,9679000000,822000000,1530000000
2012-06-30,USD,28754000000,9378000000,5008000000,5008000000,999000000,1157000000,19376000000,10751000000,None,253000000,253000000,663000000,None,4870000000,1337000000,877000000,None,7352000000,1892000000,929000000,None,None,29000000,5460000000,None,3229000000,None,None,3258000000,934000000,2231000000,21354000000,-2458000000,10029000000,823000000,1518000000
2012-09-30,USD,29410000000,9516000000,4952000000,4952000000,1003000000,1248000000,19894000000,11036000000,None,248000000,248000000,664000000,None,5172000000,1399000000,914000000,None,7524000000,1887000000,901000000,None,None,130000000,5637000000,None,3372000000,None,None,3402000000,956000000,2265000000,21839000000,-2646000000,10438000000,824000000,1494000000
2012-12-31,USD,29375000000,9695000000,4988000000,4988000000,1051000000,1302000000,19680000000,10625000000,None,522000000,522000000,974000000,None,4915000000,1156000000,1198000000,None,7842000000,1956000000,779000000,None,None,76000000,5886000000,None,3382000000,None,None,3458000000,819000000,2504000000,21486000000,-2773000000,10588000000,825000000,1481000000
2013-03-31,USD,28595000000,9269000000,4797000000,4797000000,1171000000,1243000000,19326000000,10171000000,None,513000000,513000000,972000000,None,4726000000,978000000,1080000000,None,7205000000,1795000000,762000000,None,None,74000000,5410000000,None,2855000000,None,None,2929000000,959000000,2555000000,21344000000,-2779000000,10262000000,826000000,1481000000
2013-06-30,USD,28389000000,9053000000,4601000000,4601000000,1240000000,1296000000,19336000000,9954000000,None,558000000,558000000,1001000000,None,4809000000,870000000,1046000000,None,6935000000,1597000000,721000000,None,None,72000000,5338000000,None,2822000000,None,None,2894000000,804000000,2516000000,21378000000,-3022000000,10754000000,828000000,1478000000
2013-09-30,USD,28714000000,9128000000,4560000000,4560000000,1275000000,1392000000,19586000000,9977000000,None,550000000,550000000,1001000000,None,5160000000,886000000,1015000000,None,6916000000,1578000000,640000000,None,None,23000000,5338000000,None,2816000000,None,None,2839000000,915000000,2522000000,21749000000,-3237000000,11017000000,829000000,1463000000
2013-12-31,USD,28478000000,8891000000,4704000000,4704000000,1270000000,1253000000,19587000000,9801000000,None,540000000,540000000,1002000000,None,5537000000,531000000,1133000000,None,7267000000,1746000000,771000000,None,None,21000000,5521000000,None,3272000000,None,None,3293000000,815000000,2249000000,21162000000,-4099000000,11320000000,831000000,1424000000
2014-03-31,USD,29544000000,9613000000,4968000000,4968000000,1395000000,1588000000,19931000000,13344000000,None,540000000,540000000,1125000000,None,1976000000,644000000,1018000000,None,7825000000,2046000000,732000000,None,None,468000000,5779000000,None,3224000000,None,None,3692000000,846000000,2555000000,21650000000,-5950000000,11465000000,833000000,1370000000
2014-06-30,USD,29832000000,9864000000,5118000000,5118000000,1380000000,1645000000,19968000000,13523000000,None,532000000,532000000,1150000000,None,2013000000,768000000,953000000,None,8000000000,2177000000,777000000,None,None,450000000,5823000000,None,3238000000,None,None,3688000000,950000000,2585000000,21763000000,-6340000000,11478000000,835000000,1315000000
