fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-01-31,USD,607572000,742704000,135132000,135132000,238972000,65297000,100084000,365047000,None,None,None,36075000,None,None,None,28610000,247321000,92074000,None,0,None,244716000,273326000,182973000
2006-04-30,USD,844672000,952603000,107931000,107931000,480107000,74009000,97335000,361287000,None,None,None,8770000,None,None,None,28652000,488877000,190229000,None,0,None,483385000,512037000,298648000
2006-07-31,USD,251478000,342925000,91447000,91447000,-60673000,67391000,104284000,305645000,None,None,None,20230000,None,None,None,30527000,-33937000,-15774000,None,0,None,-54167000,-23640000,-18854000
2006-10-31,USD,256356000,362071000,105715000,105715000,-101494000,77388000,120214000,355008000,None,None,None,8669000,None,None,None,28044000,-89983000,-30025000,None,0,None,-96641000,-68597000,-58930000
2007-01-31,USD,624761000,763307000,138546000,138546000,214983000,68606000,115474000,407444000,None,None,None,10052000,None,None,None,27449000,225370000,79673000,None,0,None,216086000,243535000,145362000
2007-04-30,USD,1015573000,1154397000,138824000,138824000,578765000,77685000,119132000,427148000,None,None,None,2920000,None,None,None,41435000,577256000,208634000,None,0,None,586775000,628210000,367211000
2007-07-31,USD,266811000,393172000,126361000,126361000,-54025000,67404000,117696000,320836000,None,None,None,32666000,None,None,None,41802000,-16231000,-5432000,None,0,None,-48897000,-7095000,-13640000
2007-10-31,USD,300923000,444938000,144015000,144015000,-103199000,77115000,149336000,396110000,None,None,None,19794000,None,None,None,26077000,-75393000,-28328000,None,0,None,-57243000,-31166000,-20804000
2008-01-31,USD,661857000,834874000,173017000,173017000,173630000,66672000,149767000,480144000,None,None,None,13510000,None,None,None,51360000,179049000,62555000,None,0,None,192559000,243919000,115247000
2008-04-30,USD,1158985000,1313008000,154023000,154023000,674501000,79150000,149985000,475230000,None,None,None,12830000,None,None,None,56938000,686125000,241612000,None,0,None,698955000,755893000,444179000
2008-07-31,USD,328951000,482154000,153203000,153203000,-94165000,72029000,156730000,412947000,None,None,None,7800000,None,None,None,82088000,-91796000,-30260000,None,0,None,-83996000,-1908000,-61860000
2008-10-31,USD,321058000,481379000,160321000,160321000,-76030000,65097000,136217000,384500000,None,None,None,12000000,None,None,None,60000000,-89052000,-37000000,None,0,None,-77000000,-17000000,-52144000
2009-01-31,USD,735331000,790976000,178160000,178160000,109557000,71088000,143249000,490711000,None,None,None,12000000,None,None,None,65361000,104061000,19000000,None,0,None,117639000,183000000,85040000
2009-04-30,USD,1276716000,1434408000,157692000,157692000,764062000,75335000,132866000,636496000,None,None,None,12000000,None,None,None,63019000,757904000,272868000,None,0,None,770981000,834000000,484820000
2009-07-31,USD,264863000,475774000,210911000,210911000,-115529000,76581000,153900000,380392000,None,None,None,15125000,None,None,None,85551000,-119482000,-49179000,None,0,None,-104357000,-18806000,-70675000
2009-10-31,USD,458000000,474000000,154000000,154000000,-100000000,78000000,143000000,428000000,None,None,None,16000000,None,5000000,None,75000000,-111000000,-42000000,None,-68000000,None,-95000000,-20000000,-68000000
2010-01-31,USD,675000000,837000000,162000000,162000000,138000000,87000000,144000000,525000000,None,None,None,15000000,None,2000000,None,68000000,125000000,46000000,None,80000000,None,141000000,209000000,114000000
2010-04-30,USD,1450000000,1607000000,157000000,157000000,888000000,102000000,141000000,562000000,None,None,None,15000000,None,5000000,None,55000000,878000000,302000000,None,576000000,None,893000000,948000000,576000000
2010-07-31,USD,385000000,537000000,152000000,152000000,-64000000,81000000,147000000,449000000,None,None,None,15000000,None,1000000,None,58000000,-79000000,-30000000,None,-49000000,None,-63000000,-5000000,-48000000
2010-10-31,USD,373000000,532000000,159000000,159000000,-104000000,90000000,156000000,477000000,None,None,None,15000000,None,8000000,None,56000000,-111000000,-41000000,None,-70000000,None,-96000000,-40000000,-70000000
2011-01-31,USD,698000000,878000000,180000000,180000000,111000000,88000000,158000000,587000000,None,None,None,15000000,None,6000000,None,61000000,102000000,29000000,None,73000000,None,117000000,178000000,73000000
2011-04-30,USD,1684000000,1848000000,164000000,164000000,1061000000,93000000,164000000,623000000,None,None,None,15000000,None,6000000,None,61000000,1052000000,364000000,None,688000000,None,1067000000,1128000000,688000000
2011-07-31,USD,429000000,593000000,164000000,164000000,-61000000,83000000,156000000,460000000,None,None,None,15000000,None,-1000000,None,63000000,-77000000,-20000000,None,-57000000,None,-62000000,1000000,-57000000
2011-10-31,USD,426000000,594000000,168000000,168000000,-94000000,92000000,167000000,448000000,None,None,None,15000000,None,11000000,None,72000000,-98000000,-30000000,None,-64000000,None,-103000000,-31000000,-64000000
2012-01-31,USD,813000000,961000000,206000000,206000000,192000000,95000000,156000000,549000000,None,None,None,16000000,None,3000000,None,61000000,179000000,62000000,None,118000000,None,198000000,259000000,118000000
2012-04-30,USD,1747000000,1945000000,198000000,198000000,1107000000,102000000,167000000,618000000,None,None,None,12000000,None,9000000,None,52000000,1104000000,377000000,None,734000000,None,1120000000,1172000000,734000000
2012-07-31,USD,460000000,593000000,191000000,191000000,-28000000,100000000,179000000,505000000,None,None,None,7000000,None,1000000,None,57000000,-34000000,-13000000,None,-21000000,None,-27000000,30000000,4000000
2012-10-31,USD,465000000,562000000,182000000,182000000,-69000000,98000000,168000000,534000000,None,None,None,8000000,None,2000000,None,54000000,-75000000,-25000000,None,-51000000,None,-71000000,-17000000,-19000000
2013-01-31,USD,760000000,884000000,208000000,208000000,84000000,109000000,169000000,634000000,None,None,None,7000000,None,1000000,None,58000000,78000000,13000000,None,71000000,None,85000000,143000000,71000000
2013-04-30,USD,1946000000,2091000000,187000000,187000000,1282000000,108000000,166000000,664000000,None,None,None,8000000,None,3000000,None,57000000,1278000000,420000000,None,822000000,None,1286000000,1343000000,822000000
2013-07-31,USD,507000000,378000000,127000000,127000000,-38000000,115000000,182000000,567000000,None,None,None,7000000,None,1000000,None,63000000,-44000000,-25000000,None,-19000000,None,-37000000,26000000,-16000000
2013-10-31,USD,479000000,622000000,143000000,143000000,-77000000,118000000,176000000,556000000,None,None,None,8000000,None,5000000,None,50000000,-80000000,-23000000,None,-57000000,None,-72000000,-22000000,-11000000
2014-01-31,USD,606000000,782000000,176000000,176000000,-46000000,109000000,186000000,652000000,None,None,None,8000000,None,None,None,50000000,-54000000,-17000000,None,-37000000,None,-46000000,4000000,-37000000
2014-04-30,USD,2218000000,2388000000,170000000,170000000,1494000000,121000000,186000000,724000000,None,None,None,8000000,None,3000000,None,47000000,1489000000,505000000,None,984000000,None,1497000000,1544000000,984000000
2014-07-31,USD,535000000,714000000,179000000,179000000,-71000000,133000000,210000000,608000000,None,None,None,7000000,None,23000000,None,50000000,-57000000,-12000000,None,-29000000,None,-71000000,-21000000,-29000000
2014-10-31,USD,497000000,672000000,175000000,175000000,-109000000,124000000,189000000,611000000,None,None,None,7000000,None,None,None,47000000,53000000,-35000000,None,-84000000,None,-109000000,-62000000,-84000000
2015-01-31,USD,602000000,808000000,206000000,206000000,-89000000,118000000,200000000,700000000,None,None,None,7000000,None,2000000,None,50000000,71000000,-34000000,None,-66000000,None,-89000000,-39000000,-66000000
2015-04-30,USD,1933000000,2135000000,219000000,219000000,1066000000,135000000,206000000,867000000,None,None,None,5000000,None,1000000,None,51000000,1060000000,404000000,None,501000000,None,1180000000,1231000000,501000000
2015-07-31,USD,520000000,518000000,176000000,176000000,44000000,118000000,215000000,616000000,None,None,None,8000000,None,-2000000,None,61000000,36000000,-26000000,None,62000000,None,-96000000,-35000000,14000000
2015-10-31,USD,547000000,713000000,166000000,166000000,-29000000,117000000,213000000,576000000,None,None,None,11000000,None,-4000000,None,49000000,-40000000,-9000000,None,-31000000,None,-29000000,20000000,-31000000
