fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-03-31,USD,581581000,220731000,40661000,40661000,52514000,83637000,360850000,69651000,None,115980000,115980000,116037000,None,None,None,43919000,None,242991000,100762000,46990000,None,None,3836000,142229000,None,128232000,None,None,132068000,25796000,None,338590000,None,11686000,326143000,26071000
2006-06-30,USD,613971000,239837000,46587000,46587000,59979000,89046000,374134000,75475000,None,118161000,118161000,119504000,None,None,None,44225000,None,250889000,103779000,49418000,None,None,20058000,147110000,None,124274000,None,None,124274000,27985000,None,363082000,None,21890000,339640000,26360000
2006-09-30,USD,985020000,607742000,234521000,234521000,58953000,97033000,377278000,83819000,None,109937000,109937000,119586000,None,None,171733000,45502000,None,606870000,114214000,52666000,None,None,None,492656000,None,469299000,None,None,469299000,33943000,None,378150000,None,31105000,345404000,26336000
2006-12-31,USD,988522000,596445000,361405000,361405000,52496000,109924000,392077000,88689000,None,112682000,112682000,126266000,None,None,34583000,38037000,None,597540000,103584000,43922000,None,None,None,493956000,None,469324000,None,None,469324000,32213000,None,390982000,None,38376000,351018000,27198000
2007-03-31,USD,1239138000,840197000,621871000,621871000,50734000,124227000,398941000,87833000,None,104761000,104761000,127248000,None,None,None,43365000,None,606311000,104025000,50361000,None,None,None,502286000,None,469349000,None,None,469349000,28358000,None,632827000,None,45556000,585451000,27980000
2007-06-30,USD,2995249000,677030000,105873000,105873000,171141000,325970000,2318219000,309954000,None,623375000,623375000,1248794000,None,None,None,74046000,None,2379435000,425410000,210203000,None,None,11561000,1954025000,None,1611027000,None,None,1622588000,173097000,None,615814000,None,21676000,598861000,30068000
2007-09-30,USD,3042643000,666454000,85135000,85135000,185752000,320973000,2376189000,317626000,None,703961000,703961000,1218378000,None,None,None,74594000,None,2345142000,728947000,204918000,None,None,356798000,1616195000,None,1255376000,None,None,1612174000,128702000,None,697501000,None,18230000,605182000,30415000
2007-12-31,USD,3050566000,653436000,91988000,91988000,169238000,339018000,2397130000,323003000,None,695900000,695900000,1266133000,None,None,None,53192000,None,2291764000,403857000,198997000,None,None,11980000,1887907000,None,1578561000,None,None,1590541000,171968000,None,758802000,None,22232000,609902000,30415000
2008-03-31,USD,3207724000,714803000,95519000,95519000,185361000,361094000,2492921000,328329000,None,626206000,626206000,1418556000,None,None,None,72829000,None,2337519000,808370000,221720000,None,None,357338000,1529149000,None,1218792000,None,None,1576130000,177609000,None,870205000,None,25185000,616361000,32745000
2008-06-30,USD,3283222000,766913000,152179000,152179000,201282000,356328000,2516309000,335322000,None,595147000,595147000,1416305000,None,None,None,57124000,None,2057818000,822716000,243612000,None,None,356341000,1235102000,None,915180000,None,None,1271521000,192389000,None,1225404000,None,38310000,935464000,35325000
