fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2011-12-31,USD,378020000,983318000,605298000,605298000,148165000,216855000,65900000,229855000,None,None,None,39892000,None,None,None,84773000,105556000,7099000,None,None,None,145448000,230221000,98457000
2012-12-31,USD,407371000,1117992000,710621000,710621000,141928000,265443000,77300000,265442999,None,None,None,56470000,None,None,None,114878000,78916000,-181000,None,None,None,135386000,250264000,79097000
2013-12-31,USD,389838000,1214803000,824965000,824965000,160119000,284113000,82568000,229719000,None,None,None,42024000,None,None,None,130912000,101510000,-4304000,None,None,None,143534000,274446000,105814000
2014-12-31,USD,213400000,1141300000,927900000,927900000,-23500000,196500000,83000000,236900000,None,None,None,6700000,None,4600000,None,151600000,-55100000,31900000,None,-87000000,None,-48400000,103200000,-87000000
2015-12-31,USD,315000000,849600000,534600000,534600000,50300000,208100000,92800000,264700000,None,None,12700000,12800000,None,-1100000,None,76900000,22600000,6100000,None,-233800000,None,35400000,112300000,-233800000
2016-12-31,USD,279500000,755700000,476200000,476200000,55800000,170700000,92000000,223700000,None,-20400000,100000,19800000,None,4100000,None,69000000,28100000,8300000,None,19100000,None,47900000,116900000,-16700000
2017-12-31,USD,284100000,744200000,460100000,460100000,71400000,126300000,93400000,212700000,None,-20600000,200000,20400000,None,-500000,None,53800000,19400000,12900000,None,6500000,None,39800000,93600000,6000000
2018-12-31,USD,316500000,826900000,510400000,510400000,79900000,142500000,100600000,236600000,None,-16000000,600000,16600000,None,-700000,None,52400000,61100000,-4500000,None,65600000,None,77700000,130100000,66099999
2019-12-31,USD,323600000,854800000,531200000,531200000,88100000,145700000,96800000,235500000,None,-14500000,800000,15300000,None,-400000,None,54400000,66300000,16600000,None,49700000,None,81600000,136000000,49100000
2020-12-31,USD,259300000,764300000,505000000,505000000,47900000,131500000,92900000,211400000,None,-16400000,700000,17100000,None,-1500000,None,60600000,11300000,8400000,None,2900000,None,28400000,89000000,6600000
2021-12-31,USD,341500000,868100000,526600000,526600000,118200000,146400000,92800000,223300000,None,-14200000,200000,14400000,None,3000000,None,62500000,104600000,-45600000,None,150200000,None,119000000,181500000,150400000
2022-12-31,USD,227000000,478800000,251800000,251800000,90800000,128900000,81700000,136200000,None,-3900000,400000,4300000,None,500000,None,53900000,87700000,21300000,None,-430100000,None,91600000,145500000,-430100000
2023-12-31,USD,200100000,456800000,256700000,256700000,49400000,138200000,31500000,150700000,None,-3400000,2000000,7400000,None,None,None,26200000,37300000,-28300000,None,-183000000,None,44700000,70900000,72400000
2024-12-31,USD,221200000,553500000,332300000,332300000,56700000,142000000,37100000,164500000,None,-16300000,3800000,20100000,None,None,None,37600000,34700000,11300000,None,23400000,None,54800000,92400000,-239500000
2025-12-31,USD,244500000,593200000,348700000,348700000,77700000,142800000,40200000,166800000,None,-9300000,3100000,9300000,None,None,None,36300000,64000000,13100000,None,50900000,None,73300000,109600000,44200000
