fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,464966000,228769000,56704000,56704000,65961000,83901000,236197000,125516000,None,67500000,67500000,26648000,None,None,None,22203000,None,161158000,106036000,23334000,None,None,24328000,55122000,None,1785000,None,None,26113000,58374000,None,303665000,None,194922000,221000,22434000
2007-12-31,USD,491365000,235170000,64943000,64943000,58845000,85607000,256195000,144562000,None,24246000,24246000,73462000,None,None,None,25775000,None,137808000,96587000,27889000,None,None,12086000,41221000,None,1223000,None,None,13309000,56612000,None,353414000,None,217074000,219000,22394000
2008-12-31,USD,538928000,229403000,70937000,70937000,66679000,62126000,309525000,160150000,None,22608000,22608000,106961000,None,None,None,29661000,None,205077000,72900000,18854000,None,None,8000000,132177000,None,72000000,None,None,80000000,43476000,None,333708000,None,219230000,217000,21826000
2009-12-31,USD,533127000,241785000,70354000,70354000,52567000,79521000,291342000,138152000,None,36651000,36651000,94986000,None,None,None,41573000,None,154528000,75624000,23646000,None,None,14183000,78904000,None,49000000,None,None,63183000,33270000,None,378599000,None,228641000,218000,21812000
2010-12-31,USD,621129000,318956000,109720000,109720000,80182000,97753000,302173000,130147000,None,41828000,41828000,112687000,None,None,None,31301000,None,168469000,109848000,24079000,None,None,33000000,58621000,None,41000000,None,None,74000000,37772000,None,452660000,-23546000,304056000,218000,22214000
2011-12-31,USD,678424000,378382000,164016000,164016000,75575000,92088000,300042000,118884000,-220255000,44583000,44583000,115697000,None,14867000,13997000,46925000,None,177321000,149277000,19934000,None,None,85000000,28044000,None,0,None,None,85000000,33752000,28044000,501103000,-58834000,376572000,216000,22255000
2012-12-31,USD,777728000,445465000,235404000,235404000,75580000,100559000,332263000,120911000,None,48812000,48812000,133592000,None,None,0,50454000,None,190170000,155420000,27226000,None,None,84000000,34750000,None,0,None,None,84000000,32635000,None,587558000,-60496000,435340000,220000,22098000
2013-12-31,USD,1019168000,565486000,305192000,305192000,92591000,127887000,453682000,150173000,-268383000,98357000,98357000,186464000,None,12286000,6886000,50123000,None,332252000,208509000,33872000,None,None,126000000,123743000,None,93750000,None,None,219750000,42935000,23384000,686916000,-2353000,445059000,225000,22537000
2014-12-31,USD,1070826000,571505000,297571000,297571000,97391000,135356000,499321000,158640000,-281845000,103673000,103673000,196256000,None,12056000,4302000,50789000,None,343161000,204466000,50793000,None,None,88500000,138695000,None,106658000,88500000,None,206926000,56128000,20961000,727665000,-18724000,523302000,226000,22727000
2015-12-31,USD,1064981000,583435000,328786000,328786000,98629000,144392000,481546000,162568000,-296480000,91623000,91623000,189767000,None,15197000,4179000,9453000,None,320783000,209833000,51658000,None,None,87000000,110950000,None,84474000,87000000,None,171474000,61769000,18462000,744198000,-32766000,562717000,224000,22719000
2016-12-31,USD,1491194000,612081000,275124000,275124000,114063000,198095000,879113000,217175000,None,213027000,213027000,403544000,None,13933000,3690000,21109000,None,676263000,187541000,90712000,None,None,6250000,488722000,None,447892000,6250000,None,454142000,81733000,33764000,814931000,-36510000,634391000,228000,22727000
2017-12-31,USD,1740102000,792340000,429676000,429676000,140789000,184388000,947762000,250577000,None,203850000,203850000,453414000,None,10993000,35000,76593000,None,812546000,224794000,101844000,None,None,6250000,587752000,None,489361000,6250000,None,495611000,100415000,81322000,927556000,-41294000,722140000,229000,22931000
2018-12-31,USD,2614306000,1032517000,489733000,489733000,258228000,235231000,1581789000,339894000,None,361474000,361474000,826715000,None,25405000,34000,100921000,None,1135964000,295275000,126323000,None,None,10000000,840689000,None,684730000,10000000,None,694730000,138405000,104106000,1478342000,-116454000,856507000,254000,25235000
2019-12-31,USD,2559898000,1004394000,531139000,531139000,237507000,207140000,1555504000,344617000,None,321247000,321247000,820589000,None,24099000,44000,28564000,None,1063884000,225562000,117320000,None,None,17259000,838322000,24425000,669158000,10000000,None,703583000,74093000,102235000,1495883000,-216447000,950901000,256000,24818000
2020-12-31,USD,2747593000,1217309000,687525000,687525000,258002000,235789000,1530284000,344178000,None,291887000,291887000,816812000,None,30547000,54000,35939000,None,1138820000,275648000,145984000,None,None,6811000,863172000,12950000,687034000,None,None,706795000,98582000,113054000,1608642000,-242366000,1034048000,259000,24592000
2021-12-31,USD,3151704000,1270211000,478473000,478473000,445671000,277227000,1881493000,467505000,None,407126000,407126000,929790000,None,39211000,28000,68812000,None,1258184000,434633000,222039000,None,None,34018000,823551000,22305000,611897000,25000000,None,668220000,145286000,71023000,1893389000,-248120000,1268124000,260000,24932000
