fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-03-31,USD,2350596000,1118829000,565273000,565273000,115024000,139361000,1231767000,659972000,None,9489000,9489000,31886000,None,None,199491000,99680000,None,624407000,608969000,50847000,None,None,268954000,15438000,None,None,None,None,268954000,189687000,None,1726189000,None,1106355000,214000,430048000
2007-03-31,USD,2269541000,1084737000,167477000,167477000,121024000,124559000,1184804000,605722000,None,8456000,8456000,31886000,None,None,583000000,88677000,None,265173000,255920000,34675000,None,None,None,9253000,None,None,None,None,None,129882000,None,2004368000,None,1255486000,217000,441696000
2008-03-31,USD,2512307000,1717730000,487736000,487736000,124483000,138319000,794577000,522305000,None,11613000,11613000,31886000,None,None,837054000,130138000,None,1476084000,191081000,39317000,None,None,None,1285003000,None,1150128000,None,None,1150128000,56323000,None,1036223000,-1061663000,1301275000,184000,424096000
2009-03-31,USD,2421439000,1742789000,446329000,446329000,131510000,88525000,678650000,531687000,None,25718000,25718000,36165000,None,None,943616000,51736000,None,1430673000,155645000,29228000,None,None,83931000,1275028000,None,1149184000,None,None,1219235000,126417000,None,990766000,-1095370000,1303437000,183000,373576000
2010-03-31,USD,2516313000,1610969000,492130000,492130000,116579000,137806000,905344000,493039000,None,35527000,35527000,40338000,None,317215000,722193000,142261000,None,982933000,203390000,44238000,None,None,None,779543000,None,340672000,None,None,340672000,60211000,62158000,1533380000,-1013358000,1266699000,185000,374678000
2011-03-31,USD,2986742000,1793667000,703924000,703924000,180800000,181202000,1193075000,540513000,None,77929000,77929000,76018000,None,464838000,539572000,1431665000,None,1174304000,340316000,200272000,None,None,131839000,833988000,None,347334000,None,None,479173000,131839000,58125000,1812438000,-888075000,1428838000,190000,389430000
2012-03-31,USD,3083776000,2015861000,635755000,635755000,217278000,170201000,1067915000,516611000,None,90436000,90436000,93513000,None,328586000,823254000,1628382000,None,1093103000,247873000,139164000,None,None,88877000,845230000,None,355050000,None,None,443927000,88877000,78812000,1990673000,-780893000,1499365000,193000,407038000
2013-03-31,USD,3925238000,2311282000,528334000,528334000,242334000,229955000,1613956000,514544000,None,530136000,530136000,271348000,None,257450000,1050263000,260396000,None,1991768000,341611000,202659000,None,None,127108000,1650157000,None,983385000,None,None,1110493000,127108000,204689000,1933470000,-682220000,1352932000,196000,411552000
2014-03-31,USD,4067630000,1969399000,466603000,466603000,262725000,242405000,2098231000,531967000,None,445499000,445499000,276097000,None,798712000,878182000,119484000,None,1932169000,336079000,74050000,None,None,17500000,1596090000,None,1003258000,17500000,None,1020758000,96731000,217516000,2135461000,-577382000,1467009000,200000,435260000
2015-03-31,USD,4780713000,2664617000,607815000,607815000,279456000,273937000,2116096000,581572000,None,504417000,504417000,571271000,None,383326000,1351054000,67321000,None,2719687000,353972000,86866000,None,None,1826858000,2365715000,None,1826858000,1826858000,None,1826858000,100978000,157665000,2061026000,-515679000,1549540000,202000,447122000
2016-03-31,USD,5567515000,3096713000,2092751000,2092751000,306815000,290183000,2470802000,609396000,None,606349000,606349000,1012652000,None,118549000,353284000,53680000,None,3416596000,382009000,79312000,None,None,2453405000,3034587000,None,2483037000,2453405000,None,4936442000,119265000,152332000,2150919000,-820066000,1582585000,204000,434776000
2017-03-31,USD,7678576000,2305040000,908684000,908684000,417202000,478373000,5373536000,683338000,None,2148092000,2148092000,2299009000,None,107457000,394088000,106693000,None,4407865000,704450000,149233000,None,None,50000000,3703415000,None,2900524000,49952000,None,2950500000,212467000,402151000,3270711000,-731884000,1479400000,229000,469612000
2018-03-31,USD,8257200000,3356300000,901300000,901300000,476200000,563700000,4900900000,767900000,None,1662000000,1662000000,2299000000,None,0,1295300000,119800000,None,4977400000,2017400000,144100000,None,None,1309900000,2960000000,None,1758400000,1309900000,None,3068300000,202100000,995800000,3279800000,-662600000,1397300000,200000,497800000
2019-03-31,USD,18350000000,2214800000,428600000,428600000,711700000,880600000,16135200000,996700000,None,6685600000,6685600000,6663900000,None,None,2300000,191600000,None,13062500000,2374500000,226400000,None,None,1360800000,10688000000,None,8946200000,1360800000,None,10307000000,740400000,1035700000,5287500000,-582200000,3210600000,200000,499800000
2020-03-31,USD,17426100000,2217200000,401000000,401000000,685700000,934000000,15208900000,876100000,None,5702300000,5702300000,6664800000,None,None,2000000,194500000,None,11840600000,1637400000,246800000,None,None,653300000,10203200000,139200000,8873400000,608800000,None,9621400000,699300000,1011300000,5585500000,-500600000,3432400000,200000,512400000
2021-03-31,USD,16478800000,2145200000,280000000,280000000,665000000,997700000,14333600000,854700000,None,4794800000,4794800000,6670600000,None,None,2000000,200500000,None,11141700000,2409600000,292400000,None,None,1362700000,8732100000,165200000,7581200000,1322900000,None,9069300000,711100000,1107000000,5337100000,-433800000,3393500000,500000,541200000
2022-03-31,USD,16199500000,2452600000,317400000,317400000,854400000,1072600000,13746900000,967900000,None,4043100000,4043100000,6673600000,None,None,2000000,206200000,None,10304700000,1399000000,344700000,None,None,33800000,8905700000,162700000,7687400000,None,None,7721200000,947300000,473900000,5894800000,-796300000,4175200000,600000,565900000
2023-03-31,USD,16370300000,3069300000,234000000,234000000,1324900000,1305300000,13301000000,1177900000,None,3369000000,3369000000,6673600000,None,None,0,205100000,None,9856700000,3118600000,396900000,None,None,1429700000,6738100000,160100000,5041700000,1398200000,None,6600000000,1064400000,948000000,6513600000,-1660200000,5764100000,500000,557300000
2024-03-31,USD,15873200000,3013000000,319700000,319700000,1316000000,1143700000,12860200000,None,None,2781800000,2781800000,6675400000,None,None,639400000,233600000,None,9215400000,2519400000,213000000,None,None,1032000000,6696000000,32600000,5000400000,999400000,None,6032400000,921800000,1017600000,6657800000,None,6759500000,500000,548000000
