fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-02-28,USD,9377000000,4286000000,1536000000,1536000000,686000000,927000000,5091000000,4711900000,None,252000000,252000000,None,None,None,1049000000,88000000,None,1924000000,1205000000,910000000,None,None,148000000,719000000,None,312100000,None,None,460000000,114000000,None,6954000000,None,1334000000,68000000,714600000
2006-05-31,USD,10300700000,4520900000,1467700000,1467700000,799700000,805700000,5779800000,5438100000,None,208500000,208500000,None,None,None,1362300000,85500000,None,2101500000,1279000000,951900000,None,None,180400000,822500000,None,338800000,None,None,519200000,103300000,None,7086800000,None,1422200000,67900000,720100000
2006-08-31,USD,12221000000,5101000000,1431000000,1431000000,963000000,956000000,7120000000,5888000000,None,388000000,388000000,502000000,None,None,1648000000,103000000,None,2539000000,1661000000,854000000,None,None,166000000,878000000,None,405000000,None,None,571000000,588000000,None,8114000000,None,1486000000,75000000,720100000
2006-11-30,USD,13076000000,4853000000,1303000000,1303000000,1114000000,996000000,8223000000,7010000000,None,410000000,410000000,502000000,None,None,1335000000,105000000,None,2815000000,1925000000,1087000000,None,None,159000000,890000000,None,409000000,None,None,568000000,610000000,None,8279000000,None,1600000000,75000000,779600000
2007-02-28,USD,13376000000,4528000000,1566000000,1566000000,1293000000,943000000,8848000000,7593000000,None,416000000,416000000,522000000,None,None,627000000,99000000,None,2844000000,1777000000,835000000,None,None,183000000,1067000000,None,639000000,None,None,822000000,689000000,None,8249000000,None,1548000000,76000000,768700000
2007-05-31,USD,14417000000,5287000000,2667000000,2667000000,1449000000,839000000,9130000000,7866000000,None,412000000,412000000,514000000,None,None,253000000,79000000,None,4203000000,1857000000,789000000,None,None,411000000,2346000000,None,1913000000,None,None,2324000000,582000000,None,7887000000,None,1323000000,76000000,769900000
2007-08-31,USD,14818000000,5234000000,2192000000,2192000000,1532000000,994000000,9584000000,8279000000,None,401000000,401000000,515000000,None,None,424000000,92000000,None,4459000000,2026000000,856000000,None,None,423000000,2433000000,None,1987000000,None,None,2410000000,578000000,None,7752000000,None,1164000000,76000000,769900000
2007-11-30,USD,14498000000,4652000000,1880000000,1880000000,1443000000,1067000000,9846000000,8576000000,None,392000000,392000000,515000000,None,None,151000000,111000000,None,4237000000,1852000000,811000000,None,None,281000000,2385000000,None,1936000000,None,None,2217000000,673000000,None,7501000000,None,901000000,76000000,771900000
2008-02-29,USD,13785000000,4304000000,1708000000,1708000000,1449000000,894000000,9481000000,8634000000,None,382000000,382000000,58000000,None,None,145000000,108000000,None,4239000000,1720000000,711000000,None,None,244000000,2519000000,None,2162000000,None,None,2406000000,692000000,None,6738000000,None,124000000,76000000,772400000
2008-05-31,USD,13616000000,4129000000,1474000000,1474000000,1453000000,995000000,9487000000,8721000000,None,375000000,375000000,58000000,None,None,110000000,97000000,None,4297000000,1784000000,1374000000,None,None,262000000,2513000000,None,2159000000,None,None,2421000000,68000000,None,6508000000,None,-112000000,76000000,772800000
2008-08-31,USD,13430000000,3779000000,1243000000,1243000000,1291000000,1032000000,9651000000,8811000000,None,364000000,364000000,58000000,None,None,119000000,94000000,None,4387000000,1598000000,597000000,None,None,275000000,2789000000,None,2451000000,None,None,2726000000,612000000,None,6178000000,None,-456000000,76000000,772800000
2008-11-30,USD,12676000000,3037000000,1025000000,1025000000,883000000,1031000000,9639000000,8460000000,None,354000000,354000000,None,None,None,3000000,95000000,None,4490000000,1635000000,513000000,None,None,343000000,2855000000,None,2523000000,None,None,2866000000,587000000,None,5484000000,None,-1162000000,76000000,773300000
2009-02-28,USD,11526000000,2523000000,932000000,932000000,859000000,654000000,9003000000,7910000000,None,382000000,382000000,None,None,None,371000000,78000000,None,4440000000,1637000000,451000000,None,None,353000000,2803000000,None,2542000000,None,None,2895000000,638000000,None,4742000000,None,-1913000000,78000000,773900000
2009-05-31,USD,11664000000,3128000000,1306000000,1306000000,999000000,750000000,8536000000,7536000000,None,355000000,355000000,None,None,None,306000000,73000000,None,4837000000,1825000000,483000000,None,None,372000000,3012000000,None,2752000000,None,None,3124000000,749000000,None,4697000000,None,-2203000000,85000000,813300000
2009-08-31,USD,11455000000,3344000000,1485000000,1485000000,987000000,798000000,8111000000,7081000000,None,344000000,344000000,None,None,None,315000000,74000000,None,4520000000,1892000000,526000000,None,None,424000000,2923000000,None,2674000000,None,None,2803000000,701000000,None,4654000000,None,-2291000000,85000000,844300000
2009-11-30,USD,11726000000,3769000000,1565000000,1565000000,1037000000,1091000000,7957000000,6876000000,None,334000000,334000000,0,None,366000000,366000000,76000000,None,4635000000,2242000000,541000000,None,None,618000000,2393000000,None,2143000000,None,None,2761000000,831000000,250000000,5195000000,0,-2181000000,85000000,1000700000
2010-02-28,USD,11952000000,4089000000,1870000000,1870000000,1075000000,1072000000,7863000000,6525000000,None,322000000,322000000,None,None,None,592000000,72000000,None,4534000000,2247000000,542000000,None,None,991000000,2287000000,None,1994000000,None,None,2985000000,456000000,None,5602000000,None,-1816000000,86000000,1005300000
2010-05-31,USD,14377000000,5724000000,2313000000,2313000000,1747000000,1568000000,8653000000,6635000000,None,341000000,341000000,None,None,None,1010000000,96000000,None,4910000000,2611000000,844000000,None,None,652000000,2299000000,None,1717000000,None,None,2369000000,817000000,None,7680000000,None,-877000000,99000000,1049400000
2010-08-31,USD,14693000000,6333000000,2913000000,2913000000,1770000000,1531000000,8360000000,6601000000,None,323000000,323000000,None,None,None,582000000,119000000,None,4877000000,2702000000,799000000,None,None,712000000,2175000000,None,1648000000,None,None,2360000000,842000000,None,8020000000,None,-536000000,99000000,1142600000
